"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ÇrÇlÇsÅ@ÉOÉçÅ[ÉoÉãäîéÆÉCÉìÉfÉbÉNÉXÅEÉIÅ[ÉvÉì"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20080101","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","29374","-206","149395"
"2023/04/05","29580","-336","150584"
"2023/04/04","29916","32","152161"
"2023/04/03","29884","228","151923"
"2023/03/31","29656","471","150632"
"2023/03/30","29185","658","148175"
"2023/03/29","28527","128","144789"
"2023/03/28","28399","143","143863"
"2023/03/27","28256","-10","143110"
"2023/03/24","28266","-30","143133"
"2023/03/23","28296","-635","143253"
"2023/03/22","28931","619","146300"
"2023/03/20","28312","-443","143018"
"2023/03/17","28755","510","145182"
"2023/03/16","28245","-703","142353"
"2023/03/15","28948","743","145813"
"2023/03/14","28205","-389","141996"
"2023/03/13","28594","-751","143881"
"2023/03/10","29345","-634","147759"
"2023/03/09","29979","-30","150846"
"2023/03/08","30009","-222","151021"
"2023/03/07","30231","79","152223"
"2023/03/06","30152","264","151812"
"2023/03/03","29888","292","150430"
"2023/03/02","29596","-113","148854"
"2023/03/01","29709","-109","149265"
"2023/02/28","29818","180","149593"
"2023/02/27","29638","116","148679"
"2023/02/24","29522","-137","148070"
"2023/02/22","29659","-369","148839"
"2023/02/21","30028","-14","150693"
"2023/02/20","30042","-70","150798"
"2023/02/17","30112","-263","151358"
"2023/02/16","30375","366","152525"
"2023/02/15","30009","127","150679"
"2023/02/14","29882","466","150055"
"2023/02/13","29416","-29","147641"
"2023/02/10","29445","-141","147828"
"2023/02/09","29586","-82","148510"
"2023/02/08","29668","-74","148981"
"2023/02/07","29742","-188","149329"
"2023/02/06","29930","542","150287"
"2023/02/03","29388","369","147559"
"2023/02/02","29019","6","145647"
"2023/02/01","29013","192","145549"
"2023/01/31","28821","-248","144561"
"2023/01/30","29069","186","145758"
"2023/01/27","28883","329","144733"
"2023/01/26","28554","-243","142954"
"2023/01/25","28797","-30","144158"
"2023/01/24","28827","539","144242"
"2023/01/23","28288","591","141415"
"2023/01/20","27697","-172","138460"
"2023/01/19","27869","-876","139297"
"2023/01/18","28745","535","143387"
"2023/01/17","28210","143","140717"
"2023/01/16","28067","-168","140013"
"2023/01/13","28235","-402","140847"
"2023/01/12","28637","231","142804"
"2023/01/11","28406","233","141303"
"2023/01/10","28173","316","140078"
"2023/01/06","27857","19","138439"
"2023/01/05","27838","556","138239"
"2023/01/04","27282","-503","135414"
"2022/12/30","27785","121","137820"
"2022/12/29","27664","-224","136799"
"2022/12/28","27888","66","137908"
"2022/12/27","27822","217","137580"
"2022/12/26","27605","34","136483"
"2022/12/23","27571","-270","136213"
"2022/12/22","27841","509","137280"
"2022/12/21","27332","-555","134636"
"2022/12/20","27887","-531","137305"
"2022/12/19","28418","-654","139825"
"2022/12/16","29072","-298","142802"
"2022/12/15","29370","-100","144291"
"2022/12/14","29470","-205","144779"
"2022/12/13","29675","526","145708"
"2022/12/12","29149","-176","143121"
"2022/12/09","29325","285","143976"
"2022/12/08","29040","-223","142346"
"2022/12/07","29263","-238","143367"
"2022/12/06","29501","-77","144514"
"2022/12/05","29578","-216","144973"
"2022/12/02","29794","-237","145883"
"2022/12/01","30031","436","146979"
"2022/11/30","29595","-45","144851"
"2022/11/29","29640","-468","144976"
"2022/11/28","30108","-23","147158"
"2022/11/25","30131","1","147270"
"2022/11/24","30130","21","147280"
"2022/11/22","30109","223","147071"
"2022/11/21","29886","135","145951"
"2022/11/18","29751","57","145212"
"2022/11/17","29694","-240","144930"
"2022/11/16","29934","81","147443"
"2022/11/15","29853","-37","147169"
"2022/11/14","29890","-110","147347"
"2022/11/11","30000","583","147834"
"2022/11/10","29417","-414","144811"
"2022/11/09","29831","43","146815"
"2022/11/08","29788","203","146655"
"2022/11/07","29585","277","145651"
"2022/11/04","29308","-855","144348"
