"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ê¢äEåoçœÉCÉìÉfÉbÉNÉXÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20090107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","28672","-133","178625"
"2023/04/05","28805","-224","179462"
"2023/04/04","29029","20","180417"
"2023/04/03","29009","17","180032"
"2023/03/31","28992","354","179765"
"2023/03/30","28638","398","177481"
"2023/03/29","28240","164","174794"
"2023/03/28","28076","-9","173162"
"2023/03/27","28085","-7","173115"
"2023/03/24","28092","53","173075"
"2023/03/23","28039","-250","172594"
"2023/03/22","28289","157","173677"
"2023/03/20","28132","-104","172597"
"2023/03/17","28236","160","173203"
"2023/03/16","28076","-370","171892"
"2023/03/15","28446","274","174029"
"2023/03/14","28172","-158","172184"
"2023/03/13","28330","-327","172950"
"2023/03/10","28657","-360","174834"
"2023/03/09","29017","-44","177034"
"2023/03/08","29061","-29","177222"
"2023/03/07","29090","93","177284"
"2023/03/06","28997","84","176676"
"2023/03/03","28913","79","176029"
"2023/03/02","28834","88","175166"
"2023/03/01","28746","-68","174199"
"2023/02/28","28814","83","174054"
"2023/02/27","28731","127","173419"
"2023/02/24","28604","-112","172543"
"2023/02/22","28716","-188","172814"
"2023/02/21","28904","-2","173947"
"2023/02/20","28906","-21","173913"
"2023/02/17","28927","-72","173976"
"2023/02/16","28999","161","174144"
"2023/02/15","28838","71","173133"
"2023/02/14","28767","244","172602"
"2023/02/13","28523","-127","170907"
"2023/02/10","28650","-3","171623"
"2023/02/09","28653","75","171602"
"2023/02/08","28578","-236","171163"
"2023/02/07","28814","-227","172464"
"2023/02/06","29041","428","173804"
"2023/02/03","28613","158","171149"
"2023/02/02","28455","-1","169825"
"2023/02/01","28456","-55","169555"
"2023/01/31","28511","-124","169693"
"2023/01/30","28635","75","170306"
"2023/01/27","28560","151","169678"
"2023/01/26","28409","-164","168472"
"2023/01/25","28573","49","169430"
"2023/01/24","28524","307","168948"
"2023/01/23","28217","292","166824"
"2023/01/20","27925","-1","165121"
"2023/01/19","27926","-554","165079"
"2023/01/18","28480","512","167948"
"2023/01/17","27968","98","164928"
"2023/01/16","27870","-201","164326"
"2023/01/13","28071","-349","165462"
"2023/01/12","28420","133","167477"
"2023/01/11","28287","137","166367"
"2023/01/10","28150","215","165514"
"2023/01/06","27935","193","164098"
"2023/01/05","27742","477","162311"
"2023/01/04","27265","-369","159395"
"2022/12/30","27634","-116","161456"
"2022/12/29","27750","-60","161266"
"2022/12/28","27810","35","161613"
"2022/12/27","27775","203","161410"
"2022/12/26","27572","-78","160137"
"2022/12/23","27650","-12","160455"
"2022/12/22","27662","251","160384"
"2022/12/21","27411","-580","158579"
"2022/12/20","27991","-425","161835"
"2022/12/19","28416","-455","164205"
"2022/12/16","28871","22","166457"
"2022/12/15","28849","24","166309"
"2022/12/14","28825","-229","166114"
"2022/12/13","29054","229","167094"
"2022/12/12","28825","-142","165721"
"2022/12/09","28967","195","166471"
"2022/12/08","28772","-130","165250"
"2022/12/07","28902","-11","165951"
"2022/12/06","28913","145","165894"
"2022/12/05","28768","-139","165030"
"2022/12/02","28907","-170","165488"
"2022/12/01","29077","109","166052"
"2022/11/30","28968","105","165322"
"2022/11/29","28863","-226","164382"
"2022/11/28","29089","-111","165288"
"2022/11/25","29200","68","165917"
"2022/11/24","29132","-131","165511"
"2022/11/22","29263","234","165882"
"2022/11/21","29029","15","164506"
"2022/11/18","29014","18","164392"
"2022/11/17","28996","-50","164309"
"2022/11/16","29046","71","164301"
"2022/11/15","28975","100","163779"
"2022/11/14","28875","-91","163218"
"2022/11/11","28966","-64","163483"
"2022/11/10","29030","-53","163805"
"2022/11/09","29083","5","164079"
"2022/11/08","29078","117","163902"
"2022/11/07","28961","169","163235"
"2022/11/04","28792","-353","162303"
"2022/11/02","29145","-100","163990"
"2022/11/01","29245","-22","164215"
"2022/10/31","29267","353","164259"
