"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ÇrÇlÇsÅ@ÉSÅ[ÉãÉhÉCÉìÉfÉbÉNÉXÅEÉIÅ[ÉvÉìÅià◊ë÷ÉwÉbÉWÇ†ÇËÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","13100","-13","4753"
"2023/04/05","13113","231","4767"
"2023/04/04","12882","94","4696"
"2023/04/03","12788","-74","4677"
"2023/03/31","12862","109","4715"
"2023/03/30","12753","-64","4683"
"2023/03/29","12817","102","4716"
"2023/03/28","12715","-115","4693"
"2023/03/27","12830","-150","4751"
"2023/03/24","12980","156","4810"
"2023/03/23","12824","200","4770"
"2023/03/22","12624","-236","4709"
"2023/03/20","12860","349","4805"
"2023/03/17","12511","28","4669"
"2023/03/16","12483","83","4682"
"2023/03/15","12400","-70","4620"
"2023/03/14","12470","273","4625"
"2023/03/13","12197","250","4518"
"2023/03/10","11947","107","4424"
"2023/03/09","11840","1","4398"
"2023/03/08","11839","-221","4397"
"2023/03/07","12060","-60","4497"
"2023/03/06","12120","118","4518"
"2023/03/03","12002","-4","4476"
"2023/03/02","12006","75","4479"
"2023/03/01","11931","60","4467"
"2023/02/28","11871","42","4476"
"2023/02/27","11829","-100","4460"
"2023/02/24","11929","-77","4498"
"2023/02/22","12006","-53","4543"
"2023/02/21","12059","-2","4563"
"2023/02/20","12061","27","4580"
"2023/02/17","12034","-1","4591"
"2023/02/16","12035","-131","4593"
"2023/02/15","12166","6","4636"
"2023/02/14","12160","-63","4662"
"2023/02/13","12223","14","4774"
"2023/02/10","12209","-102","4782"
"2023/02/09","12311","32","4818"
"2023/02/08","12279","12","4785"
"2023/02/07","12267","25","4764"
"2023/02/06","12242","-317","4756"
"2023/02/03","12559","-278","4879"
"2023/02/02","12837","161","4978"
"2023/02/01","12676","48","4917"
"2023/01/31","12628","-39","4933"
"2023/01/30","12667","-19","4936"
"2023/01/27","12686","-121","4942"
"2023/01/26","12807","62","4997"
"2023/01/25","12745","43","4975"
"2023/01/24","12702","28","4960"
"2023/01/23","12674","-51","4951"
"2023/01/20","12725","197","4993"
"2023/01/19","12528","-46","4943"
"2023/01/18","12574","-73","4947"
"2023/01/17","12647","2","4976"
"2023/01/16","12645","136","4971"
"2023/01/13","12509","133","4934"
"2023/01/12","12376","-7","4905"
"2023/01/11","12383","41","4918"
"2023/01/10","12342","243","4907"
"2023/01/06","12099","-150","4784"
"2023/01/05","12249","112","4741"
"2023/01/04","12137","135","4646"
"2022/12/30","12002","73","4580"
"2022/12/29","11929","-57","4538"
"2022/12/28","11986","91","4529"
"2022/12/27","11895","-1","4495"
"2022/12/26","11896","35","4488"
"2022/12/23","11861","-150","4497"
"2022/12/22","12011","-22","4565"
"2022/12/21","12033","196","4691"
"2022/12/20","11837","-32","4631"
"2022/12/19","11869","94","4623"
"2022/12/16","11775","-198","4580"
"2022/12/15","11973","-29","4645"
"2022/12/14","12002","207","4647"
"2022/12/13","11795","-102","4545"
"2022/12/12","11897","34","4581"
"2022/12/09","11863","9","4554"
"2022/12/08","11854","97","4544"
"2022/12/07","11757","37","4491"
"2022/12/06","11720","-211","4403"
"2022/12/05","11931","-43","4461"
"2022/12/02","11974","199","4456"
"2022/12/01","11775","133","4374"
"2022/11/30","11642","57","4329"
"2022/11/29","11585","-89","4295"
"2022/11/28","11674","10","4302"
"2022/11/25","11664","-1","4298"
"2022/11/24","11665","78","4292"
"2022/11/22","11587","-64","4268"
"2022/11/21","11651","-78","4287"
"2022/11/18","11729","-85","4304"
"2022/11/17","11814","-27","4324"
"2022/11/16","11841","31","4305"
"2022/11/15","11810","26","4137"
"2022/11/14","11784","62","4128"
"2022/11/11","11722","314","4097"
"2022/11/10","11408","-51","3992"
"2022/11/09","11459","246","3989"
"2022/11/08","11213","-52","3891"
"2022/11/07","11265","327","3891"
"2022/11/04","10938","-119","3785"
"2022/11/02","11057","111","3810"
"2022/11/01","10946","-88","3784"
"2022/10/31","11034","-128","3817"
"2022/10/28","11162","-16","3902"
"2022/10/27","11178","76","3879"
"2022/10/26","11102","26","3837"
"2022/10/25","11076","-43","3801"
"2022/10/24","11119","201","3806"
"2022/10/21","10918","-17","3725"
"2022/10/20","10935","-156","3726"
"2022/10/19","11091","20","3771"
