"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ÇrÇlÇsÅ@ÉSÅ[ÉãÉhÉCÉìÉfÉbÉNÉXÅEÉIÅ[ÉvÉìÅià◊ë÷ÉwÉbÉWÇ»ÇµÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","16770","-62","4671"
"2023/04/05","16832","174","4688"
"2023/04/04","16658","57","4653"
"2023/04/03","16601","-136","4656"
"2023/03/31","16737","267","4660"
"2023/03/30","16470","75","4546"
"2023/03/29","16395","212","4513"
"2023/03/28","16183","-147","4427"
"2023/03/27","16330","-191","4481"
"2023/03/24","16521","174","4529"
"2023/03/23","16347","71","4493"
"2023/03/22","16276","-323","4428"
"2023/03/20","16599","364","4524"
"2023/03/17","16235","68","4426"
"2023/03/16","16167","-38","4415"
"2023/03/15","16205","72","4430"
"2023/03/14","16133","233","4395"
"2023/03/13","15900","146","4327"
"2023/03/10","15754","15","4289"
"2023/03/09","15739","-24","4279"
"2023/03/08","15763","-150","4317"
"2023/03/07","15913","-53","4364"
"2023/03/06","15966","72","4379"
"2023/03/03","15894","59","4354"
"2023/03/02","15835","70","4312"
"2023/03/01","15765","86","4302"
"2023/02/28","15679","61","4298"
"2023/02/27","15618","126","4279"
"2023/02/24","15492","-176","4239"
"2023/02/22","15668","4","4284"
"2023/02/21","15664","-16","4283"
"2023/02/20","15680","46","4290"
"2023/02/17","15634","29","4284"
"2023/02/16","15605","-1","4258"
"2023/02/15","15606","64","4255"
"2023/02/14","15542","-11","4273"
"2023/02/13","15553","34","4269"
"2023/02/10","15519","-119","4252"
"2023/02/09","15638","127","4282"
"2023/02/08","15511","-182","4234"
"2023/02/07","15693","56","4291"
"2023/02/06","15637","50","4276"
"2023/02/03","15587","-316","4251"
"2023/02/02","15903","34","4316"
"2023/02/01","15869","-5","4300"
"2023/01/31","15874","-4","4294"
"2023/01/30","15878","46","4340"
"2023/01/27","15832","-112","4320"
"2023/01/26","15944","-57","4345"
"2023/01/25","16001","54","4428"
"2023/01/24","15947","167","4421"
"2023/01/23","15780","11","4367"
"2023/01/20","15769","275","4378"
"2023/01/19","15494","-351","4320"
"2023/01/18","15845","208","4433"
"2023/01/17","15637","66","4375"
"2023/01/16","15571","19","4352"
"2023/01/13","15552","-146","4359"
"2023/01/12","15698","-53","4387"
"2023/01/11","15751","118","4382"
"2023/01/10","15633","92","4347"
"2023/01/06","15541","-2","4300"
"2023/01/05","15543","279","4263"
"2023/01/04","15264","-2","4158"
"2022/12/30","15266","-70","4155"
"2022/12/29","15336","-47","4167"
"2022/12/28","15383","200","4178"
"2022/12/27","15183","104","4124"
"2022/12/26","15079","2","4097"
"2022/12/23","15077","-140","4090"
"2022/12/22","15217","33","4143"
"2022/12/21","15184","-59","4141"
"2022/12/20","15243","-231","4149"
"2022/12/19","15474","-43","4185"
"2022/12/16","15517","0","4191"
"2022/12/15","15517","-37","4184"
"2022/12/14","15554","6","4190"
"2022/12/13","15548","-12","4176"
"2022/12/12","15560","29","4177"
"2022/12/09","15531","56","4160"
"2022/12/08","15475","50","4134"
"2022/12/07","15425","134","4135"
"2022/12/06","15291","-70","4079"
"2022/12/05","15361","-148","4085"
"2022/12/02","15509","116","4093"
"2022/12/01","15393","-10","4056"
"2022/11/30","15403","79","4041"
"2022/11/29","15324","-145","4003"
"2022/11/28","15469","17","4031"
"2022/11/25","15452","-16","4027"
"2022/11/24","15468","-207","4026"
"2022/11/22","15675","108","4065"
"2022/11/21","15567","-96","4031"
"2022/11/18","15663","-30","4051"
"2022/11/17","15693","-43","4053"
"2022/11/16","15736","-48","4060"
"2022/11/15","15784","128","4063"
"2022/11/14","15656","-146","4030"
"2022/11/11","15802","-23","4060"
"2022/11/10","15825","-8","4067"
"2022/11/09","15833","271","4060"
"2022/11/08","15562","-120","3983"
"2022/11/07","15682","331","4003"
"2022/11/04","15351","-88","3909"
"2022/11/02","15439","33","3929"
"2022/11/01","15406","-66","3929"
"2022/10/31","15472","-2","3952"
"2022/10/28","15474","43","3947"
"2022/10/27","15431","-123","3933"
"2022/10/26","15554","-50","3967"
"2022/10/25","15604","-53","3958"
"2022/10/24","15657","145","3964"
"2022/10/21","15512","9","3924"
"2022/10/20","15503","-130","3919"
"2022/10/19","15633","65","3944"
"2022/10/18","15568","82","3925"
"2022/10/17","15486","-72","3926"
"2022/10/14","15558","-67","3941"
"2022/10/13","15625","170","3934"
"2022/10/12","15455","11","3891"
"2022/10/11","15444","-325","3882"
"2022/10/07","15769","13","3946"
"2022/10/06","15756","-4","3942"
"2022/10/05","15760","142","3934"
"2022/10/04","15618","344","3871"
"2022/10/03","15274","12","3793"
"2022/09/30","15262","49","3789"
"2022/09/29","15213","267","3798"
"2022/09/28","14946","53","3724"
"2022/09/27","14893","-124","3738"
"2022/09/26","15017","-321","3786"
"2022/09/22","15338","145","3868"
"2022/09/21","15193","-35","3837"
"2022/09/20","15228","113","3856"
"2022/09/16","15115","-314","3829"
"2022/09/15","15429","-182","3892"
"2022/09/14","15611","3","3939"
"2022/09/13","15608","50","3904"
"2022/09/12","15558","-21","3872"
"2022/09/09","15579","-174","3885"
"2022/09/08","15753","310","3923"
"2022/09/07","15443","214","3833"
"2022/09/06","15229","-9","3780"
"2022/09/05","15238","172","3775"
"2022/09/02","15066","-79","3707"
"2022/09/01","15145","-18","3722"
"2022/08/31","15163","-122","3720"
"2022/08/30","15285","29","3738"
"2022/08/29","15256","-9","3728"
"2022/08/26","15265","25","3729"
"2022/08/25","15240","47","3719"
"2022/08/24","15193","73","3703"
"2022/08/23","15120","-86","3684"
"2022/08/22","15206","-23","3702"
"2022/08/19","15229","115","3698"
"2022/08/18","15114","-27","3676"
"2022/08/17","15141","96","3679"
"2022/08/16","15045","-167","3647"
"2022/08/15","15212","101","3708"
"2022/08/12","15111","-299","3674"
"2022/08/10","15410","86","3751"
"2022/08/09","15324","80","3705"
"2022/08/08","15244","96","3693"
"2022/08/05","15148","164","3668"
"2022/08/04","14984","35","3704"
"2022/08/03","14949","227","3673"
"2022/08/02","14722","-148","3627"
"2022/08/01","14870","-146","3660"
"2022/07/29","15016","-6","3688"
"2022/07/28","15022","77","3684"
"2022/07/27","14945","40","3661"
"2022/07/26","14905","-63","3656"
"2022/07/25","14968","-37","3678"
"2022/07/22","15005","80","3685"
"2022/07/21","14925","-102","3647"
"2022/07/20","15027","34","3643"
"2022/07/19","14993","-89","3659"
"2022/07/15","15082","-124","3697"
"2022/07/14","15206","185","3718"
"2022/07/13","15021","-74","3652"
"2022/07/12","15095","-11","3653"
"2022/07/11","15106","54","3661"
"2022/07/08","15052","29","3665"
"2022/07/07","15023","-218","3699"
"2022/07/06","15241","-378","3663"
"2022/07/05","15619","133","3754"
"2022/07/04","15486","-121","3682"
"2022/07/01","15607","-189","3700"
"2022/06/30","15796","58","3730"
"2022/06/29","15738","45","3711"
"2022/06/28","15693","86","3668"
"2022/06/27","15607","-80","3641"
"2022/06/24","15687","-222","3638"
"2022/06/23","15909","39","3678"
"2022/06/22","15870","90","3619"
"2022/06/21","15780","-5","3599"
"2022/06/20","15785","101","3587"
"2022/06/17","15684","49","3543"
"2022/06/16","15635","125","3507"
"2022/06/15","15510","-25","3486"
"2022/06/14","15535","-523","3480"
"2022/06/13","16058","302","3576"
"2022/06/10","15756","-78","3508"
"2022/06/09","15834","190","3530"
"2022/06/08","15644","168","3484"
"2022/06/07","15476","89","3492"
"2022/06/06","15387","-42","3467"
"2022/06/03","15429","159","3468"
"2022/06/02","15270","227","3415"
"2022/06/01","15043","-70","3350"
"2022/05/31","15113","140","3366"
"2022/05/30","14973","10","3332"
"2022/05/27","14963","-82","3327"
"2022/05/26","15045","-31","3342"
"2022/05/25","15076","1","3345"
"2022/05/24","15075","92","3321"
"2022/05/23","14983","-4","3276"
"2022/05/20","14987","155","3277"
"2022/05/19","14832","-104","3253"
"2022/05/18","14936","-82","3250"
"2022/05/17","15018","96","3287"
"2022/05/16","14922","-30","3263"
"2022/05/13","14952","-334","3269"
"2022/05/12","15286","61","3354"
"2022/05/11","15225","-96","3341"
"2022/05/10","15321","-320","3355"
"2022/05/09","15641","61","3411"
"2022/05/06","15580","-110","3388"
"2022/05/02","15690","234","3435"
"2022/04/28","15456","29","3383"
"2022/04/27","15427","27","3383"
"2022/04/26","15400","-428","3404"
"2022/04/25","15828","-140","3494"
"2022/04/22","15968","-9","3500"
"2022/04/21","15977","-53","3448"
"2022/04/20","16030","9","3401"
"2022/04/19","16021","136","3262"
"2022/04/18","15885","39","3235"
"2022/04/15","15846","35","3184"
"2022/04/14","15811","78","3069"
"2022/04/13","15733","125","2994"
"2022/04/12","15608","184","2904"
"2022/04/11","15424","214","2844"
"2022/04/08","15210","65","2777"
"2022/04/07","15145","8","2751"
"2022/04/06","15137","65","2746"
"2022/04/05","15072","93","2739"
"2022/04/04","14979","-90","2690"
"2022/04/01","15069","5","2674"
"2022/03/31","15064","95","2677"
"2022/03/30","14969","-202","2649"
"2022/03/29","15171","-36","2647"
"2022/03/28","15207","-33","2618"
"2022/03/25","15240","247","2616"
"2022/03/24","14993","171","2594"
"2022/03/23","14822","39","2559"
"2022/03/22","14783","138","2545"
"2022/03/18","14645","42","2518"
"2022/03/17","14603","150","2579"
"2022/03/16","14453","-242","2511"
"2022/03/15","14695","-144","2532"
"2022/03/14","14839","49","2574"
"2022/03/11","14790","90","2559"
"2022/03/10","14700","-425","2514"
"2022/03/09","15125","447","2566"
"2022/03/08","14678","271","2448"
"2022/03/07","14407","172","2403"
"2022/03/04","14235","56","2376"
"2022/03/03","14179","-71","2366"
"2022/03/02","14250","227","2358"
"2022/03/01","14023","102","2314"
"2022/02/28","13921","-49","2331"
"2022/02/25","13970","-14","2352"
"2022/02/24","13984","115","2296"
"2022/02/22","13869","-33","2278"
"2022/02/21","13902","-2","2264"
"2022/02/18","13904","123","2253"
"2022/02/17","13781","120","2228"
"2022/02/16","13661","-100","2177"
"2022/02/15","13761","64","2177"
"2022/02/14","13697","186","2163"
"2022/02/10","13511","59","2133"
"2022/02/09","13452","57","2118"
