"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇcÇrÅ|ÉOÉçÅ[ÉCÉìÉOÅEÉtÉçÉìÉeÉBÉAäîéÆÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12366","-55","2955"
"2023/04/05","12421","-28","2977"
"2023/04/04","12449","-10","2983"
"2023/04/03","12459","-46","2986"
"2023/03/31","12505","148","2995"
"2023/03/30","12357","136","2950"
"2023/03/29","12221","85","2903"
"2023/03/28","12136","88","2883"
"2023/03/27","12048","-126","2846"
"2023/03/24","12174","62","2875"
"2023/03/23","12112","-69","2844"
"2023/03/22","12181","36","2860"
"2023/03/20","12145","-167","2852"
"2023/03/17","12312","79","2888"
"2023/03/16","12233","-279","2862"
"2023/03/15","12512","139","2918"
"2023/03/14","12373","-194","2885"
"2023/03/13","12567","-156","2933"
"2023/03/10","12723","-19","2968"
"2023/03/09","12742","-85","2978"
"2023/03/08","12827","92","3002"
"2023/03/07","12735","9","2984"
"2023/03/06","12726","-103","2983"
"2023/03/03","12829","-31","3013"
"2023/03/02","12860","56","3020"
"2023/03/01","12804","-43","3004"
"2023/02/28","12847","-56","3012"
"2023/02/27","12903","63","3023"
"2023/02/24","12840","-178","3016"
"2023/02/22","13018","45","3049"
"2023/02/21","12973","77","3039"
"2023/02/20","12896","24","3026"
"2023/02/17","12872","102","3017"
"2023/02/16","12770","107","2997"
"2023/02/15","12663","-25","2975"
"2023/02/14","12688","-8","2983"
"2023/02/13","12696","-63","2982"
"2023/02/10","12759","74","2996"
"2023/02/09","12685","154","2976"
"2023/02/08","12531","-241","2927"
"2023/02/07","12772","-43","2984"
"2023/02/06","12815","314","2994"
"2023/02/03","12501","138","2917"
"2023/02/02","12363","-132","2884"
"2023/02/01","12495","-102","2911"
"2023/01/31","12597","-24","2936"
"2023/01/30","12621","1","2923"
"2023/01/27","12620","58","2890"
"2023/01/26","12562","-117","2864"
"2023/01/25","12679","-2","2884"
"2023/01/24","12681","164","2884"
