"基準価額一覧"
""
"ファンド名","イーストスプリング－イーストスプリング・インド・コア株式ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20220307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","9102","21","4368"
"2023/04/05","9081","-69","4358"
"2023/04/04","9150","-18","4313"
"2023/04/03","9168","91","4298"
"2023/03/31","9077","64","4256"
"2023/03/30","9013","159","4198"
"2023/03/29","8854","13","4105"
"2023/03/28","8841","-30","4073"
"2023/03/27","8871","-101","4068"
"2023/03/24","8972","48","4075"
"2023/03/23","8924","-106","4053"
"2023/03/22","9030","-1","4065"
"2023/03/20","9031","11","4031"
"2023/03/17","9020","17","4006"
"2023/03/16","9003","-126","3967"
"2023/03/15","9129","19","4007"
"2023/03/14","9110","-189","3978"
"2023/03/13","9299","-166","4037"
"2023/03/10","9465","-122","4071"
"2023/03/09","9587","-39","4072"
"2023/03/08","9626","81","4089"
"2023/03/07","9545","84","4014"
"2023/03/06","9461","54","3959"
"2023/03/03","9407","9","3920"
"2023/03/02","9398","51","3844"
"2023/03/01","9347","38","3805"
"2023/02/28","9309","-64","3750"
"2023/02/27","9373","123","3736"
"2023/02/24","9250","-143","3672"
"2023/02/22","9393","13","3673"
"2023/02/21","9380","-8","3668"
"2023/02/20","9388","-36","3638"
"2023/02/17","9424","32","3625"
"2023/02/16","9392","107","3584"
"2023/02/15","9285","50","3527"
"2023/02/14","9235","-33","3452"
"2023/02/13","9268","9","3444"
"2023/02/10","9259","7","3423"
"2023/02/09","9252","82","3399"
"2023/02/08","9170","-170","3338"
"2023/02/07","9340","4","3361"
"2023/02/06","9336","283","3332"
"2023/02/03","9053","-25","3140"
"2023/02/02","9078","-95","3149"
"2023/02/01","9173","27","3175"
"2023/01/31","9146","35","3122"
"2023/01/30","9111","-126","3043"
"2023/01/27","9237","22","3085"
"2023/01/26","9215","-220","3017"
"2023/01/25","9435","-2","3089"
"2023/01/24","9437","78","3090"
"2023/01/23","9359","12","3064"
"2023/01/20","9347","42","3029"
"2023/01/19","9305","-145","2996"
"2023/01/18","9450","153","3010"
"2023/01/17","9297","4","2864"
"2023/01/16","9293","-49","2827"
"2023/01/13","9342","-183","2800"
"2023/01/12","9525","15","2807"
"2023/01/11","9510","29","2668"
"2023/01/10","9481","-61","2624"
"2023/01/06","9542","126","2577"
"2023/01/05","9416","40","2425"
"2023/01/04","9376","-118","2381"
"2022/12/30","9494","-75","2384"
"2022/12/29","9569","2","2369"
"2022/12/28","9567","294","2306"
"2022/12/27","9273","62","2235"
"2022/12/26","9211","-243","2221"
"2022/12/23","9454","-25","2242"
"2022/12/22","9479","-72","2221"
"2022/12/21","9551","-236","2189"
"2022/12/20","9787","-49","2089"
"2022/12/19","9836","-215","2068"
"2022/12/16","10051","86","2077"
"2022/12/15","9965","43","2025"
"2022/12/14","9922","-144","1969"
"2022/12/13","10066","26","1880"
"2022/12/12","10040","-47","1849"
"2022/12/09","10087","80","1840"
"2022/12/08","10007","-110","1804"
"2022/12/07","10117","-44","1805"
"2022/12/06","10161","91","1768"
"2022/12/05","10070","-70","1719"
"2022/12/02","10140","-12","1674"
"2022/12/01","10152","-47","1635"
"2022/11/30","10199","18","1602"
"2022/11/29","10181","-11","1573"
"2022/11/28","10192","61","1547"
"2022/11/25","10131","64","1477"
"2022/11/24","10067","-165","1444"
"2022/11/22","10232","77","1417"
"2022/11/21","10155","-75","1384"
"2022/11/18","10230","-27","1376"
"2022/11/17","10257","-25","1333"
"2022/11/16","10282","-65","1295"
"2022/11/15","10347","-28","1234"
"2022/11/14","10375","-21","1205"
"2022/11/11","10396","-440","1170"
"2022/11/10","10836","77","1180"
"2022/11/09","10759","-47","1171"
"2022/11/08","10806","54","1113"
"2022/11/07","10752","-24","1031"
"2022/11/04","10776","12","1033"
"2022/11/02","10764","-94","981"
"2022/11/01","10858","119","933"
"2022/10/31","10739","83","909"
"2022/10/28","10656","140","858"
"2022/10/27","10516","-122","847"
"2022/10/26","10638","-24","711"
"2022/10/25","10662","1","713"
"2022/10/24","10661","-86","713"
"2022/10/21","10747","-102","683"
"2022/10/20","10849","59","667"
"2022/10/19","10790","136","641"
"2022/10/18","10654","28","607"
"2022/10/17","10626","89","583"
"2022/10/14","10537","-35","564"
"2022/10/13","10572","103","546"
"2022/10/12","10469","-71","424"
"2022/10/11","10540","-84","419"
"2022/10/07","10624","33","398"
"2022/10/06","10591","45","397"
"2022/10/05","10546","116","381"
"2022/10/04","10430","-129","356"
"2022/10/03","10559","174","364"
"2022/09/30","10385","60","345"
"2022/09/29","10325","-108","335"
"2022/09/28","10433","37","335"
"2022/09/27","10396","-218","313"
"2022/09/26","10614","-285","293"
"2022/09/22","10899","-20","284"
"2022/09/21","10919","144","254"
"2022/09/20","10775","-188","247"
"2022/09/16","10963","-53","243"
"2022/09/15","11016","-146","241"
"2022/09/14","11162","276","240"
"2022/09/13","10886","47","223"
"2022/09/12","10839","-66","218"
"2022/09/09","10905","54","215"
"2022/09/08","10851","140","213"
"2022/09/07","10711","206","209"
"2022/09/06","10505","25","199"
"2022/09/05","10480","-16","184"
"2022/09/02","10496","38","184"
"2022/09/01","10458","62","183"
"2022/08/31","10396","219","179"
"2022/08/30","10177","-85","172"
"2022/08/29","10262","140","172"
"2022/08/26","10122","-14","168"
"2022/08/25","10136","36","165"
"2022/08/24","10100","45","160"
"2022/08/23","10055","-111","150"
"2022/08/22","10166","-46","149"
"2022/08/19","10212","108","144"
"2022/08/18","10104","71","142"
"2022/08/17","10033","152","129"
"2022/08/16","9881","13","128"
"2022/08/15","9868","-26","124"
"2022/08/12","9894","-126","117"
"2022/08/10","10020","22","119"
"2022/08/09","9998","-25","119"
"2022/08/08","10023","271","97"
"2022/08/05","9752","-124","92"
"2022/08/04","9876","-47","91"
"2022/08/03","9923","173","89"
"2022/08/02","9750","-135","77"
"2022/08/01","9885","-115","76"
"2022/07/29","10000","‐","77"
