"基準価額一覧"
""
"ファンド名","イーストスプリング－イーストスプリング・ベトナム株式ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20220307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","9189","-6","2099"
"2023/04/05","9195","-67","2074"
"2023/04/04","9262","52","2062"
"2023/04/03","9210","0","2047"
"2023/03/31","9210","128","2042"
"2023/03/30","9082","111","2010"
"2023/03/29","8971","42","1969"
"2023/03/28","8929","68","1948"
"2023/03/27","8861","-54","1920"
"2023/03/24","8915","41","1923"
"2023/03/23","8874","-46","1905"
"2023/03/22","8920","-68","1911"
"2023/03/20","8988","-140","1919"
"2023/03/17","9128","-37","1944"
"2023/03/16","9165","7","1942"
"2023/03/15","9158","20","1957"
"2023/03/14","9138","-89","1954"
"2023/03/13","9227","-140","1969"
"2023/03/10","9367","-11","1996"
"2023/03/09","9378","57","1986"
"2023/03/08","9321","197","1966"
"2023/03/07","9124","12","1911"
"2023/03/06","9112","-143","1929"
"2023/03/03","9255","-10","1947"
"2023/03/02","9265","182","1936"
"2023/03/01","9083","77","1893"
"2023/02/28","9006","-155","1872"
"2023/02/27","9161","18","1864"
"2023/02/24","9143","-333","1848"
"2023/02/22","9476","-14","1895"
"2023/02/21","9490","257","1894"
"2023/02/20","9233","-65","1836"
"2023/02/17","9298","101","1845"
"2023/02/16","9197","151","1819"
"2023/02/15","9046","-19","1769"
"2023/02/14","9065","10","1758"
"2023/02/13","9055","-29","1749"
"2023/02/10","9084","-59","1738"
"2023/02/09","9143","75","1728"
"2023/02/08","9068","-306","1697"
"2023/02/07","9374","106","1748"
"2023/02/06","9268","264","1710"
"2023/02/03","9004","38","1651"
"2023/02/02","8966","-408","1612"
"2023/02/01","9374","60","1691"
"2023/01/31","9314","-59","1671"
"2023/01/30","9373","76","1533"
"2023/01/27","9297","22","1521"
"2023/01/26","9275","-78","1517"
"2023/01/25","9353","-2","1530"
"2023/01/24","9355","78","1530"
"2023/01/23","9277","41","1518"
