"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEêVãªçëäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12063","-134","18830"
"2023/04/05","12197","-106","19032"
"2023/04/04","12303","11","19034"
"2023/04/03","12292","-85","18993"
"2023/03/31","12377","219","19096"
"2023/03/30","12158","145","18749"
"2023/03/29","12013","223","18511"
"2023/03/28","11790","-78","18134"
"2023/03/27","11868","-19","18239"
"2023/03/24","11887","126","18258"
"2023/03/23","11761","-114","18041"
"2023/03/22","11875","131","18189"
"2023/03/20","11744","-140","17971"
"2023/03/17","11884","174","18151"
"2023/03/16","11710","-331","17846"
"2023/03/15","12041","146","18330"
"2023/03/14","11895","-120","18087"
"2023/03/13","12015","-195","18248"
"2023/03/10","12210","-363","18540"
"2023/03/09","12573","29","19058"
"2023/03/08","12544","-63","19001"
"2023/03/07","12607","-41","19081"
"2023/03/06","12648","30","19166"
"2023/03/03","12618","96","19096"
"2023/03/02","12522","237","18805"
"2023/03/01","12285","-44","18428"
"2023/02/28","12329","66","18487"
"2023/02/27","12263","-80","18352"
"2023/02/24","12343","-59","18460"
"2023/02/22","12402","-108","18511"
"2023/02/21","12510","-12","18672"
"2023/02/20","12522","-107","18683"
"2023/02/17","12629","9","18823"
"2023/02/16","12620","68","18788"
"2023/02/15","12552","14","18678"
"2023/02/14","12538","168","18626"
"2023/02/13","12370","-101","18356"
"2023/02/10","12471","41","18487"
"2023/02/09","12430","52","18382"
"2023/02/08","12378","-120","18319"
"2023/02/07","12498","-112","18434"
"2023/02/06","12610","129","18553"
"2023/02/03","12481","-77","18346"
"2023/02/02","12558","5","18304"
"2023/02/01","12553","-75","18243"
"2023/01/31","12628","-209","18339"
"2023/01/30","12837","-36","18619"
"2023/01/27","12873","147","18668"
"2023/01/26","12726","-110","18437"
"2023/01/25","12836","-7","18584"
"2023/01/24","12843","197","18566"
"2023/01/23","12646","226","18257"
"2023/01/20","12420","103","17921"
"2023/01/19","12317","-306","17769"
"2023/01/18","12623","179","18164"
"2023/01/17","12444","52","17906"
"2023/01/16","12392","-49","17820"
"2023/01/13","12441","-175","17885"
"2023/01/12","12616","-5","18121"
"2023/01/11","12621","166","18068"
"2023/01/10","12455","112","17826"
"2023/01/06","12343","116","17598"
"2023/01/05","12227","414","17304"
"2023/01/04","11813","-171","16709"
"2022/12/30","11984","64","16939"
"2022/12/29","11920","-185","16833"
"2022/12/28","12105","232","17040"
"2022/12/27","11873","81","16713"
"2022/12/26","11792","-39","16587"
"2022/12/23","11831","-72","16619"
"2022/12/22","11903","154","16700"
"2022/12/21","11749","-269","16462"
"2022/12/20","12018","-118","16842"
"2022/12/19","12136","-160","16994"
"2022/12/16","12296","-39","17191"
"2022/12/15","12335","14","17234"
"2022/12/14","12321","-120","17196"
"2022/12/13","12441","50","17325"
"2022/12/12","12391","-86","17239"
"2022/12/09","12477","143","17322"
"2022/12/08","12334","-164","17106"
"2022/12/07","12498","98","17319"
"2022/12/06","12400","22","17167"
"2022/12/05","12378","-25","17105"
"2022/12/02","12403","-160","16989"
"2022/12/01","12563","173","17192"
"2022/11/30","12390","235","16952"
"2022/11/29","12155","-56","16593"
"2022/11/28","12211","-37","16616"
"2022/11/25","12248","-13","16666"
"2022/11/24","12261","-150","16671"
"2022/11/22","12411","38","16842"
"2022/11/21","12373","-102","16779"
"2022/11/18","12475","145","16907"
"2022/11/17","12330","-189","16694"
"2022/11/16","12519","219","16922"
"2022/11/15","12300","34","16603"
"2022/11/14","12266","61","16556"
"2022/11/11","12205","25","16455"
"2022/11/10","12180","-174","16417"
"2022/11/09","12354","-8","16624"
"2022/11/08","12362","-58","16607"
"2022/11/07","12420","374","16672"
"2022/11/04","12046","74","16153"
"2022/11/02","11972","98","15915"
"2022/11/01","11874","3","15743"
"2022/10/31","11871","57","15732"
"2022/10/28","11814","-45","15651"
"2022/10/27","11859","-10","15699"
"2022/10/26","11869","18","15697"
"2022/10/25","11851","-519","15662"
"2022/10/24","12370","103","16339"
"2022/10/21","12267","110","16188"
"2022/10/20","12157","-163","16039"
"2022/10/19","12320","34","16245"
"2022/10/18","12286","332","16171"
"2022/10/17","11954","-116","15725"
"2022/10/14","12070","99","15867"
"2022/10/13","11971","65","15725"
"2022/10/12","11906","-173","15595"
"2022/10/11","12079","-333","15812"
"2022/10/07","12412","-63","16244"
"2022/10/06","12475","71","16309"
"2022/10/05","12404","300","16205"
"2022/10/04","12104","151","15664"
"2022/10/03","11953","-10","15459"
"2022/09/30","11963","-194","15453"
"2022/09/29","12157","73","15685"
"2022/09/28","12084","-3","15578"
"2022/09/27","12087","-123","15561"
"2022/09/26","12210","-368","15716"
"2022/09/22","12578","-152","16188"
"2022/09/21","12730","8","16357"
"2022/09/20","12722","-111","16337"
"2022/09/16","12833","-136","16456"
"2022/09/15","12969","-34","16629"
"2022/09/14","13003","-222","16726"
"2022/09/13","13225","147","17005"
"2022/09/12","13078","98","16820"
"2022/09/09","12980","-113","16668"
"2022/09/08","13093","212","16804"
"2022/09/07","12881","157","16521"
"2022/09/06","12724","-8","16319"
"2022/09/05","12732","-93","16322"
"2022/09/02","12825","-16","16307"
"2022/09/01","12841","107","16315"
"2022/08/31","12734","-166","16169"
"2022/08/30","12900","-35","16373"
"2022/08/29","12935","-23","16416"
"2022/08/26","12958","234","16436"
"2022/08/25","12724","20","16132"
"2022/08/24","12704","31","16103"
"2022/08/23","12673","-73","16057"
"2022/08/22","12746","-66","16141"
"2022/08/19","12812","62","16220"
"2022/08/18","12750","37","16145"
