"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEêÊêiçëäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","15708","-126","14180"
"2023/04/05","15834","-201","14295"
"2023/04/04","16035","14","14370"
"2023/04/03","16021","142","14331"
"2023/03/31","15879","231","14201"
"2023/03/30","15648","349","13987"
"2023/03/29","15299","65","13663"
"2023/03/28","15234","74","13576"
"2023/03/27","15160","44","13503"
"2023/03/24","15116","-5","13459"
"2023/03/23","15121","-404","13436"
"2023/03/22","15525","368","13771"
"2023/03/20","15157","-280","13433"
"2023/03/17","15437","268","13671"
"2023/03/16","15169","-376","13406"
"2023/03/15","15545","387","13728"
"2023/03/14","15158","-200","13389"
"2023/03/13","15358","-417","13549"
"2023/03/10","15775","-386","13911"
"2023/03/09","16161","13","14232"
"2023/03/08","16148","-119","14226"
"2023/03/07","16267","5","14322"
"2023/03/06","16262","156","14311"
"2023/03/03","16106","142","14162"
"2023/03/02","15964","-30","13931"
"2023/03/01","15994","-51","13934"
"2023/02/28","16045","96","13952"
"2023/02/27","15949","44","13855"
"2023/02/24","15905","-39","13807"
"2023/02/22","15944","-217","13804"
"2023/02/21","16161","-15","13992"
"2023/02/20","16176","-23","14004"
"2023/02/17","16199","-139","14028"
"2023/02/16","16338","191","14134"
"2023/02/15","16147","66","13955"
"2023/02/14","16081","234","13886"
"2023/02/13","15847","6","13670"
"2023/02/10","15841","-88","13661"
"2023/02/09","15929","-54","13714"
"2023/02/08","15983","-25","13766"
"2023/02/07","16008","-109","13782"
"2023/02/06","16117","268","13872"
"2023/02/03","15849","190","13636"
"2023/02/02","15659","4","13366"
"2023/02/01","15655","122","13351"
"2023/01/31","15533","-135","13240"
"2023/01/30","15668","97","13348"
"2023/01/27","15571","160","13256"
"2023/01/26","15411","-106","13105"
"2023/01/25","15517","-20","13189"
"2023/01/24","15537","280","13180"
"2023/01/23","15257","310","12926"
"2023/01/20","14947","-62","12660"
"2023/01/19","15009","-479","12707"
"2023/01/18","15488","315","13073"
"2023/01/17","15173","63","12807"
"2023/01/16","15110","-94","12754"
"2023/01/13","15204","-191","12825"
"2023/01/12","15395","123","12980"
"2023/01/11","15272","156","12820"
"2023/01/10","15116","170","12675"
"2023/01/06","14946","7","12475"
"2023/01/05","14939","288","12372"
"2023/01/04","14651","-276","12127"
"2022/12/30","14927","92","12349"
"2022/12/29","14835","-155","12260"
"2022/12/28","14990","47","12349"
"2022/12/27","14943","101","12311"
"2022/12/26","14842","30","12223"
"2022/12/23","14812","-132","12192"
"2022/12/22","14944","259","12275"
"2022/12/21","14685","-274","12063"
"2022/12/20","14959","-301","12282"
"2022/12/19","15260","-317","12536"
"2022/12/16","15577","-149","12771"
"2022/12/15","15726","-64","12887"
"2022/12/14","15790","-116","12952"
"2022/12/13","15906","282","13019"
"2022/12/12","15624","-92","12801"
"2022/12/09","15716","156","12845"
"2022/12/08","15560","-114","12730"
"2022/12/07","15674","-102","12819"
"2022/12/06","15776","-76","12904"
"2022/12/05","15852","-119","12951"
"2022/12/02","15971","-124","12946"
"2022/12/01","16095","211","13029"
"2022/11/30","15884","4","12853"
"2022/11/29","15880","-273","12827"
"2022/11/28","16153","38","13032"
"2022/11/25","16115","-18","13000"
"2022/11/24","16133","21","12993"
"2022/11/22","16112","102","12955"
"2022/11/21","16010","59","12871"
"2022/11/18","15951","41","12808"
"2022/11/17","15910","-137","12770"
"2022/11/16","16047","48","12863"
"2022/11/15","15999","-57","12799"
"2022/11/14","16056","-48","12845"
"2022/11/11","16104","375","12867"
"2022/11/10","15729","-241","12561"
"2022/11/09","15970","38","12722"
"2022/11/08","15932","70","12671"
"2022/11/07","15862","185","12610"
"2022/11/04","15677","-418","12449"
"2022/11/02","16095","-110","12696"
"2022/11/01","16205","-62","12770"
"2022/10/31","16267","457","12808"
"2022/10/28","15810","-26","12441"
"2022/10/27","15836","-233","12457"
"2022/10/26","16069","208","12630"
"2022/10/25","15861","105","12456"
"2022/10/24","15756","205","12356"
"2022/10/21","15551","-63","12183"
"2022/10/20","15614","-85","12226"
"2022/10/19","15699","198","12290"
"2022/10/18","15501","421","12115"
"2022/10/17","15080","-202","11783"
"2022/10/14","15282","399","11930"
"2022/10/13","14883","28","11606"
"2022/10/12","14855","-74","11536"
"2022/10/11","14929","-403","11587"
"2022/10/07","15332","-154","11900"
"2022/10/06","15486","-5","12006"
"2022/10/05","15491","432","12001"
"2022/10/04","15059","351","11556"
"2022/10/03","14708","-152","11260"
"2022/09/30","14860","-217","11371"
"2022/09/29","15077","274","11522"
"2022/09/28","14803","-20","11302"
"2022/09/27","14823","-133","11289"
"2022/09/26","14956","-536","11383"
"2022/09/22","15492","-165","11771"
"2022/09/21","15657","-169","11872"
"2022/09/20","15826","-12","11991"
"2022/09/16","15838","-183","11982"
"2022/09/15","16021","-66","12110"
"2022/09/14","16087","-442","12426"
"2022/09/13","16529","162","12755"
"2022/09/12","16367","188","12627"
"2022/09/09","16179","22","12456"
"2022/09/08","16157","389","12436"
"2022/09/07","15768","235","12121"
"2022/09/06","15533","-9","11940"
"2022/09/05","15542","-106","11938"
"2022/09/02","15648","5","11916"
"2022/09/01","15643","-14","11897"
"2022/08/31","15657","-148","11900"
"2022/08/30","15805","-66","11993"
"2022/08/29","15871","-323","12034"
"2022/08/26","16194","199","12251"
"2022/08/25","15995","51","12091"
"2022/08/24","15944","-57","12034"
"2022/08/23","16001","-303","12063"
"2022/08/22","16304","-138","12287"
"2022/08/19","16442","186","12390"
"2022/08/18","16256","-74","12143"
"2022/08/17","16330","167","12083"
"2022/08/16","16163","33","11940"
"2022/08/15","16130","178","11915"
"2022/08/12","15952","133","11779"
"2022/08/10","15819","-53","11680"
"2022/08/09","15872","-30","11666"
"2022/08/08","15902","229","11683"
"2022/08/05","15673","-50","11513"
"2022/08/04","15723","184","11546"
"2022/08/03","15539","194","11402"
"2022/08/02","15345","-264","11148"
"2022/08/01","15609","14","11340"
"2022/07/29","15595","-30","11324"
"2022/07/28","15625","301","11339"
"2022/07/27","15324","-128","11118"
"2022/07/26","15452","27","11190"
"2022/07/25","15425","-205","11163"
"2022/07/22","15630","24","11302"
"2022/07/21","15606","106","11271"
"2022/07/20","15500","398","11185"
"2022/07/19","15102","143","10891"
"2022/07/15","14959","-13","10785"
"2022/07/14","14972","58","10786"
"2022/07/13","14914","-118","10737"
"2022/07/12","15032","-130","10800"
"2022/07/11","15162","55","10857"
"2022/07/08","15107","260","10812"
"2022/07/07","14847","35","10621"
"2022/07/06","14812","-116","10607"
"2022/07/05","14928","127","10690"
"2022/07/04","14801","0","10500"
"2022/07/01","14801","-187","10482"
"2022/06/30","14988","5","10612"
"2022/06/29","14983","-160","10599"
"2022/06/28","15143","60","10685"
"2022/06/27","15083","383","10634"
"2022/06/24","14700","-23","10357"
"2022/06/23","14723","-90","10371"
"2022/06/22","14813","419","10378"
"2022/06/21","14394","-4","10084"
"2022/06/20","14398","226","10076"
"2022/06/17","14172","-568","9903"
"2022/06/16","14740","148","10274"
"2022/06/15","14592","21","10166"
"2022/06/14","14571","-675","10137"
"2022/06/13","15246","-339","10585"
"2022/06/10","15585","-394","10822"
"2022/06/09","15979","16","11079"
"2022/06/08","15963","188","11069"
"2022/06/07","15775","218","10930"
"2022/06/06","15557","-123","10777"
"2022/06/03","15680","280","10853"
"2022/06/02","15400","10","10559"
"2022/06/01","15390","-6","10510"
"2022/05/31","15396","142","10514"
"2022/05/30","15254","307","10398"
"2022/05/27","14947","195","10181"
"2022/05/26","14752","155","10024"
"2022/05/25","14597","-202","9913"
"2022/05/24","14799","253","10017"
"2022/05/23","14546","19","9830"
"2022/05/20","14527","-48","9803"
"2022/05/19","14575","-610","9828"
"2022/05/18","15185","309","10219"
"2022/05/17","14876","-89","9983"
"2022/05/16","14965","474","10015"
"2022/05/13","14491","-100","9688"
"2022/05/12","14591","-249","9747"
"2022/05/11","14840","70","9891"
"2022/05/10","14770","-604","9820"
"2022/05/09","15374","-89","10195"
"2022/05/06","15463","27","10130"
"2022/05/02","15436","36","10100"
"2022/04/28","15400","174","10069"
"2022/04/27","15226","-435","9943"
"2022/04/26","15661","-113","10205"
"2022/04/25","15774","-362","10272"
"2022/04/22","16136","-199","10496"
"2022/04/21","16335","-116","10614"
"2022/04/20","16451","468","10691"
"2022/04/19","15983","39","10356"
"2022/04/18","15944","38","10331"
"2022/04/15","15906","-52","10298"
"2022/04/14","15958","196","10322"
"2022/04/13","15762","-62","10191"
"2022/04/12","15824","-109","10213"
"2022/04/11","15933","71","10257"
"2022/04/08","15862","60","10206"
"2022/04/07","15802","-215","10160"
"2022/04/06","16017","-50","10286"
"2022/04/05","16067","128","10308"
"2022/04/04","15939","106","10131"
"2022/04/01","15833","-262","10043"
"2022/03/31","16095","-122","10216"
"2022/03/30","16217","38","10290"
"2022/03/29","16179","311","10259"
"2022/03/28","15868","70","10044"
"2022/03/25","15798","315","9996"
"2022/03/24","15483","-218","9781"
"2022/03/23","15701","314","9893"
"2022/03/22","15387","306","9677"
"2022/03/18","15081","141","9473"
"2022/03/17","14940","469","9377"
"2022/03/16","14471","264","9063"
"2022/03/15","14207","20","8882"
"2022/03/14","14187","-32","8859"
"2022/03/11","14219","-58","8859"
"2022/03/10","14277","451","8887"
"2022/03/09","13826","21","8587"
"2022/03/08","13805","-377","8557"
"2022/03/07","14182","-268","8785"
"2022/03/04","14450","-172","8944"
"2022/03/03","14622","306","9037"
"2022/03/02","14316","-274","8750"
"2022/03/01","14590","-122","8878"
"2022/02/28","14712","337","8939"
"2022/02/25","14375","176","8727"
"2022/02/24","14199","-360","8580"
"2022/02/22","14559","-34","8797"
"2022/02/21","14593","-87","8808"
"2022/02/18","14680","-367","8856"
"2022/02/17","15047","-3","9054"
"2022/02/16","15050","293","9041"
"2022/02/15","14757","-73","8853"
"2022/02/14","14830","-510","8874"
"2022/02/10","15340","250","9172"
"2022/02/09","15090","148","9006"
"2022/02/08","14942","-10","8900"
"2022/02/07","14952","108","8900"
"2022/02/04","14844","-240","8828"
"2022/02/03","15084","67","8964"
"2022/02/02","15017","82","8860"
"2022/02/01","14935","238","8790"
"2022/01/31","14697","239","8641"
"2022/01/28","14458","-2","8489"
"2022/01/27","14460","44","8490"
"2022/01/26","14416","-177","8448"
"2022/01/25","14593","9","8544"
"2022/01/24","14584","-255","8525"
"2022/01/21","14839","-204","8658"
"2022/01/20","15043","-148","8773"
"2022/01/19","15191","-251","8822"
"2022/01/18","15442","30","8968"
"2022/01/17","15412","18","8939"
"2022/01/14","15394","-255","8920"
"2022/01/13","15649","-15","9062"
"2022/01/12","15664","170","9036"
"2022/01/11","15494","-177","8926"
"2022/01/07","15671","-40","9018"
"2022/01/06","15711","-289","9011"
"2022/01/05","16000","112","9072"
"2022/01/04","15888","83","9001"
"2021/12/30","15805","22","8949"
"2021/12/29","15783","-25","8926"
"2021/12/28","15808","244","8906"
"2021/12/27","15564","-11","8769"
"2021/12/24","15575","131","8764"
"2021/12/23","15444","154","8679"
"2021/12/22","15290","321","8575"
"2021/12/21","14969","-135","8366"
"2021/12/20","15104","-177","8437"
"2021/12/17","15281","-138","8515"
"2021/12/16","15419","268","8564"
"2021/12/15","15151","-82","8406"
"2021/12/14","15233","-136","8433"
"2021/12/13","15369","86","8484"
"2021/12/10","15283","-190","8428"
"2021/12/09","15473","82","8516"
"2021/12/08","15391","331","8459"
"2021/12/07","15060","215","8255"
"2021/12/06","14845","-122","8125"
"2021/12/03","14967","239","8176"
"2021/12/02","14728","-207","7943"
"2021/12/01","14935","-302","8018"
"2021/11/30","15237","116","8155"
"2021/11/29","15121","-525","8052"
"2021/11/26","15646","-54","8331"
"2021/11/25","15700","11","8330"
"2021/11/24","15689","64","8291"
"2021/11/22","15625","-107","8245"
"2021/11/19","15732","49","8293"
"2021/11/18","15683","-153","8257"
"2021/11/17","15836","116","8329"
"2021/11/16","15720","17","8251"
"2021/11/15","15703","75","8214"
"2021/11/12","15628","79","8175"
"2021/11/11","15549","-27","8117"
"2021/11/10","15576","-100","8125"
"2021/11/09","15676","-27","8169"
"2021/11/08","15703","26","8173"
"2021/11/05","15677","-17","8149"
"2021/11/04","15694","125","8148"
"2021/11/02","15569","105","7974"
"2021/11/01","15464","30","7913"
"2021/10/29","15434","133","7888"
"2021/10/28","15301","-128","7808"
"2021/10/27","15429","46","7869"
"2021/10/26","15383","63","7828"
"2021/10/25","15320","-29","7794"
"2021/10/22","15349","-35","7799"
"2021/10/21","15384","2","7804"
"2021/10/20","15382","168","7793"
"2021/10/19","15214","0","7697"
"2021/10/18","15214","154","7682"
"2021/10/15","15060","274","7602"
"2021/10/14","14786","93","7457"
"2021/10/13","14693","-5","7373"
"2021/10/12","14698","74","7375"
"2021/10/11","14624","47","7327"
"2021/10/08","14577","180","7293"
"2021/10/07","14397","-37","7214"
"2021/10/06","14434","203","7222"
"2021/10/05","14231","-181","7104"
"2021/10/04","14412","66","7106"
"2021/10/01","14346","-175","7049"
"2021/09/30","14521","19","7129"
"2021/09/29","14502","-237","7118"
"2021/09/28","14739","20","7213"
"2021/09/27","14719","-4","7190"
"2021/09/24","14723","450","7178"
"2021/09/22","14273","2","6937"
"2021/09/21","14271","-437","6932"
"2021/09/17","14708","29","7136"
"2021/09/16","14679","69","7103"
"2021/09/15","14610","-129","7063"
"2021/09/14","14739","69","7115"
"2021/09/13","14670","-57","7066"
"2021/09/10","14727","-95","7088"
"2021/09/09","14822","-77","7126"
"2021/09/08","14899","16","7147"
"2021/09/07","14883","-7","7139"
"2021/09/06","14890","18","7135"
"2021/09/03","14872","51","7121"
"2021/09/02","14821","40","7011"
"2021/09/01","14781","25","6976"
"2021/08/31","14756","49","6948"
"2021/08/30","14707","117","6922"
"2021/08/27","14590","-99","6863"
"2021/08/26","14689","58","6897"
"2021/08/25","14631","66","6859"
"2021/08/24","14565","135","6816"
