"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅ@ì˙ñ{äîÇRÅDÇVÉxÉAÇhÇhÇh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","506","19","5381"
"2023/04/05","487","27","4963"
"2023/04/04","460","-1","4622"
"2023/04/03","461","-13","4469"
"2023/03/31","474","-16","4175"
"2023/03/30","490","-14","4304"
"2023/03/29","504","-21","4301"
"2023/03/28","525","-2","4445"
"2023/03/27","527","-7","4506"
"2023/03/24","534","-4","4631"
"2023/03/23","538","8","4656"
"2023/03/22","530","-45","4395"
"2023/03/20","575","27","5003"
"2023/03/17","548","-23","4860"
"2023/03/16","571","24","5280"
"2023/03/15","547","-12","5268"
"2023/03/14","559","52","5637"
"2023/03/13","507","13","5914"
"2023/03/10","494","31","5887"
"2023/03/09","463","-13","5310"
"2023/03/08","476","-6","5237"
"2023/03/07","482","-4","5159"
"2023/03/06","486","-25","4749"
"2023/03/03","511","-27","4457"
"2023/03/02","538","1","4687"
"2023/03/01","537","-5","4653"
"2023/02/28","542","-4","4626"
"2023/02/27","546","-2","4651"
"2023/02/24","548","-20","4457"
"2023/02/22","568","24","4763"
"2023/02/21","544","5","4626"
"2023/02/20","539","-5","4548"
"2023/02/17","544","15","4614"
"2023/02/16","529","-17","4369"
"2023/02/15","546","13","4478"
"2023/02/14","533","-13","4368"
"2023/02/13","546","14","4485"
"2023/02/10","532","-8","4262"
"2023/02/09","540","5","4300"
"2023/02/08","535","0","4284"
"2023/02/07","535","5","4229"
"2023/02/06","530","-14","4093"
"2023/02/03","544","-7","4140"
"2023/02/02","551","-6","4158"
"2023/02/01","557","-1","4176"
"2023/01/31","558","5","4083"
"2023/01/30","553","0","3993"
"2023/01/27","553","1","3996"
"2023/01/26","552","-4","3881"
"2023/01/25","556","-4","3800"
"2023/01/24","560","-32","3599"
"2023/01/23","592","-30","3676"
"2023/01/20","622","-17","3889"
"2023/01/19","639","32","3957"
"2023/01/18","607","-55","3664"
"2023/01/17","662","-38","3952"
"2023/01/16","700","30","4259"
"2023/01/13","670","26","4101"
"2023/01/12","644","3","3919"
"2023/01/11","641","-23","3871"
"2023/01/10","664","-23","4005"
"2023/01/06","687","-15","4153"
"2023/01/05","702","-17","4226"
"2023/01/04","719","44","4441"
"2022/12/30","675","-9","4142"
"2022/12/29","684","23","4362"
"2022/12/28","661","12","4252"
"2022/12/27","649","1","4175"
"2022/12/26","648","-21","4175"
"2022/12/23","669","26","4421"
"2022/12/22","643","-11","4309"
"2022/12/21","654","17","4749"
"2022/12/20","637","56","4786"
"2022/12/19","581","19","4522"
"2022/12/16","562","34","4744"
"2022/12/15","528","8","4447"
"2022/12/14","520","-13","4252"
"2022/12/13","533","-9","4263"
"2022/12/12","542","6","4326"
"2022/12/09","536","-28","4118"
"2022/12/08","564","7","4427"
