"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEÇuÅEÇrÅïÇoÇTÇOÇOÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20190307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","17427","-93","824274"
"2023/04/05","17520","-238","829285"
"2023/04/04","17758","0","833306"
"2023/04/03","17758","192","832640"
"2023/03/31","17566","230","823108"
"2023/03/30","17336","404","811669"
"2023/03/29","16932","51","792164"
"2023/03/28","16881","29","787991"
"2023/03/27","16852","103","785739"
"2023/03/24","16749","5","780302"
"2023/03/23","16744","-490","778866"
"2023/03/22","17234","355","800416"
"2023/03/20","16879","-295","783138"
"2023/03/17","17174","316","796111"
"2023/03/16","16858","-269","779510"
"2023/03/15","17127","454","790814"
"2023/03/14","16673","-170","769107"
"2023/03/13","16843","-455","775915"
"2023/03/10","17298","-461","796523"
"2023/03/09","17759","-5","817696"
"2023/03/08","17764","-118","818041"
"2023/03/07","17882","49","823051"
"2023/03/06","17833","175","820531"
"2023/03/03","17658","201","811823"
"2023/03/02","17457","-97","795216"
"2023/03/01","17554","-56","798721"
"2023/02/28","17610","68","799949"
"2023/02/27","17542","81","796158"
"2023/02/24","17461","-27","792033"
"2023/02/22","17488","-276","791534"
"2023/02/21","17764","-17","803997"
"2023/02/20","17781","-40","804807"
"2023/02/17","17821","-216","806648"
"2023/02/16","18037","241","815766"
"2023/02/15","17796","56","804573"
"2023/02/14","17740","273","801453"
"2023/02/13","17467","51","788240"
"2023/02/10","17416","-140","785657"
"2023/02/09","17556","-99","791864"
"2023/02/08","17655","5","796639"
"2023/02/07","17650","-78","795974"
"2023/02/06","17728","302","799088"
"2023/02/03","17426","277","784825"
"2023/02/02","17149","1","765214"
"2023/02/01","17148","165","764327"
"2023/01/31","16983","-166","756181"
"2023/01/30","17149","115","763009"
"2023/01/27","17034","221","757412"
"2023/01/26","16813","-140","746957"
"2023/01/25","16953","-21","752522"
"2023/01/24","16974","347","751990"
"2023/01/23","16627","372","735320"
"2023/01/20","16255","-89","718507"
"2023/01/19","16344","-597","721757"
"2023/01/18","16941","308","745544"
"2023/01/17","16633","70","731988"
"2023/01/16","16563","-111","728216"
"2023/01/13","16674","-284","732390"
"2023/01/12","16958","160","744072"
"2023/01/11","16798","188","734747"
"2023/01/10","16610","123","725630"
"2023/01/06","16487","15","714251"
"2023/01/05","16472","259","709248"
"2023/01/04","16213","-317","697443"
"2022/12/30","16530","109","710199"
"2022/12/29","16421","-177","704622"
"2022/12/28","16598","21","708558"
"2022/12/27","16577","113","707665"
"2022/12/26","16464","37","701445"
"2022/12/23","16427","-172","698046"
"2022/12/22","16599","305","703286"
"2022/12/21","16294","-323","688465"
"2022/12/20","16617","-352","700593"
"2022/12/19","16969","-393","714213"
"2022/12/16","17362","-147","729034"
"2022/12/15","17509","-106","734477"
"2022/12/14","17615","-173","737901"
"2022/12/13","17788","385","742502"
"2022/12/12","17403","-152","725487"
"2022/12/09","17555","185","730901"
"2022/12/08","17370","-127","722504"
"2022/12/07","17497","-158","727003"
"2022/12/06","17655","-80","732165"
"2022/12/05","17735","-139","734492"
"2022/12/02","17874","-193","733023"
"2022/12/01","18067","310","739668"
"2022/11/30","17757","-36","726322"
"2022/11/29","17793","-310","726619"
"2022/11/28","18103","-3","737103"
"2022/11/25","18106","-19","737229"
"2022/11/24","18125","-13","737230"
"2022/11/22","18138","158","736282"
"2022/11/21","17980","87","729279"
"2022/11/18","17893","46","725158"
"2022/11/17","17847","-142","722616"
"2022/11/16","17989","40","726946"
"2022/11/15","17949","-41","723441"
"2022/11/14","17990","-118","725090"
"2022/11/11","18108","389","728601"
"2022/11/10","17719","-295","712273"
"2022/11/09","18014","7","723185"
"2022/11/08","18007","111","720923"
"2022/11/07","17896","102","715611"
"2022/11/04","17794","-571","710626"
"2022/11/02","18365","-216","727361"
"2022/11/01","18581","-63","734708"
"2022/10/31","18644","617","736658"
"2022/10/28","18027","-25","712197"
"2022/10/27","18052","-399","712453"
"2022/10/26","18451","194","727350"
"2022/10/25","18257","220","718362"
"2022/10/24","18037","277","709051"
"2022/10/21","17760","-114","697332"
"2022/10/20","17874","-33","701230"
"2022/10/19","17907","248","701872"
"2022/10/18","17659","465","690381"
"2022/10/17","17194","-253","671207"
"2022/10/14","17447","497","680097"
"2022/10/13","16950","33","659739"
"2022/10/12","16917","-62","656579"
"2022/10/11","16979","-517","658287"
"2022/10/07","17496","-153","677469"
"2022/10/06","17649","56","680749"
"2022/10/05","17593","422","675978"
"2022/10/04","17171","419","652064"
"2022/10/03","16752","-247","634049"
"2022/09/30","16999","-303","642297"
"2022/09/29","17302","277","652770"
"2022/09/28","17025","-22","641358"
"2022/09/27","17047","-107","640675"
"2022/09/26","17154","-497","643800"
"2022/09/22","17651","-217","661289"
"2022/09/21","17868","-147","667477"
"2022/09/20","18015","17","672058"
"2022/09/16","17998","-231","670001"
"2022/09/15","18229","-78","678204"
"2022/09/14","18307","-573","681196"
"2022/09/13","18880","168","701515"
"2022/09/12","18712","155","695375"
"2022/09/09","18557","34","688966"
"2022/09/08","18523","495","687388"
"2022/09/07","18028","298","667687"
"2022/09/06","17730","-10","656678"
"2022/09/05","17740","-154","656040"
"2022/09/02","17894","126","655630"
"2022/09/01","17768","-26","650061"
"2022/08/31","17794","-186","650423"
"2022/08/30","17980","-90","656095"
"2022/08/29","18070","-424","658687"
"2022/08/26","18494","234","673015"
"2022/08/25","18260","62","664053"
"2022/08/24","18198","-92","661306"
"2022/08/23","18290","-374","664165"
"2022/08/22","18664","-142","677980"
"2022/08/19","18806","249","683244"
"2022/08/18","18557","-44","674143"
"2022/08/17","18601","187","675385"
"2022/08/16","18414","107","666990"
"2022/08/15","18307","263","662276"
"2022/08/12","18044","110","651883"
"2022/08/10","17934","-23","648862"
"2022/08/09","17957","-76","649319"
"2022/08/08","18033","271","651612"
"2022/08/05","17762","-99","641688"
"2022/08/04","17861","263","644421"
"2022/08/03","17598","263","634490"
"2022/08/02","17335","-321","618757"
"2022/08/01","17656","32","630221"
"2022/07/29","17624","2","628376"
"2022/07/28","17622","358","627653"
"2022/07/27","17264","-141","614141"
"2022/07/26","17405","-3","618023"
"2022/07/25","17408","-250","618473"
"2022/07/22","17658","28","628028"
"2022/07/21","17630","154","625773"
"2022/07/20","17476","450","619348"
"2022/07/19","17026","92","602399"
"2022/07/15","16934","68","598792"
"2022/07/14","16866","42","595835"
"2022/07/13","16824","-183","594008"
"2022/07/12","17007","-97","599528"
"2022/07/11","17104","40","602799"
"2022/07/08","17064","267","600855"
"2022/07/07","16797","84","591092"
"2022/07/06","16713","-26","586331"
"2022/07/05","16739","141","587242"
"2022/07/04","16598","45","576703"
"2022/07/01","16553","-214","574382"
"2022/06/30","16767","66","581642"
"2022/06/29","16701","-284","578949"
"2022/06/28","16985","46","587283"
"2022/06/27","16939","434","585082"
"2022/06/24","16505","53","569863"
"2022/06/23","16452","-70","567257"
"2022/06/22","16522","543","566672"
"2022/06/21","15979","-5","548053"
"2022/06/20","15984","278","547311"
"2022/06/17","15706","-661","536224"
"2022/06/16","16367","146","556404"
"2022/06/15","16221","65","550719"
"2022/06/14","16156","-752","547892"
"2022/06/13","16908","-408","572365"
"2022/06/10","17316","-446","586537"
"2022/06/09","17762","23","601546"
"2022/06/08","17739","246","600411"
"2022/06/07","17493","230","591439"
"2022/06/06","17263","-147","583305"
"2022/06/03","17410","292","587777"
"2022/06/02","17118","6","572508"
"2022/06/01","17112","0","570190"
"2022/05/31","17112","159","570191"
"2022/05/30","16953","410","564087"
"2022/05/27","16543","260","549752"
"2022/05/26","16283","201","540008"
"2022/05/25","16082","-230","532421"
"2022/05/24","16312","314","538236"
"2022/05/23","15998","-5","526244"
"2022/05/20","16003","-180","525147"
"2022/05/19","16183","-780","530090"
"2022/05/18","16963","336","554669"
"2022/05/17","16627","-106","540722"
"2022/05/16","16733","477","543066"
"2022/05/13","16256","-122","526620"
"2022/05/12","16378","-336","529280"
"2022/05/11","16714","79","538788"
"2022/05/10","16635","-650","534973"
"2022/05/09","17285","-74","553499"
"2022/05/06","17359","135","548470"
"2022/05/02","17224","-53","543185"
"2022/04/28","17277","203","544002"
"2022/04/27","17074","-492","536632"
"2022/04/26","17566","-69","550510"
"2022/04/25","17635","-470","552098"
"2022/04/22","18105","-219","566678"
"2022/04/21","18324","-177","572813"
"2022/04/20","18501","580","577894"
"2022/04/19","17921","97","557780"
"2022/04/18","17824","44","554737"
"2022/04/15","17780","-106","552948"
"2022/04/14","17886","193","555599"
"2022/04/13","17693","-56","549265"
"2022/04/12","17749","-178","550050"
"2022/04/11","17927","77","554932"
"2022/04/08","17850","107","552147"
"2022/04/07","17743","-215","548258"
"2022/04/06","17958","-28","554347"
"2022/04/05","17986","171","553910"
"2022/04/04","17815","81","543812"
"2022/04/01","17734","-302","540829"
"2022/03/31","18036","-125","549660"
