"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEÇuÅEëSïƒäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20210307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","11009","-72","138558"
"2023/04/05","11081","-163","139465"
"2023/04/04","11244","-15","139571"
"2023/04/03","11259","135","139679"
"2023/03/31","11124","141","137912"
"2023/03/30","10983","257","136053"
"2023/03/29","10726","35","132754"
"2023/03/28","10691","28","131995"
"2023/03/27","10663","66","131429"
"2023/03/24","10597","-7","130354"
"2023/03/23","10604","-325","130254"
"2023/03/22","10929","235","133987"
"2023/03/20","10694","-209","130960"
"2023/03/17","10903","203","133368"
"2023/03/16","10700","-188","130492"
"2023/03/15","10888","301","132626"
"2023/03/14","10587","-133","128814"
"2023/03/13","10720","-318","130249"
"2023/03/10","11038","-311","134098"
"2023/03/09","11349","-5","137952"
"2023/03/08","11354","-69","138025"
"2023/03/07","11423","1","138838"
"2023/03/06","11422","118","138748"
"2023/03/03","11304","63","137184"
"2023/03/02","11241","5","134446"
"2023/03/01","11236","-31","134238"
"2023/02/28","11267","45","134426"
"2023/02/27","11222","46","133736"
"2023/02/24","11176","-9","133090"
"2023/02/22","11185","-187","132965"
"2023/02/21","11372","-11","135187"
"2023/02/20","11383","-28","135378"
"2023/02/17","11411","-132","136076"
"2023/02/16","11543","167","137524"
"2023/02/15","11376","44","135662"
"2023/02/14","11332","178","135045"
"2023/02/13","11154","26","132891"
"2023/02/10","11128","-103","132552"
"2023/02/09","11231","-59","133970"
"2023/02/08","11290","0","134848"
"2023/02/07","11290","-70","135030"
"2023/02/06","11360","197","135798"
"2023/02/03","11163","185","133267"
"2023/02/02","10978","14","129120"
"2023/02/01","10964","124","128852"
"2023/01/31","10840","-116","127273"
"2023/01/30","10956","87","128539"
"2023/01/27","10869","137","127449"
"2023/01/26","10732","-88","125698"
"2023/01/25","10820","-19","126606"
"2023/01/24","10839","226","126620"
"2023/01/23","10613","246","123747"
"2023/01/20","10367","-67","120955"
"2023/01/19","10434","-376","121625"
"2023/01/18","10810","198","125578"
"2023/01/17","10612","45","123282"
"2023/01/16","10567","-67","122656"
"2023/01/13","10634","-167","123301"
"2023/01/12","10801","105","125089"
"2023/01/11","10696","127","123506"
"2023/01/10","10569","83","121891"
"2023/01/06","10486","1","119046"
"2023/01/05","10485","182","118350"
"2023/01/04","10303","-201","116144"
"2022/12/30","10504","75","118286"
"2022/12/29","10429","-115","117275"
"2022/12/28","10544","11","118164"
"2022/12/27","10533","72","118041"
"2022/12/26","10461","22","116932"
"2022/12/23","10439","-115","116369"
"2022/12/22","10554","196","117334"
"2022/12/21","10358","-194","114837"
"2022/12/20","10552","-240","116743"
"2022/12/19","10792","-244","119178"
"2022/12/16","11036","-96","121527"
"2022/12/15","11132","-63","122416"
"2022/12/14","11195","-109","122855"
"2022/12/13","11304","246","123475"
"2022/12/12","11058","-109","120598"
"2022/12/09","11167","122","121650"
"2022/12/08","11045","-75","120089"
"2022/12/07","11120","-106","120746"
"2022/12/06","11226","-73","121819"
"2022/12/05","11299","-83","122354"
"2022/12/02","11382","-117","121219"
"2022/12/01","11499","197","122302"
"2022/11/30","11302","-21","120166"
"2022/11/29","11323","-201","120248"
"2022/11/28","11524","8","122192"
"2022/11/25","11516","-13","122108"
"2022/11/24","11529","-12","122062"
"2022/11/22","11541","92","121818"
"2022/11/21","11449","59","120672"
"2022/11/18","11390","14","119772"
"2022/11/17","11376","-120","119420"
"2022/11/16","11496","47","120329"
"2022/11/15","11449","-38","119262"
"2022/11/14","11487","-69","119658"
"2022/11/11","11556","268","120108"
"2022/11/10","11288","-201","117205"
"2022/11/09","11489","2","119056"
"2022/11/08","11487","66","118522"
"2022/11/07","11421","45","117569"
"2022/11/04","11376","-361","116964"
"2022/11/02","11737","-128","118793"
"2022/11/01","11865","-36","119812"
"2022/10/31","11901","393","119940"
"2022/10/28","11508","-8","115659"
"2022/10/27","11516","-240","115546"
"2022/10/26","11756","145","117550"
"2022/10/25","11611","124","115544"
"2022/10/24","11487","165","114073"
"2022/10/21","11322","-77","112223"
