"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEÇuÅEëSê¢äEäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20220107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","10385","-80","21230"
"2023/04/05","10465","-128","21381"
"2023/04/04","10593","7","21324"
"2023/04/03","10586","80","21287"
"2023/03/31","10506","156","21111"
"2023/03/30","10350","222","20759"
"2023/03/29","10128","58","20283"
"2023/03/28","10070","39","20083"
"2023/03/27","10031","24","19973"
"2023/03/24","10007","3","19870"
"2023/03/23","10004","-241","19793"
"2023/03/22","10245","226","20278"
"2023/03/20","10019","-185","19751"
"2023/03/17","10204","183","20069"
"2023/03/16","10021","-255","19614"
"2023/03/15","10276","240","19967"
"2023/03/14","10036","-117","19430"
"2023/03/13","10153","-269","19591"
"2023/03/10","10422","-258","20079"
"2023/03/09","10680","9","20551"
"2023/03/08","10671","-69","20519"
"2023/03/07","10740","0","20611"
"2023/03/06","10740","91","20569"
"2023/03/03","10649","98","20343"
"2023/03/02","10551","1","19851"
"2023/03/01","10550","-40","19795"
"2023/02/28","10590","63","19793"
"2023/02/27","10527","25","19641"
"2023/02/24","10502","-35","19566"
"2023/02/22","10537","-135","19588"
"2023/02/21","10672","-10","19837"
"2023/02/20","10682","-21","19859"
"2023/02/17","10703","-82","19885"
"2023/02/16","10785","115","20011"
"2023/02/15","10670","44","19785"
"2023/02/14","10626","158","19732"
"2023/02/13","10468","-13","19411"
"2023/02/10","10481","-48","19412"
"2023/02/09","10529","-29","19524"
"2023/02/08","10558","-20","19589"
"2023/02/07","10578","-81","19610"
"2023/02/06","10659","176","19727"
"2023/02/03","10483","104","19362"
"2023/02/02","10379","0","18884"
"2023/02/01","10379","73","18851"
"2023/01/31","10306","-98","18711"
"2023/01/30","10404","48","18854"
"2023/01/27","10356","112","18745"
"2023/01/26","10244","-70","18517"
"2023/01/25","10314","-12","18622"
"2023/01/24","10326","184","18586"
"2023/01/23","10142","199","18206"
"2023/01/20","9943","-27","17808"
"2023/01/19","9970","-307","17841"
"2023/01/18","10277","200","18282"
