"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅ@ì˙ñ{äîÇRÅDÇWÉxÉAÇhÇh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20220307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","7704","291","9842"
"2023/04/05","7413","412","10388"
"2023/04/04","7001","-10","8872"
"2023/04/03","7011","-204","7544"
"2023/03/31","7215","-236","6334"
"2023/03/30","7451","-219","6740"
"2023/03/29","7670","-336","5229"
"2023/03/28","8006","-22","5229"
"2023/03/27","8028","-104","5133"
"2023/03/24","8132","-68","5292"
"2023/03/23","8200","123","5347"
"2023/03/22","8077","-693","4845"
"2023/03/20","8770","419","6037"
"2023/03/17","8351","-358","5508"
"2023/03/16","8709","361","6956"
"2023/03/15","8348","-178","7600"
"2023/03/14","8526","801","9481"
"2023/03/13","7725","213","11294"
"2023/03/10","7512","478","11316"
"2023/03/09","7034","-203","9448"
"2023/03/08","7237","-89","8793"
"2023/03/07","7326","-71","7815"
"2023/03/06","7397","-374","6450"
"2023/03/03","7771","-430","5029"
"2023/03/02","8201","11","5117"
"2023/03/01","8190","-68","4892"
"2023/02/28","8258","-69","4462"
"2023/02/27","8327","-35","4376"
"2023/02/24","8362","-305","3684"
"2023/02/22","8667","366","4634"
"2023/02/21","8301","79","4184"
"2023/02/20","8222","-70","4051"
"2023/02/17","8292","230","4462"
"2023/02/16","8062","-263","3727"
"2023/02/15","8325","200","3864"
"2023/02/14","8125","-208","3535"
"2023/02/13","8333","232","3765"
"2023/02/10","8101","-136","3477"
"2023/02/09","8237","79","3636"
"2023/02/08","8158","-1","3709"
"2023/02/07","8159","88","3503"
"2023/02/06","8071","-217","2838"
"2023/02/03","8288","-116","2669"
"2023/02/02","8404","-95","2506"
"2023/02/01","8499","-12","2467"
"2023/01/31","8511","81","2421"
"2023/01/30","8430","-12","2191"
"2023/01/27","8442","23","2038"
"2023/01/26","8419","-70","1909"
"2023/01/25","8489","-59","1530"
"2023/01/24","8548","-490","994"
"2023/01/23","9038","-474","757"
"2023/01/20","9512","-264","739"
"2023/01/19","9776","503","757"
"2023/01/18","9273","-861","527"
"2023/01/17","10134","-582","445"
"2023/01/16","10716","455","677"
"2023/01/13","10261","408","700"
"2023/01/12","9853","55","627"
"2023/01/11","9798","-367","575"
"2023/01/10","10165","-353","446"
"2023/01/06","10518","-235","437"
"2023/01/05","10753","-270","407"
"2023/01/04","11023","704","536"
"2022/12/30","10319","-163","460"
"2022/12/29","10482","364","503"
"2022/12/28","10118","185","581"
"2022/12/27","9933","14","554"
"2022/12/26","9919","-328","501"
"2022/12/23","10247","404","617"
"2022/12/22","9843","-174","607"
"2022/12/21","10017","272","771"
"2022/12/20","9745","861","888"
"2022/12/19","8884","291","1022"
"2022/12/16","8593","533","1452"
"2022/12/15","8060","128","1359"
"2022/12/14","7932","-209","1143"
"2022/12/13","8141","-136","1046"
"2022/12/12","8277","88","1107"
"2022/12/09","8189","-428","849"
"2022/12/08","8617","104","1014"
"2022/12/07","8513","247","1212"
"2022/12/06","8266","-32","1022"
"2022/12/05","8298","-92","999"
"2022/12/02","8390","514","1512"
"2022/12/01","7876","-232","1145"
"2022/11/30","8108","22","1254"
"2022/11/29","8086","107","1313"
"2022/11/28","7979","177","1383"
"2022/11/25","7802","41","1492"
"2022/11/24","7761","-271","1080"
"2022/11/22","8032","-167","932"
"2022/11/21","8199","-103","918"
"2022/11/18","8302","111","939"
"2022/11/17","8191","66","914"
"2022/11/16","8125","-12","876"
"2022/11/15","8137","-78","843"
"2022/11/14","8215","321","940"
"2022/11/11","7894","-1043","567"
"2022/11/10","8937","257","852"
"2022/11/09","8680","270","767"
"2022/11/08","8410","-414","488"
"2022/11/07","8824","-467","424"
"2022/11/04","9291","538","685"
"2022/11/02","8753","58","558"
"2022/11/01","8695","-168","460"
"2022/10/31","8863","-719","286"
"2022/10/28","9582","369","547"
"2022/10/27","9213","174","629"
"2022/10/26","9039","-235","437"
"2022/10/25","9274","-412","293"
"2022/10/24","9686","-85","173"
"2022/10/21","9771","134","174"
"2022/10/20","9637","296","205"
"2022/10/19","9341","-53","165"
"2022/10/18","9394","-653","133"
"2022/10/17","10047","421","152"
"2022/10/14","9626","-1295","101"
"2022/10/13","10921","255","87"
"2022/10/12","10666","61","101"
"2022/10/11","10605","900","101"
"2022/10/07","9705","235","159"
"2022/10/06","9470","-286","50"
"2022/10/05","9756","-237","21"
"2022/10/04","9993","Å]","10"
