"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|êVê∂ÅEÇtÇsÇhÉCÉìÉhÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20060307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","28938","-108","45261"
"2023/04/05","29046","-1","45429"
"2023/04/04","29047","183","45370"
"2023/04/03","28864","707","44872"
"2023/03/31","28157","-1","43774"
"2023/03/30","28158","380","43709"
"2023/03/29","27778","-120","43029"
"2023/03/28","27898","126","43160"
"2023/03/27","27772","-288","42914"
"2023/03/24","28060","-21","43263"
"2023/03/23","28081","-1","43296"
"2023/03/22","28082","-385","43238"
"2023/03/20","28467","190","43785"
"2023/03/17","28277","-464","43413"
"2023/03/16","28741","130","44072"
"2023/03/15","28611","-509","43853"
"2023/03/14","29120","-866","44588"
"2023/03/13","29986","-274","45924"
"2023/03/10","30260","-399","46283"
"2023/03/09","30659","206","46775"
"2023/03/08","30453","-1","46460"
"2023/03/07","30454","242","46438"
"2023/03/06","30212","162","45879"
"2023/03/03","30050","-83","45566"
"2023/03/02","30133","235","45613"
"2023/03/01","29898","75","45127"
"2023/02/28","29823","139","44880"
"2023/02/27","29684","-117","44495"
"2023/02/24","29801","-305","44448"
"2023/02/22","30106","-69","44902"
"2023/02/21","30175","-1","44999"
"2023/02/20","30176","-53","44802"
"2023/02/17","30229","419","44774"
"2023/02/16","29810","372","44010"
"2023/02/15","29438","23","43373"
"2023/02/14","29415","-249","43315"
"2023/02/13","29664","35","43557"
"2023/02/10","29629","71","43451"
"2023/02/09","29558","71","43272"
"2023/02/08","29487","9","43122"
"2023/02/07","29478","649","43078"
"2023/02/06","28829","1","41983"
"2023/02/03","28828","-384","41855"
"2023/02/02","29212","-1","42413"
"2023/02/01","29213","172","42317"
"2023/01/31","29041","-316","41993"
"2023/01/30","29357","-3","42314"
"2023/01/27","29360","-1","42318"
"2023/01/26","29361","-243","42263"
"2023/01/25","29604","-44","42516"
"2023/01/24","29648","407","42533"
"2023/01/23","29241","176","41904"
"2023/01/20","29065","-703","41552"
"2023/01/19","29768","646","42501"
"2023/01/18","29122","162","41495"
"2023/01/17","28960","-409","41213"
"2023/01/16","29369","-459","41745"
"2023/01/13","29828","-104","42324"
"2023/01/12","29932","209","42391"
"2023/01/11","29723","-167","42004"
"2023/01/10","29890","-32","42223"
"2023/01/06","29922","218","42229"
"2023/01/05","29704","-578","41771"
"2023/01/04","30282","-374","42552"
"2022/12/30","30656","22","43007"
"2022/12/29","30634","219","42923"
"2022/12/28","30415","225","42574"
"2022/12/27","30190","331","42258"
"2022/12/26","29859","-455","41764"
"2022/12/23","30314","-152","42379"
"2022/12/22","30466","-358","42550"
"2022/12/21","30824","-827","43056"
"2022/12/20","31651","-56","44227"
"2022/12/19","31707","-21","44460"
"2022/12/16","31728","-314","44445"
"2022/12/15","32042","-216","44859"
"2022/12/14","32258","157","45154"
"2022/12/13","32101","-39","44911"
"2022/12/12","32140","-294","44923"
"2022/12/09","32434","-148","45315"
"2022/12/08","32582","-161","45507"
"2022/12/07","32743","148","45643"
"2022/12/06","32595","-349","45365"
"2022/12/05","32944","-337","45838"
"2022/12/02","33281","-154","46256"
"2022/12/01","33435","138","46372"
"2022/11/30","33297","110","46154"
"2022/11/29","33187","-125","45973"
"2022/11/28","33312","26","46098"
"2022/11/25","33286","-298","46058"
"2022/11/24","33584","253","46465"
"2022/11/22","33331","-51","46039"
"2022/11/21","33382","-122","46150"
"2022/11/18","33504","-507","46303"
"2022/11/17","34011","-206","47008"
"2022/11/16","34217","95","47331"
"2022/11/15","34122","-662","47158"
"2022/11/14","34784","-166","48058"
"2022/11/11","34950","-163","48260"
"2022/11/10","35113","-223","48439"
"2022/11/09","35336","-2","48747"
"2022/11/08","35338","49","48723"
"2022/11/07","35289","181","48623"
"2022/11/04","35108","-363","48374"
"2022/11/02","35471","226","48814"
"2022/11/01","35245","882","48497"
"2022/10/31","34363","4","47247"
"2022/10/28","34359","-638","47201"
"2022/10/27","34997","-1","48077"
"2022/10/26","34998","-190","48170"
"2022/10/25","35188","-1","48432"
"2022/10/24","35189","5","48441"
"2022/10/21","35184","-186","48482"
"2022/10/20","35370","11","48725"
"2022/10/19","35359","367","48692"
"2022/10/18","34992","350","48161"
"2022/10/17","34642","449","47588"
"2022/10/14","34193","-160","46970"
"2022/10/13","34353","300","47247"
"2022/10/12","34053","-399","46820"
"2022/10/11","34452","-408","47345"
"2022/10/07","34860","-83","47825"
"2022/10/06","34943","-1","47939"
"2022/10/05","34944","741","47881"
"2022/10/04","34203","-336","46846"
"2022/10/03","34539","546","47270"
"2022/09/30","33993","-104","46495"
"2022/09/29","34097","-243","46638"
"2022/09/28","34340","272","46978"
"2022/09/27","34068","-436","46665"
"2022/09/26","34504","-1224","47257"
"2022/09/22","35728","-195","49512"
"2022/09/21","35923","408","49906"
"2022/09/20","35515","-1009","49407"
"2022/09/16","36524","-113","50917"
