"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEëSê¢äEäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","15944","-133","96015"
"2023/04/05","16077","-193","96773"
"2023/04/04","16270","9","97215"
"2023/04/03","16261","120","97117"
"2023/03/31","16141","238","96336"
"2023/03/30","15903","346","94864"
"2023/03/29","15557","84","92673"
"2023/03/28","15473","57","92008"
"2023/03/27","15416","42","91568"
"2023/03/24","15374","7","91196"
"2023/03/23","15367","-377","90889"
"2023/03/22","15744","343","93080"
"2023/03/20","15401","-281","90948"
"2023/03/17","15682","273","91626"
"2023/03/16","15409","-384","89856"
"2023/03/15","15793","378","92024"
"2023/03/14","15415","-201","89691"
"2023/03/13","15616","-409","90632"
"2023/03/10","16025","-402","92905"
"2023/03/09","16427","12","95028"
"2023/03/08","16415","-114","94876"
"2023/03/07","16529","1","95463"
"2023/03/06","16528","148","95383"
"2023/03/03","16380","92","94427"
"2023/03/02","16288","57","93203"
"2023/03/01","16231","-63","92719"
"2023/02/28","16294","97","92944"
"2023/02/27","16197","34","92224"
"2023/02/24","16163","-44","91951"
"2023/02/22","16207","-213","91868"
"2023/02/21","16420","-16","93079"
"2023/02/20","16436","-30","93137"
"2023/02/17","16466","-131","93270"
"2023/02/16","16597","188","93653"
"2023/02/15","16409","56","91698"
"2023/02/14","16353","237","91290"
"2023/02/13","16116","-1","89754"
"2023/02/10","16117","-78","89692"
"2023/02/09","16195","-45","89951"
"2023/02/08","16240","-35","90087"
"2023/02/07","16275","-118","90232"
"2023/02/06","16393","270","90853"
"2023/02/03","16123","164","89273"
"2023/02/02","15959","5","87703"
"2023/02/01","15954","113","87599"
"2023/01/31","15841","-150","86865"
"2023/01/30","15991","85","87605"
"2023/01/27","15906","161","87070"
"2023/01/26","15745","-109","86103"
"2023/01/25","15854","-18","86587"
"2023/01/24","15872","284","86470"
"2023/01/23","15588","309","84832"
"2023/01/20","15279","-43","83074"
"2023/01/19","15322","-481","83201"
"2023/01/18","15803","314","84597"
"2023/01/17","15489","64","82916"
"2023/01/16","15425","-90","82498"
"2023/01/13","15515","-204","82913"
"2023/01/12","15719","114","83910"
"2023/01/11","15605","157","83003"
"2023/01/10","15448","169","82046"
"2023/01/06","15279","19","80771"
"2023/01/05","15260","314","80159"
"2023/01/04","14946","-273","78458"
"2022/12/30","15219","91","79829"
"2022/12/29","15128","-159","79290"
"2022/12/28","15287","72","79838"
"2022/12/27","15215","104","79459"
"2022/12/26","15111","16","78810"
"2022/12/23","15095","-128","78594"
"2022/12/22","15223","249","79041"
"2022/12/21","14974","-283","77578"
"2022/12/20","15257","-296","78902"
"2022/12/19","15553","-317","80319"
"2022/12/16","15870","-130","81044"
"2022/12/15","16000","-60","81653"
"2022/12/14","16060","-125","81844"
"2022/12/13","16185","267","82234"
"2022/12/12","15918","-113","80880"
"2022/12/09","16031","171","81257"
"2022/12/08","15860","-111","80279"
"2022/12/07","15971","-88","80742"
"2022/12/06","16059","-67","81037"
"2022/12/05","16126","-110","81266"
"2022/12/02","16236","-139","81052"
"2022/12/01","16375","227","81638"
"2022/11/30","16148","29","80456"
"2022/11/29","16119","-256","80182"
"2022/11/28","16375","25","81241"
"2022/11/25","16350","-17","81118"
"2022/11/24","16367","-5","81110"
"2022/11/22","16372","105","80989"
"2022/11/21","16267","45","80387"
"2022/11/18","16222","49","80117"
