"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅEÇuÅEïƒçëçÇîzìñäîéÆÉCÉìÉfÉbÉNÉXÅEÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20210307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12598","36","21849"
"2023/04/05","12562","-216","21746"
"2023/04/04","12778","45","21972"
"2023/04/03","12733","99","21865"
"2023/03/31","12634","128","21665"
"2023/03/30","12506","259","21411"
"2023/03/29","12247","85","20951"
"2023/03/28","12162","111","20743"
"2023/03/27","12051","103","20508"
"2023/03/24","11948","-83","20312"
"2023/03/23","12031","-383","20382"
"2023/03/22","12414","276","20984"
"2023/03/20","12138","-283","20476"
"2023/03/17","12421","140","20935"
"2023/03/16","12281","-275","20644"
"2023/03/15","12556","272","21060"
"2023/03/14","12284","-223","20574"
"2023/03/13","12507","-282","20923"
"2023/03/10","12789","-357","21380"
"2023/03/09","13146","-49","22031"
"2023/03/08","13195","-108","22112"
"2023/03/07","13303","18","22292"
"2023/03/06","13285","67","22242"
"2023/03/03","13218","116","22074"
"2023/03/02","13102","-32","21701"
"2023/03/01","13134","-69","21717"
"2023/02/28","13203","2","21813"
"2023/02/27","13201","152","21769"
"2023/02/24","13049","-78","21502"
"2023/02/22","13127","-154","21583"
"2023/02/21","13281","-13","21837"
"2023/02/20","13294","21","21844"
"2023/02/17","13273","-82","21794"
"2023/02/16","13355","131","21910"
"2023/02/15","13224","-18","21678"
"2023/02/14","13242","176","21694"
"2023/02/13","13066","150","21374"
"2023/02/10","12916","-111","21110"
"2023/02/09","13027","-29","21275"
"2023/02/08","13056","-78","21339"
"2023/02/07","13134","-10","21431"
"2023/02/06","13144","287","21427"
"2023/02/03","12857","10","20904"
"2023/02/02","12847","-117","20698"
"2023/02/01","12964","93","20868"
"2023/01/31","12871","-55","20695"
"2023/01/30","12926","2","20776"
"2023/01/27","12924","115","20759"
"2023/01/26","12809","-83","20536"
"2023/01/25","12892","12","20637"
"2023/01/24","12880","194","20567"
"2023/01/23","12686","181","20201"
"2023/01/20","12505","-62","19836"
