"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇrÇaÇhÅ|ÇrÇaÇhÅ@ì˙ñ{äîÇSÅDÇRÉuÉã"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","7201","-337","21562"
"2023/04/05","7538","-542","22356"
"2023/04/04","8080","12","24936"
"2023/04/03","8068","250","25720"
"2023/03/31","7818","281","27360"
"2023/03/30","7537","238","26020"
"2023/03/29","7299","328","27750"
"2023/03/28","6971","22","26884"
"2023/03/27","6949","96","27174"
"2023/03/24","6853","65","26856"
"2023/03/23","6788","-120","25515"
"2023/03/22","6908","571","27384"
"2023/03/20","6337","-385","24011"
"2023/03/17","6722","298","25880"
"2023/03/16","6424","-333","22289"
"2023/03/15","6757","158","22561"
"2023/03/14","6599","-859","19979"
"2023/03/13","7458","-250","20591"
"2023/03/10","7708","-645","21125"
"2023/03/09","8353","260","23637"
"2023/03/08","8093","110","23842"
"2023/03/07","7983","84","24675"
"2023/03/06","7899","414","26060"
"2023/03/03","7485","420","27171"
"2023/03/02","7065","-11","25713"
"2023/03/01","7076","65","25841"
"2023/02/28","7011","65","25876"
"2023/02/27","6946","32","25609"
"2023/02/24","6914","261","26370"
"2023/02/22","6653","-352","24300"
"2023/02/21","7005","-77","25505"
"2023/02/20","7082","65","25659"
"2023/02/17","7017","-238","24971"
"2023/02/16","7255","253","26822"
"2023/02/15","7002","-201","25753"
"2023/02/14","7203","197","27066"
"2023/02/13","7006","-238","26021"
"2023/02/10","7244","133","27611"
"2023/02/09","7111","-78","26569"
"2023/02/08","7189","0","26666"
"2023/02/07","7189","-91","26918"
"2023/02/06","7280","210","28252"
"2023/02/03","7070","109","28207"
"2023/02/02","6961","86","27996"
"2023/02/01","6875","11","27951"
