"基準価額一覧"
""
"ファンド名","キャピタル・インター－キャピタル世界株式ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20070307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","20956","-207","358160"
"2023/04/05","21163","-199","361671"
"2023/04/04","21362","-17","363767"
"2023/04/03","21379","258","363924"
"2023/03/31","21121","121","359121"
"2023/03/30","21000","597","356725"
"2023/03/29","20403","-116","346465"
"2023/03/28","20519","205","347991"
"2023/03/27","20314","-33","344047"
"2023/03/24","20347","53","345635"
"2023/03/23","20294","-353","344473"
"2023/03/22","20647","557","350135"
"2023/03/20","20090","-417","340053"
"2023/03/17","20507","360","347039"
"2023/03/16","20147","-523","340643"
"2023/03/15","20670","483","349258"
"2023/03/14","20187","-270","340874"
"2023/03/13","20457","-448","345295"
"2023/03/10","20905","-454","352702"
"2023/03/09","21359","7","360205"
"2023/03/08","21352","-169","359997"
"2023/03/07","21521","-17","362761"
"2023/03/06","21538","173","363242"
"2023/03/03","21365","190","360339"
"2023/03/02","21175","53","355641"
"2023/03/01","21122","-55","354540"
"2023/02/28","21177","168","355010"
"2023/02/27","21009","-2","351770"
"2023/02/24","21011","-49","351791"
"2023/02/22","21060","-238","352032"
"2023/02/21","21298","-1","356022"
"2023/02/20","21299","-19","355473"
"2023/02/17","21318","-262","355638"
"2023/02/16","21580","191","359733"
"2023/02/15","21389","183","356266"
"2023/02/14","21206","384","353098"
"2023/02/13","20822","-111","346527"
"2023/02/10","20933","-55","348217"
"2023/02/09","20988","-100","349143"
"2023/02/08","21088","-47","350664"
"2023/02/07","21135","60","351311"
"2023/02/06","21075","235","350200"
"2023/02/03","20840","206","346131"
"2023/02/02","20634","-9","341303"
"2023/02/01","20643","152","341266"
"2023/01/31","20491","-123","338336"
"2023/01/30","20614","-42","340209"
"2023/01/27","20656","276","340724"
"2023/01/26","20380","-47","336024"
"2023/01/25","20427","-101","336496"
"2023/01/24","20528","353","337985"
"2023/01/23","20175","459","331925"
"2023/01/20","19716","-186","324244"
"2023/01/19","19902","-62","327224"
"2023/01/18","19964","60","327413"
"2023/01/17","19904","0","326427"
"2023/01/16","19904","-57","326426"
"2023/01/13","19961","-347","327375"
"2023/01/12","20308","230","333035"
"2023/01/11","20078","168","328775"
"2023/01/10","19910","296","325926"
"2023/01/06","19614","-54","320949"
"2023/01/05","19668","476","320327"
"2023/01/04","19192","-405","312376"
"2022/12/30","19597","145","318739"
"2022/12/29","19452","-55","316098"
"2022/12/28","19507","15","316406"
"2022/12/27","19492","-1","316170"
"2022/12/26","19493","113","315967"
"2022/12/23","19380","-256","313934"
"2022/12/22","19636","330","317923"
"2022/12/21","19306","-747","312414"
"2022/12/20","20053","-116","323905"
"2022/12/19","20169","-365","325647"
"2022/12/16","20534","-139","331281"
"2022/12/15","20673","-109","333378"
"2022/12/14","20782","-140","334950"
"2022/12/13","20922","269","336912"
"2022/12/12","20653","-57","332510"
"2022/12/09","20710","207","333206"
"2022/12/08","20503","-147","329633"
"2022/12/07","20650","-224","331904"
"2022/12/06","20874","30","335372"
"2022/12/05","20844","-157","334840"
"2022/12/02","21001","-356","335972"
"2022/12/01","21357","569","341426"
"2022/11/30","20788","7","332146"
"2022/11/29","20781","-286","331683"
"2022/11/28","21067","-41","335843"
"2022/11/25","21108","-1","336507"
"2022/11/24","21109","52","336420"
"2022/11/22","21057","68","335296"
"2022/11/21","20989","66","334130"
"2022/11/18","20923","23","332510"
"2022/11/17","20900","-140","331969"
"2022/11/16","21040","145","334037"
"2022/11/15","20895","-24","331540"
"2022/11/14","20919","-34","331796"
"2022/11/11","20953","347","332156"
"2022/11/10","20606","-240","326651"
"2022/11/09","20846","-16","330368"
"2022/11/08","20862","129","330244"
"2022/11/07","20733","266","327965"
"2022/11/04","20467","-596","322051"
"2022/11/02","21063","-1","331433"
"2022/11/01","21064","45","331203"
"2022/10/31","21019","444","330043"
"2022/10/28","20575","-224","322853"
"2022/10/27","20799","-194","325909"
"2022/10/26","20993","269","328577"
"2022/10/25","20724","223","324103"
"2022/10/24","20501","74","320351"
"2022/10/21","20427","-147","318811"
"2022/10/20","20574","-101","320954"
"2022/10/19","20675","215","322349"
"2022/10/18","20460","632","318127"
"2022/10/17","19828","-297","308001"
"2022/10/14","20125","408","312475"
"2022/10/13","19717","131","305926"
