"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇoÇÅÇôÇoÇÅÇôÅ|ÇoÇÅÇôÇoÇÅÇôìäêMÅ@ì˙åoÇQÇQÇTÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20210107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","9868","-121","788"
"2023/04/05","9989","-169","790"
"2023/04/04","10158","34","807"
"2023/04/03","10124","56","797"
"2023/03/31","10068","94","810"
"2023/03/30","9974","57","796"
"2023/03/29","9917","128","805"
"2023/03/28","9789","15","855"
"2023/03/27","9774","27","819"
"2023/03/24","9747","-2","817"
"2023/03/23","9749","-23","817"
"2023/03/22","9772","188","837"
"2023/03/20","9584","-135","815"
"2023/03/17","9719","111","821"
"2023/03/16","9608","-85","850"
"2023/03/15","9693","14","795"
"2023/03/14","9679","-228","757"
"2023/03/13","9907","-102","811"
"2023/03/10","10009","-172","758"
"2023/03/09","10181","64","778"
"2023/03/08","10117","47","781"
"2023/03/07","10070","25","783"
"2023/03/06","10045","112","786"
"2023/03/03","9933","150","856"
"2023/03/02","9783","-7","783"
"2023/03/01","9790","26","773"
"2023/02/28","9764","8","768"
"2023/02/27","9756","-4","769"
"2023/02/24","9760","121","794"
"2023/02/22","9639","-130","762"
"2023/02/21","9769","-20","770"
"2023/02/20","9789","7","771"
"2023/02/17","9782","-66","757"
"2023/02/16","9848","69","781"
"2023/02/15","9779","-38","757"
"2023/02/14","9817","64","763"
"2023/02/13","9753","-87","757"
"2023/02/10","9840","32","788"
"2023/02/09","9808","-10","785"
"2023/02/08","9818","-25","788"
"2023/02/07","9843","-5","794"
"2023/02/06","9848","66","804"
"2023/02/03","9782","37","801"
"2023/02/02","9745","21","806"
"2023/02/01","9724","6","802"
"2023/01/31","9718","-35","802"
"2023/01/30","9753","16","808"
"2023/01/27","9737","4","864"
"2023/01/26","9733","-6","817"
"2023/01/25","9739","31","834"
"2023/01/24","9708","140","843"
"2023/01/23","9568","126","835"
"2023/01/20","9442","55","823"
"2023/01/19","9387","-138","865"
"2023/01/18","9525","228","895"
"2023/01/17","9297","115","885"
"2023/01/16","9182","-106","806"
"2023/01/13","9288","-115","814"
"2023/01/12","9403","-1","825"
"2023/01/11","9404","95","823"
"2023/01/10","9309","73","809"
"2023/01/06","9236","53","847"
"2023/01/05","9183","40","834"
"2023/01/04","9143","-138","777"
"2022/12/30","9281","4","823"
"2022/12/29","9277","-74","814"
"2022/12/28","9351","-40","819"
"2022/12/27","9391","13","817"
"2022/12/26","9378","62","815"
"2022/12/23","9316","-97","795"
"2022/12/22","9413","42","796"
"2022/12/21","9371","-66","777"
"2022/12/20","9437","-240","743"
"2022/12/19","9677","-97","740"
"2022/12/16","9774","-182","701"
"2022/12/15","9956","-39","672"
"2022/12/14","9995","70","723"
"2022/12/13","9925","40","679"
"2022/12/12","9885","-23","672"
"2022/12/09","9908","119","709"
"2022/12/08","9789","-37","689"
"2022/12/07","9826","-73","686"
"2022/12/06","9899","20","719"
"2022/12/05","9879","18","750"
"2022/12/02","9861","-163","643"
"2022/12/01","10024","87","699"
"2022/11/30","9937","-18","686"
"2022/11/29","9955","-45","633"
"2022/11/28","10000","-47","628"
"2022/11/25","10047","-31","628"
"2022/11/24","10078","93","638"
"2022/11/22","9985","59","647"
"2022/11/21","9926","19","643"
"2022/11/18","9907","-16","640"
"2022/11/17","9923","-32","644"
"2022/11/16","9955","12","683"
"2022/11/15","9943","12","631"
"2022/11/14","9931","-108","626"
"2022/11/11","10039","291","698"
"2022/11/10","9748","-92","632"
"2022/11/09","9840","-62","638"
"2022/11/08","9902","121","658"
"2022/11/07","9781","119","649"
"2022/11/04","9662","-164","627"
"2022/11/02","9826","-9","646"
"2022/11/01","9835","37","644"
"2022/10/31","9798","167","650"
"2022/10/28","9631","-87","634"
"2022/10/27","9718","-32","637"
"2022/10/26","9750","64","653"
"2022/10/25","9686","99","652"
"2022/10/24","9587","29","644"
"2022/10/21","9558","-41","656"
"2022/10/20","9599","-88","656"
"2022/10/19","9687","33","664"
"2022/10/18","9654","138","675"
"2022/10/17","9516","-110","640"
"2022/10/14","9626","299","673"
"2022/10/13","9327","-58","647"
"2022/10/12","9385","-6","648"
"2022/10/11","9391","-249","628"
"2022/10/07","9640","-70","641"
"2022/10/06","9710","69","674"
"2022/10/05","9641","49","693"
"2022/10/04","9592","266","697"
"2022/10/03","9326","99","667"
"2022/09/30","9227","-164","644"
"2022/09/29","9391","162","657"
"2022/09/28","9229","-142","625"
"2022/09/27","9371","47","616"
"2022/09/26","9324","-265","580"
"2022/09/22","9589","-49","581"
"2022/09/21","9638","-128","548"
"2022/09/20","9766","40","564"
"2022/09/16","9726","-111","537"
"2022/09/15","9837","17","553"
"2022/09/14","9820","-277","528"
"2022/09/13","10097","32","547"
"2022/09/12","10065","110","554"
"2022/09/09","9955","56","548"
"2022/09/08","9899","218","614"
"2022/09/07","9681","-65","585"
"2022/09/06","9746","-2","587"
"2022/09/05","9748","-11","585"
"2022/09/02","9759","0","577"
"2022/09/01","9759","-156","532"
"2022/08/31","9915","-35","519"
"2022/08/30","9950","113","534"
"2022/08/29","9837","-265","505"
"2022/08/26","10102","54","520"
"2022/08/25","10048","59","530"
"2022/08/24","9989","-45","513"
"2022/08/23","10034","-120","506"
"2022/08/22","10154","-52","522"
"2022/08/19","10206","-5","526"
"2022/08/18","10211","-96","525"
"2022/08/17","10307","123","534"
"2022/08/16","10184","-1","530"
"2022/08/15","10185","113","534"
"2022/08/12","10072","257","561"
"2022/08/10","9815","-62","541"
"2022/08/09","9877","-91","543"
"2022/08/08","9968","26","544"
"2022/08/05","9942","84","555"
"2022/08/04","9858","71","554"
"2022/08/03","9787","42","553"
"2022/08/02","9745","-134","543"
"2022/08/01","9879","72","546"
"2022/07/29","9807","-9","543"
"2022/07/28","9816","31","544"
"2022/07/27","9785","26","540"
"2022/07/26","9759","-16","538"
"2022/07/25","9775","-74","539"
"2022/07/22","9849","39","562"
"2022/07/21","9810","43","563"
"2022/07/20","9767","256","579"
"2022/07/19","9511","61","573"
"2022/07/15","9450","44","560"
"2022/07/14","9406","65","568"
"2022/07/13","9341","52","563"
"2022/07/12","9289","-160","546"
"2022/07/11","9449","84","570"
"2022/07/08","9365","16","565"
"2022/07/07","9349","143","580"
"2022/07/06","9206","-113","557"
"2022/07/05","9319","85","567"
"2022/07/04","9234","87","560"
"2022/07/01","9147","-168","542"
"2022/06/30","9315","-138","550"
"2022/06/29","9453","-88","556"
"2022/06/28","9541","73","580"
"2022/06/27","9468","125","627"
"2022/06/24","9343","117","639"
"2022/06/23","9226","8","631"
"2022/06/22","9218","-37","628"
"2022/06/21","9255","164","618"
"2022/06/20","9091","-52","600"
"2022/06/17","9143","-180","581"
"2022/06/16","9323","40","591"
"2022/06/15","9283","-118","559"
"2022/06/14","9401","-107","520"
"2022/06/13","9508","-312","499"
"2022/06/10","9820","-145","509"
"2022/06/09","9965","8","522"
"2022/06/08","9957","99","536"
"2022/06/07","9858","12","536"
"2022/06/06","9846","53","542"
"2022/06/03","9793","122","560"
"2022/06/02","9671","-15","547"
"2022/06/01","9686","64","544"
"2022/05/31","9622","-33","539"
"2022/05/30","9655","206","572"
"2022/05/27","9449","63","562"
"2022/05/26","9386","-26","556"
"2022/05/25","9412","-24","554"
"2022/05/24","9436","-91","555"
