"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÉåÉIÉXÅ|Ç–Ç”Ç›ÉvÉâÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20120307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","45265","-484","477743"
"2023/04/05","45749","-874","483150"
"2023/04/04","46623","-53","491580"
"2023/04/03","46676","260","492016"
"2023/03/31","46416","403","489257"
"2023/03/30","46013","275","485050"
"2023/03/29","45738","600","482084"
"2023/03/28","45138","65","474797"
"2023/03/27","45073","87","474054"
"2023/03/24","44986","-91","473148"
"2023/03/23","45077","-102","474049"
"2023/03/22","45179","662","474795"
"2023/03/20","44517","-760","467641"
"2023/03/17","45277","596","475509"
"2023/03/16","44681","-542","468826"
"2023/03/15","45223","435","474630"
"2023/03/14","44788","-1272","470113"
"2023/03/13","46060","-721","483471"
"2023/03/10","46781","-904","491560"
"2023/03/09","47685","402","501159"
"2023/03/08","47283","185","497311"
"2023/03/07","47098","150","495743"
"2023/03/06","46948","310","494590"
"2023/03/03","46638","463","491500"
"2023/03/02","46175","-153","485862"
"2023/03/01","46328","190","487265"
"2023/02/28","46138","134","484690"
"2023/02/27","46004","50","483320"
"2023/02/24","45954","402","482819"
"2023/02/22","45552","-410","478666"
"2023/02/21","45962","-140","482828"
"2023/02/20","46102","203","484207"
"2023/02/17","45899","-210","482160"
"2023/02/16","46109","274","484142"
"2023/02/15","45835","-52","481272"
"2023/02/14","45887","469","481919"
"2023/02/13","45418","-215","476882"
"2023/02/10","45633","18","479295"
"2023/02/09","45615","15","479162"
"2023/02/08","45600","250","478989"
"2023/02/07","45350","184","476363"
"2023/02/06","45166","40","474687"
"2023/02/03","45126","-58","474329"
"2023/02/02","45184","-149","474076"
"2023/02/01","45333","-117","475615"
"2023/01/31","45450","-152","476891"
"2023/01/30","45602","48","478536"
"2023/01/27","45554","104","477944"
"2023/01/26","45450","-100","476594"
"2023/01/25","45550","77","477837"
"2023/01/24","45473","559","477077"
"2023/01/23","44914","440","470898"
"2023/01/20","44474","246","466339"
"2023/01/19","44228","-369","463810"
"2023/01/18","44597","647","467557"
"2023/01/17","43950","190","460249"
"2023/01/16","43760","-502","458379"
"2023/01/13","44262","16","463664"
"2023/01/12","44246","128","463483"
"2023/01/11","44118","348","461754"
"2023/01/10","43770","62","457997"
"2023/01/06","43708","61","457209"
"2023/01/05","43647","-63","455552"
"2023/01/04","43710","-526","456128"
"2022/12/30","44236","15","461728"
"2022/12/29","44221","-217","461523"
"2022/12/28","44438","-51","463870"
"2022/12/27","44489","387","463990"
"2022/12/26","44102","109","460023"
"2022/12/23","43993","-207","458976"
"2022/12/22","44200","318","461139"
"2022/12/21","43882","-336","457618"
"2022/12/20","44218","-572","461106"
"2022/12/19","44790","-287","467153"
"2022/12/16","45077","-428","469981"
"2022/12/15","45505","-17","474698"
"2022/12/14","45522","154","475055"
"2022/12/13","45368","203","473267"
"2022/12/12","45165","-133","471339"
"2022/12/09","45298","389","472810"
"2022/12/08","44909","-103","468655"
"2022/12/07","45012","-14","469567"
"2022/12/06","45026","31","469831"
"2022/12/05","44995","-198","469603"
"2022/12/02","45193","-627","470892"
"2022/12/01","45820","-44","477277"
"2022/11/30","45864","-179","477891"
"2022/11/29","46043","-121","479534"
"2022/11/28","46164","-278","480615"
"2022/11/25","46442","16","484065"
"2022/11/24","46426","545","484121"
"2022/11/22","45881","437","478173"
"2022/11/21","45444","171","473685"
"2022/11/18","45273","-46","471848"
"2022/11/17","45319","158","472422"
"2022/11/16","45161","-39","470488"
"2022/11/15","45200","117","471043"
"2022/11/14","45083","-520","469914"
"2022/11/11","45603","432","475157"
"2022/11/10","45171","-193","470868"
"2022/11/09","45364","-242","472921"
"2022/11/08","45606","421","475329"
"2022/11/07","45185","284","471120"
"2022/11/04","44901","-462","468282"
"2022/11/02","45363","-78","472297"
"2022/11/01","45441","158","473003"
"2022/10/31","45283","551","471351"
"2022/10/28","44732","12","465584"
"2022/10/27","44720","-294","465387"
"2022/10/26","45014","176","468143"
"2022/10/25","44838","313","466420"
"2022/10/24","44525","10","463151"
"2022/10/21","44515","-247","462784"
"2022/10/20","44762","-189","465572"
"2022/10/19","44951","66","467601"
"2022/10/18","44885","554","466416"
"2022/10/17","44331","-321","460624"
"2022/10/14","44652","860","463980"
"2022/10/13","43792","-480","455011"
"2022/10/12","44272","-22","459683"
"2022/10/11","44294","-562","459854"
"2022/10/07","44856","-328","465508"
"2022/10/06","45184","251","469133"
"2022/10/05","44933","42","466554"
"2022/10/04","44891","1183","465105"
"2022/10/03","43708","95","452549"
"2022/09/30","43613","-701","451512"
"2022/09/29","44314","786","458565"
"2022/09/28","43528","-398","450197"
"2022/09/27","43926","166","453652"
"2022/09/26","43760","-1082","451862"
"2022/09/22","44842","-58","462955"
"2022/09/21","44900","-481","463030"
"2022/09/20","45381","155","467940"
"2022/09/16","45226","-301","465948"
"2022/09/15","45527","54","469058"
"2022/09/14","45473","-613","468745"
"2022/09/13","46086","152","475020"
"2022/09/12","45934","360","473709"
"2022/09/09","45574","227","470068"
"2022/09/08","45347","738","467543"
"2022/09/07","44609","-53","459840"
"2022/09/06","44662","-92","460376"
"2022/09/05","44754","-38","461309"
"2022/09/02","44792","-159","460695"
"2022/09/01","44951","-553","462128"
"2022/08/31","45504","42","467812"
"2022/08/30","45462","547","467214"
"2022/08/29","44915","-649","461446"
"2022/08/26","45564","9","467724"
"2022/08/25","45555","270","467673"
"2022/08/24","45285","-42","465030"
"2022/08/23","45327","-308","465198"
"2022/08/22","45635","-114","468479"
"2022/08/19","45749","65","469755"
"2022/08/18","45684","-169","469154"
"2022/08/17","45853","557","471019"
"2022/08/16","45296","76","465124"
"2022/08/15","45220","87","464381"
"2022/08/12","45133","745","463225"
"2022/08/10","44388","-187","455656"
"2022/08/09","44575","-30","457459"
"2022/08/08","44605","-14","457582"
"2022/08/05","44619","-11","457836"
"2022/08/04","44630","-52","457968"
"2022/08/03","44682","157","458526"
"2022/08/02","44525","-687","455717"
"2022/08/01","45212","585","462732"
"2022/07/29","44627","-75","456826"
"2022/07/28","44702","137","457773"
"2022/07/27","44565","24","456130"
"2022/07/26","44541","222","455507"
"2022/07/25","44319","-152","453300"
"2022/07/22","44471","66","454862"
"2022/07/21","44405","144","453868"
"2022/07/20","44261","738","452195"
"2022/07/19","43523","284","444240"
"2022/07/15","43239","-224","441322"
"2022/07/14","43463","32","443612"
"2022/07/13","43431","21","443237"
"2022/07/12","43410","-619","442732"
"2022/07/11","44029","530","448954"
"2022/07/08","43499","152","443428"
"2022/07/07","43347","324","441554"
"2022/07/06","43023","-684","438157"
"2022/07/05","43707","282","445035"
"2022/07/04","43425","312","441051"
"2022/07/01","43113","-576","437598"
"2022/06/30","43689","-485","443365"
"2022/06/29","44174","-190","448149"
"2022/06/28","44364","519","449143"
"2022/06/27","43845","514","443787"
"2022/06/24","43331","382","438458"
"2022/06/23","42949","-42","434506"
"2022/06/22","42991","-161","434793"
"2022/06/21","43152","837","435870"
"2022/06/20","42315","-578","427213"
"2022/06/17","42893","-768","432915"
"2022/06/16","43661","7","440164"
"2022/06/15","43654","-484","440005"
"2022/06/14","44138","-487","444759"
"2022/06/13","44625","-961","449357"
"2022/06/10","45586","-580","459129"
"2022/06/09","46166","-131","464887"
"2022/06/08","46297","563","466116"
"2022/06/07","45734","28","460278"
"2022/06/06","45706","235","460038"
"2022/06/03","45471","190","457649"
"2022/06/02","45281","-278","454657"
"2022/06/01","45559","506","457213"
"2022/05/31","45053","-138","451940"
"2022/05/30","45191","656","453111"
"2022/05/27","44535","365","446217"
"2022/05/26","44170","80","442073"
"2022/05/25","44090","-139","441251"
"2022/05/24","44229","-275","442529"
"2022/05/23","44504","422","444858"
"2022/05/20","44082","418","440580"
"2022/05/19","43664","-517","436397"
"2022/05/18","44181","339","441358"
"2022/05/17","43842","-10","437339"
"2022/05/16","43852","190","437376"
"2022/05/13","43662","785","435198"
"2022/05/12","42877","-497","427254"
"2022/05/11","43374","7","431779"
"2022/05/10","43367","-735","431654"
"2022/05/09","44102","-825","438736"
"2022/05/06","44927","209","445525"
"2022/05/02","44718","-84","443183"
"2022/04/28","44802","608","443703"
"2022/04/27","44194","-352","437360"
"2022/04/26","44546","-61","440368"
"2022/04/25","44607","-703","440986"
"2022/04/22","45310","-678","447982"
"2022/04/21","45988","112","454352"
"2022/04/20","45876","322","453295"
"2022/04/19","45554","329","449641"
"2022/04/18","45225","-245","445979"
"2022/04/15","45470","-225","448348"
"2022/04/14","45695","362","450427"
"2022/04/13","45333","603","446860"
"2022/04/12","44730","-586","440625"
"2022/04/11","45316","-283","446338"
"2022/04/08","45599","130","449058"
"2022/04/07","45469","-931","447495"
"2022/04/06","46400","-582","456554"
"2022/04/05","46982","111","462348"
"2022/04/04","46871","295","460114"
"2022/04/01","46576","-84","456971"
"2022/03/31","46660","-499","457702"
"2022/03/30","47159","144","462595"
"2022/03/29","47015","615","460543"
"2022/03/28","46400","-308","454117"
"2022/03/25","46708","133","457084"
"2022/03/24","46575","185","455710"
"2022/03/23","46390","962","453338"
"2022/03/22","45428","539","443835"
"2022/03/18","44889","337","438241"
"2022/03/17","44552","1050","434740"
"2022/03/16","43502","412","423997"
"2022/03/15","43090","-7","419782"
"2022/03/14","43097","195","419624"
"2022/03/11","42902","-498","417331"
"2022/03/10","43400","1569","422090"
"2022/03/09","41831","-87","406828"
"2022/03/08","41918","-938","407284"
"2022/03/07","42856","-1118","416318"
"2022/03/04","43974","-965","427099"
"2022/03/03","44939","415","436280"
"2022/03/02","44524","-666","431006"
"2022/03/01","45190","489","436366"
"2022/02/28","44701","346","431318"
"2022/02/25","44355","725","428100"
"2022/02/24","43630","-444","420950"
"2022/02/22","44074","-688","424717"
"2022/02/21","44762","-342","431194"
"2022/02/18","45104","-369","434266"
"2022/02/17","45473","-372","437695"
"2022/02/16","45845","738","440734"
"2022/02/15","45107","-277","433338"
"2022/02/14","45384","-870","435548"
"2022/02/10","46254","478","443838"
"2022/02/09","45776","600","439178"
"2022/02/08","45176","-160","432814"
"2022/02/07","45336","-267","434293"
"2022/02/04","45603","88","436662"
"2022/02/03","45515","-650","435520"
"2022/02/02","46165","973","440294"
"2022/02/01","45192","78","430548"
"2022/01/31","45114","730","429429"
"2022/01/28","44384","601","422000"
"2022/01/27","43783","-1335","415785"
"2022/01/26","45118","-168","427960"
"2022/01/25","45286","-980","429446"
"2022/01/24","46266","-210","438418"
"2022/01/21","46476","-459","439679"
"2022/01/20","46935","488","443779"
"2022/01/19","46447","-1633","439049"
"2022/01/18","48080","-145","453741"
"2022/01/17","48225","78","454878"
"2022/01/14","48147","-853","454022"
"2022/01/13","49000","-606","461985"
"2022/01/12","49606","967","467184"
"2022/01/11","48639","-527","457625"
"2022/01/07","49166","-192","462398"
"2022/01/06","49358","-1542","464398"
"2022/01/05","50900","-715","477926"
"2022/01/04","51615","534","484498"
"2021/12/30","51081","-128","479558"
"2021/12/29","51209","-60","480760"
