"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÉåÉIÉXÅ|Ç–Ç”Ç›ÉèÅ[ÉãÉhÅ{"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20190307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","14372","-213","211184"
"2023/04/05","14585","-186","214469"
"2023/04/04","14771","-91","217276"
"2023/04/03","14862","152","218573"
"2023/03/31","14710","235","216254"
"2023/03/30","14475","345","212707"
"2023/03/29","14130","47","207617"
"2023/03/28","14083","83","206516"
"2023/03/27","14000","-70","205221"
"2023/03/24","14070","64","206228"
"2023/03/23","14006","-320","205282"
"2023/03/22","14326","287","209790"
"2023/03/20","14039","-242","205536"
"2023/03/17","14281","286","209057"
"2023/03/16","13995","-365","204690"
"2023/03/15","14360","416","210126"
"2023/03/14","13944","-182","204147"
"2023/03/13","14126","-463","206890"
"2023/03/10","14589","-358","213947"
"2023/03/09","14947","-3","219369"
"2023/03/08","14950","-61","219772"
"2023/03/07","15011","0","220895"
"2023/03/06","15011","139","221019"
"2023/03/03","14872","150","219080"
"2023/03/02","14722","-29","216784"
"2023/03/01","14751","-32","217199"
"2023/02/28","14783","90","217357"
"2023/02/27","14693","2","216039"
"2023/02/24","14691","72","216046"
"2023/02/22","14619","-251","215225"
"2023/02/21","14870","-6","218916"
"2023/02/20","14876","-88","219233"
"2023/02/17","14964","-204","220728"
"2023/02/16","15168","265","223703"
"2023/02/15","14903","128","219827"
"2023/02/14","14775","253","218068"
"2023/02/13","14522","-109","214378"
"2023/02/10","14631","-34","216177"
"2023/02/09","14665","-72","216984"
"2023/02/08","14737","-41","218653"
"2023/02/07","14778","-197","219367"
"2023/02/06","14975","130","222429"
"2023/02/03","14845","277","220568"
"2023/02/02","14568","121","216477"
"2023/02/01","14447","145","214729"
"2023/01/31","14302","-143","212569"
"2023/01/30","14445","95","214612"
"2023/01/27","14350","155","213098"
"2023/01/26","14195","-101","210800"
"2023/01/25","14296","-64","212291"
"2023/01/24","14360","325","213245"
"2023/01/23","14035","321","208280"
"2023/01/20","13714","-134","203526"
"2023/01/19","13848","-446","205579"
"2023/01/18","14294","274","212061"
"2023/01/17","14020","62","207995"
"2023/01/16","13958","-90","207100"
"2023/01/13","14048","-186","208434"
"2023/01/12","14234","133","211169"
"2023/01/11","14101","154","209100"
"2023/01/10","13947","272","206768"
"2023/01/06","13675","-36","202655"
"2023/01/05","13711","316","203007"
"2023/01/04","13395","-212","198284"
"2022/12/30","13607","92","201396"
"2022/12/29","13515","-118","199507"
"2022/12/28","13633","64","201250"
"2022/12/27","13569","101","200294"
"2022/12/26","13468","7","198824"
"2022/12/23","13461","-170","198702"
"2022/12/22","13631","241","201257"
"2022/12/21","13390","-293","197480"
"2022/12/20","13683","-312","201816"
"2022/12/19","13995","-304","206400"
"2022/12/16","14299","-175","210899"
"2022/12/15","14474","-16","213618"
"2022/12/14","14490","-85","213939"
"2022/12/13","14575","234","215118"
"2022/12/12","14341","-105","211735"
"2022/12/09","14446","160","213269"
"2022/12/08","14286","-101","210929"
"2022/12/07","14387","-80","212349"
"2022/12/06","14467","-56","213563"
"2022/12/05","14523","-104","214441"
"2022/12/02","14627","-105","215929"
"2022/12/01","14732","237","217413"
"2022/11/30","14495","-26","214007"
"2022/11/29","14521","-230","214292"
"2022/11/28","14751","5","217776"
"2022/11/25","14746","9","217701"
"2022/11/24","14737","-23","217674"
"2022/11/22","14760","132","217949"
"2022/11/21","14628","84","215997"
"2022/11/18","14544","-24","214796"
"2022/11/17","14568","-141","215208"
"2022/11/16","14709","72","217153"
"2022/11/15","14637","-72","216248"
"2022/11/14","14709","-2","217336"
"2022/11/11","14711","333","217341"
"2022/11/10","14378","-222","212487"
"2022/11/09","14600","42","215814"
"2022/11/08","14558","104","215120"
"2022/11/07","14454","99","213747"
"2022/11/04","14355","-400","212406"
"2022/11/02","14755","-111","218522"
"2022/11/01","14866","-16","220182"
"2022/10/31","14882","340","220327"
"2022/10/28","14542","78","215341"
"2022/10/27","14464","-167","214131"
"2022/10/26","14631","219","216478"
"2022/10/25","14412","126","213261"
"2022/10/24","14286","163","211440"
"2022/10/21","14123","-76","208917"
"2022/10/20","14199","-125","210013"
"2022/10/19","14324","241","211848"
"2022/10/18","14083","393","208048"
"2022/10/17","13690","-200","202168"
"2022/10/14","13890","264","205105"
"2022/10/13","13626","10","201177"
"2022/10/12","13616","-63","200856"
"2022/10/11","13679","-433","201839"
"2022/10/07","14112","-124","208175"
"2022/10/06","14236","47","209938"
"2022/10/05","14189","442","209244"
"2022/10/04","13747","313","202613"
"2022/10/03","13434","-85","197924"
"2022/09/30","13519","-174","198978"
"2022/09/29","13693","201","201357"
"2022/09/28","13492","-1","198121"
"2022/09/27","13493","-60","197879"
"2022/09/26","13553","-625","198678"
"2022/09/22","14178","-93","207818"
"2022/09/21","14271","-187","208968"
"2022/09/20","14458","-105","211775"
"2022/09/16","14563","-175","213448"
"2022/09/15","14738","-133","216224"
"2022/09/14","14871","-349","218832"
"2022/09/13","15220","137","223968"
"2022/09/12","15083","137","222180"
"2022/09/09","14946","66","220283"
"2022/09/08","14880","402","219324"
"2022/09/07","14478","254","213383"
"2022/09/06","14224","-39","209642"
"2022/09/05","14263","-27","210212"
"2022/09/02","14290","-89","210526"
"2022/09/01","14379","-3","211801"
"2022/08/31","14382","-102","211716"
"2022/08/30","14484","-60","213006"
"2022/08/29","14544","-266","213808"
"2022/08/26","14810","170","217622"
"2022/08/25","14640","72","215194"
"2022/08/24","14568","-36","214269"
"2022/08/23","14604","-323","214966"
"2022/08/22","14927","-107","219857"
"2022/08/19","15034","223","221727"
"2022/08/18","14811","-112","218823"
"2022/08/17","14923","128","220719"
"2022/08/16","14795","45","218734"
"2022/08/15","14750","144","218096"
"2022/08/12","14606","179","215963"
"2022/08/10","14427","-126","213512"
"2022/08/09","14553","10","215365"
"2022/08/08","14543","234","215236"
"2022/08/05","14309","-75","211855"
"2022/08/04","14384","144","213029"
"2022/08/03","14240","192","210970"
"2022/08/02","14048","-176","208028"
"2022/08/01","14224","-15","210623"
"2022/07/29","14239","57","210710"
"2022/07/28","14182","212","209795"
"2022/07/27","13970","-119","206591"
"2022/07/26","14089","11","208201"
"2022/07/25","14078","-168","208083"
"2022/07/22","14246","-34","210676"
"2022/07/21","14280","158","211018"
"2022/07/20","14122","319","208626"
"2022/07/19","13803","194","203731"
"2022/07/15","13609","1","200860"
"2022/07/14","13608","37","200855"
"2022/07/13","13571","-129","200241"
"2022/07/12","13700","-114","202003"
"2022/07/11","13814","40","203631"
"2022/07/08","13774","289","202993"
"2022/07/07","13485","31","198659"
"2022/07/06","13454","-112","197871"
"2022/07/05","13566","115","199516"
"2022/07/04","13451","-27","197823"
"2022/07/01","13478","-205","198131"
"2022/06/30","13683","-72","200960"
"2022/06/29","13755","-119","201939"
"2022/06/28","13874","99","203200"
"2022/06/27","13775","349","201626"
"2022/06/24","13426","-36","196564"
"2022/06/23","13462","-138","197161"
"2022/06/22","13600","310","198703"
"2022/06/21","13290","34","194170"
"2022/06/20","13256","212","193672"
"2022/06/17","13044","-563","190440"
"2022/06/16","13607","111","198340"
"2022/06/15","13496","30","196630"
"2022/06/14","13466","-598","196168"
"2022/06/13","14064","-321","204652"
"2022/06/10","14385","-328","209444"
"2022/06/09","14713","17","214190"
"2022/06/08","14696","149","213951"
"2022/06/07","14547","200","211583"
"2022/06/06","14347","-47","208680"
"2022/06/03","14394","284","209337"
"2022/06/02","14110","13","205052"
"2022/06/01","14097","-50","204598"
"2022/05/31","14147","180","205331"
"2022/05/30","13967","317","202540"
"2022/05/27","13650","226","197762"
"2022/05/26","13424","213","194233"
"2022/05/25","13211","-253","191107"
"2022/05/24","13464","215","194669"
"2022/05/23","13249","-51","191284"
"2022/05/20","13300","-24","191980"
"2022/05/19","13324","-530","192122"
"2022/05/18","13854","299","199661"
"2022/05/17","13555","-120","195092"
"2022/05/16","13675","467","196774"
"2022/05/13","13208","-81","189918"
"2022/05/12","13289","-201","190980"
"2022/05/11","13490","33","193548"
"2022/05/10","13457","-570","193071"
"2022/05/09","14027","-221","200702"
"2022/05/06","14248","-44","203863"
"2022/05/02","14292","108","204296"
"2022/04/28","14184","122","202490"
"2022/04/27","14062","-353","200534"
"2022/04/26","14415","-144","205318"
"2022/04/25","14559","-371","207376"
"2022/04/22","14930","-180","212890"
"2022/04/21","15110","-121","215166"
"2022/04/20","15231","477","216620"
"2022/04/19","14754","60","209834"
"2022/04/18","14694","21","208982"
"2022/04/15","14673","-33","208818"
"2022/04/14","14706","164","209284"
"2022/04/13","14542","-17","206904"
"2022/04/12","14559","-77","207004"
"2022/04/11","14636","65","207997"
"2022/04/08","14571","-5","207056"
"2022/04/07","14576","-263","207015"
"2022/04/06","14839","-69","210754"
"2022/04/05","14908","125","211681"
"2022/04/04","14783","70","209693"
"2022/04/01","14713","-229","208680"
"2022/03/31","14942","-147","211665"
"2022/03/30","15089","113","213571"
"2022/03/29","14976","275","211411"
"2022/03/28","14701","12","207226"
"2022/03/25","14689","261","206899"
"2022/03/24","14428","-177","203237"
"2022/03/23","14605","273","205268"
"2022/03/22","14332","252","201067"
"2022/03/18","14080","173","197437"
"2022/03/17","13907","497","194849"
"2022/03/16","13410","160","187455"
"2022/03/15","13250","-66","185024"
"2022/03/14","13316","-33","185813"
"2022/03/11","13349","-22","186090"
"2022/03/10","13371","422","186542"
"2022/03/09","12949","14","180773"
"2022/03/08","12935","-398","180385"
"2022/03/07","13333","-377","185862"
"2022/03/04","13710","-301","190957"
"2022/03/03","14011","299","194954"
"2022/03/02","13712","-359","190562"
"2022/03/01","14071","-8","195052"
"2022/02/28","14079","319","194829"
"2022/02/25","13760","192","190609"
"2022/02/24","13568","-388","187576"
"2022/02/22","13956","-81","192948"
"2022/02/21","14037","-150","193910"
"2022/02/18","14187","-407","195953"
"2022/02/17","14594","-16","201455"
"2022/02/16","14610","359","201383"
"2022/02/15","14251","-102","196390"
"2022/02/14","14353","-529","197589"
"2022/02/10","14882","334","204760"
"2022/02/09","14548","163","199948"
"2022/02/08","14385","54","197347"
"2022/02/07","14331","88","195774"
"2022/02/04","14243","-242","194574"
"2022/02/03","14485","-11","197880"
"2022/02/02","14496","108","198036"
"2022/02/01","14388","357","196276"
"2022/01/31","14031","151","191038"
"2022/01/28","13880","-87","188768"
"2022/01/27","13967","51","189462"
"2022/01/26","13916","-229","188462"
