"基準価額一覧"
""
"ファンド名","楽天－楽天日本株トリプル・ブル"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20090307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","63840","-2060","8208"
"2023/04/05","65900","-3238","8407"
"2023/04/04","69138","70","8962"
"2023/04/03","69068","1510","9101"
"2023/03/31","67558","1707","9135"
"2023/03/30","65851","1468","8882"
"2023/03/29","64383","2050","8885"
"2023/03/28","62333","134","8754"
"2023/03/27","62199","606","8699"
"2023/03/24","61593","404","8658"
"2023/03/23","61189","-753","8552"
"2023/03/22","61942","3669","8869"
"2023/03/20","58273","-2432","8434"
"2023/03/17","60705","1898","8736"
"2023/03/16","58807","-2096","8149"
"2023/03/15","60903","996","8348"
"2023/03/14","59907","-5297","7823"
"2023/03/13","65204","-1525","8187"
"2023/03/10","66729","-3803","8430"
"2023/03/09","70532","1544","9083"
"2023/03/08","68988","658","8999"
"2023/03/07","68330","531","9017"
"2023/03/06","67799","2485","9044"
"2023/03/03","65314","2598","8908"
"2023/03/02","62716","-71","8562"
"2023/03/01","62787","406","8597"
"2023/02/28","62381","405","8582"
"2023/02/27","61976","197","8502"
"2023/02/24","61779","1650","8552"
"2023/02/22","60129","-2182","8172"
"2023/02/21","62311","-481","8458"
"2023/02/20","62792","403","8526"
"2023/02/17","62389","-1456","8414"
"2023/02/16","63845","1567","8691"
"2023/02/15","62278","-1242","8485"
"2023/02/14","63520","1219","8712"
"2023/02/13","62301","-1458","8480"
"2023/02/10","63759","823","8768"
"2023/02/09","62936","-484","8641"
"2023/02/08","63420","-3","8707"
"2023/02/07","63423","-556","8751"
"2023/02/06","63979","1294","8929"
"2023/02/03","62685","678","8868"
"2023/02/02","62007","537","8745"
"2023/02/01","61470","66","8674"
"2023/01/31","61404","-479","8707"
"2023/01/30","61883","62","8830"
"2023/01/27","61821","-138","8939"
"2023/01/26","61959","403","9028"
"2023/01/25","61556","335","9321"
"2023/01/24","61221","2554","9750"
"2023/01/23","58667","2228","9893"
"2023/01/20","56439","1196","9498"
"2023/01/19","55243","-2534","9339"
"2023/01/18","57777","3657","10416"
"2023/01/17","54120","2233","9905"
"2023/01/16","51887","-1924","9307"
"2023/01/13","53811","-1842","9668"
"2023/01/12","55653","-256","10112"
"2023/01/11","55909","1553","10010"
"2023/01/10","54356","1400","9843"
"2023/01/06","52956","905","9562"
"2023/01/05","52051","1013","9496"
"2023/01/04","51038","-2926","9195"
"2022/12/30","53964","624","9631"
"2022/12/29","53340","-1567","9304"
"2022/12/28","54907","-826","9352"
"2022/12/27","55733","-66","9652"
"2022/12/26","55799","1360","9755"
"2022/12/23","54439","-1848","9065"
"2022/12/22","56287","756","9281"
"2022/12/21","55531","-1277","8703"
"2022/12/20","56808","-4733","8547"
"2022/12/19","61541","-1725","8755"
"2022/12/16","63266","-3520","8708"
"2022/12/15","66786","-871","9158"
"2022/12/14","67657","1354","9310"
"2022/12/13","66303","845","9115"
"2022/12/12","65458","-576","8998"
"2022/12/09","66034","2489","9336"
"2022/12/08","63545","-631","8971"
"2022/12/07","64176","-1562","8856"
"2022/12/06","65738","196","9145"
"2022/12/05","65542","542","9089"
"2022/12/02","65000","-3572","8717"
"2022/12/01","68572","1499","9508"
"2022/11/30","67073","-146","9173"
"2022/11/29","67219","-725","9050"
"2022/11/28","67944","-1250","9102"
"2022/11/25","69194","-297","9125"
"2022/11/24","69491","1805","9401"
"2022/11/22","67686","1067","9424"
"2022/11/21","66619","635","9274"
"2022/11/18","65984","-717","9030"
"2022/11/17","66701","-433","9106"
"2022/11/16","67134","69","9314"
"2022/11/15","67065","497","9245"
"2022/11/14","66568","-2273","8987"
"2022/11/11","68841","5780","9645"
"2022/11/10","63061","-1547","8665"
"2022/11/09","64608","-1714","8854"
"2022/11/08","66322","2364","9226"
"2022/11/07","63958","2434","9125"
"2022/11/04","61524","-3170","8476"
"2022/11/02","64694","-354","8947"
"2022/11/01","65048","974","9065"
"2022/10/31","64074","3613","9117"
"2022/10/28","60461","-1991","8498"
"2022/10/27","62452","-973","8756"
"2022/10/26","63425","1232","9254"
"2022/10/25","62193","2010","9076"
"2022/10/24","60183","394","8773"
"2022/10/21","59789","-673","8791"
"2022/10/20","60462","-1574","8711"
"2022/10/19","62036","269","9109"
"2022/10/18","61767","3042","9116"
"2022/10/17","58725","-2178","8645"
"2022/10/14","60903","5295","9181"
"2022/10/13","55608","-1098","8283"
"2022/10/12","56706","-260","8320"
"2022/10/11","56966","-4568","8083"
"2022/10/07","61534","-1317","8913"
"2022/10/06","62851","1429","9348"
"2022/10/05","61422","1142","9658"
"2022/10/04","60280","4341","10086"
"2022/10/03","55939","1801","9846"
"2022/09/30","54138","-2617","8996"
"2022/09/29","56755","2619","9516"
"2022/09/28","54136","-2594","8731"
"2022/09/27","56730","762","9035"
"2022/09/26","55968","-5683","8481"
"2022/09/22","61651","-620","8985"
"2022/09/21","62271","-2333","8691"
"2022/09/20","64604","692","8961"
"2022/09/16","63912","-2366","8726"
"2022/09/15","66278","211","8891"
"2022/09/14","66067","-5695","8571"
"2022/09/13","71762","1049","9455"
"2022/09/12","70713","1908","9484"
"2022/09/09","68805","1381","9311"
"2022/09/08","67424","4038","9494"
"2022/09/07","63386","-1057","8733"
"2022/09/06","64443","-222","9041"
"2022/09/05","64665","-140","8968"
"2022/09/02","64805","208","8873"
"2022/09/01","64597","-3564","8577"
"2022/08/31","68161","-588","9028"
"2022/08/30","68749","2062","9186"
"2022/08/29","66687","-5311","8611"
"2022/08/26","71998","745","9327"
"2022/08/25","71253","1402","9257"
"2022/08/24","69851","-524","8985"
"2022/08/23","70375","-2438","8989"
"2022/08/22","72813","-1707","9282"
"2022/08/19","74520","-80","9539"
"2022/08/18","74600","-1975","9575"
"2022/08/17","76575","2615","9957"
"2022/08/16","73960","-79","9724"
"2022/08/15","74039","2402","9861"
"2022/08/12","71637","5359","9768"
"2022/08/10","66278","-1235","9015"
"2022/08/09","67513","-2072","9280"
"2022/08/08","69585","507","9543"
