"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","äyìVÅ|äyìVì˙ñ{äîÇSÅDÇRî{ÉuÉã"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","10269","-482","37174"
"2023/04/05","10751","-775","38104"
"2023/04/04","11526","17","41967"
"2023/04/03","11509","358","42831"
"2023/03/31","11151","402","44329"
"2023/03/30","10749","339","42733"
"2023/03/29","10410","468","45077"
"2023/03/28","9942","31","43380"
"2023/03/27","9911","138","43935"
"2023/03/24","9773","92","43349"
"2023/03/23","9681","-172","42277"
"2023/03/22","9853","815","44640"
"2023/03/20","9038","-549","39364"
"2023/03/17","9587","422","42571"
"2023/03/16","9165","-476","37775"
"2023/03/15","9641","224","38439"
"2023/03/14","9417","-1235","35033"
"2023/03/13","10652","-361","37057"
"2023/03/10","11013","-921","38074"
"2023/03/09","11934","371","42864"
"2023/03/08","11563","158","42266"
"2023/03/07","11405","127","43360"
"2023/03/06","11278","584","44893"
"2023/03/03","10694","599","46219"
"2023/03/02","10095","-16","43768"
"2023/03/01","10111","94","44115"
"2023/02/28","10017","93","44005"
"2023/02/27","9924","45","43460"
"2023/02/24","9879","372","45053"
"2023/02/22","9507","-502","41357"
"2023/02/21","10009","-110","43457"
"2023/02/20","10119","93","44108"
"2023/02/17","10026","-339","42973"
"2023/02/16","10365","362","46048"
"2023/02/15","10003","-289","44239"
"2023/02/14","10292","281","46575"
"2023/02/13","10011","-339","44834"
"2023/02/10","10350","191","47448"
"2023/02/09","10159","-113","45901"
"2023/02/08","10272","0","45901"
"2023/02/07","10272","-130","46450"
"2023/02/06","10402","300","48353"
"2023/02/03","10102","156","48245"
"2023/02/02","9946","123","47841"
"2023/02/01","9823","15","47349"
"2023/01/31","9808","-110","47440"
"2023/01/30","9918","15","49655"
"2023/01/27","9903","-32","50488"
"2023/01/26","9935","92","50984"
"2023/01/25","9843","77","53129"
"2023/01/24","9766","574","59268"
"2023/01/23","9192","492","59939"
"2023/01/20","8700","262","56509"
"2023/01/19","8438","-564","54793"
"2023/01/18","9002","795","62417"
"2023/01/17","8207","477","56842"
"2023/01/16","7730","-416","51828"
"2023/01/13","8146","-407","54263"
"2023/01/12","8553","-56","57738"
"2023/01/11","8609","339","59380"
"2023/01/10","8270","302","57326"
"2023/01/06","7968","193","55124"
"2023/01/05","7775","215","53807"
"2023/01/04","7560","-636","50311"
"2022/12/30","8196","130","56498"
"2022/12/29","8066","-344","53906"
"2022/12/28","8410","-183","54869"
"2022/12/27","8593","-14","56428"
"2022/12/26","8607","298","56455"
"2022/12/23","8309","-410","51835"
"2022/12/22","8719","167","53422"
"2022/12/21","8552","-281","49181"
