"基準価額一覧"
""
"ファンド名","楽天－楽天・全世界株式インデックス・ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20170307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","16389","-128","257943"
"2023/04/05","16517","-200","260028"
"2023/04/04","16717","11","261113"
"2023/04/03","16706","126","260901"
"2023/03/31","16580","247","258877"
"2023/03/30","16333","352","254977"
"2023/03/29","15981","90","249314"
"2023/03/28","15891","60","247569"
"2023/03/27","15831","40","246490"
"2023/03/24","15791","6","245813"
"2023/03/23","15785","-381","245591"
"2023/03/22","16166","357","251351"
"2023/03/20","15809","-292","245741"
"2023/03/17","16101","287","248371"
"2023/03/16","15814","-402","243681"
"2023/03/15","16216","382","249777"
"2023/03/14","15834","-189","243732"
"2023/03/13","16023","-423","246426"
"2023/03/10","16446","-407","252847"
"2023/03/09","16853","14","257819"
"2023/03/08","16839","-114","257487"
"2023/03/07","16953","0","259146"
"2023/03/06","16953","147","259095"
"2023/03/03","16806","136","256714"
"2023/03/02","16670","20","252371"
"2023/03/01","16650","-65","251915"
"2023/02/28","16715","102","252596"
"2023/02/27","16613","34","250898"
"2023/02/24","16579","-51","250326"
"2023/02/22","16630","-216","250906"
"2023/02/21","16846","-16","254154"
"2023/02/20","16862","-32","254411"
"2023/02/17","16894","-131","254821"
"2023/02/16","17025","181","256651"
"2023/02/15","16844","67","252160"
"2023/02/14","16777","247","251069"
"2023/02/13","16530","-16","247150"
"2023/02/10","16546","-74","247318"
"2023/02/09","16620","-48","247165"
"2023/02/08","16668","-32","247921"
"2023/02/07","16700","-127","248358"
"2023/02/06","16827","277","250184"
"2023/02/03","16550","162","245972"
"2023/02/02","16388","2","241438"
"2023/02/01","16386","116","241355"
"2023/01/31","16270","-156","239530"
"2023/01/30","16426","80","241708"
"2023/01/27","16346","172","240481"
"2023/01/26","16174","-110","237819"
"2023/01/25","16284","-18","239317"
"2023/01/24","16302","290","239426"
"2023/01/23","16012","314","234976"
"2023/01/20","15698","-41","230343"
"2023/01/19","15739","-487","230889"
"2023/01/18","16226","314","235867"
"2023/01/17","15912","66","231311"
"2023/01/16","15846","-87","230243"
"2023/01/13","15933","-212","231402"
"2023/01/12","16145","113","234368"
"2023/01/11","16032","156","231065"
"2023/01/10","15876","171","228678"
"2023/01/06","15705","21","225946"
"2023/01/05","15684","324","223445"
"2023/01/04","15360","-278","218748"
"2022/12/30","15638","98","222623"
"2022/12/29","15540","-170","221074"
"2022/12/28","15710","79","222955"
"2022/12/27","15631","106","221829"
"2022/12/26","15525","19","220193"
"2022/12/23","15506","-132","219730"
"2022/12/22","15638","260","221415"
"2022/12/21","15378","-284","217478"
"2022/12/20","15662","-304","221301"
"2022/12/19","15966","-326","225467"
"2022/12/16","16292","-142","228245"
"2022/12/15","16434","-68","230152"
"2022/12/14","16502","-128","230977"
"2022/12/13","16630","277","232382"
"2022/12/12","16353","-110","228363"
"2022/12/09","16463","171","228387"
"2022/12/08","16292","-116","225823"
"2022/12/07","16408","-87","227301"
"2022/12/06","16495","-67","228303"
"2022/12/05","16562","-113","229104"
"2022/12/02","16675","-142","228169"
"2022/12/01","16817","232","229786"
"2022/11/30","16585","29","226472"
"2022/11/29","16556","-263","225719"
"2022/11/28","16819","18","228890"
"2022/11/25","16801","-18","228650"
"2022/11/24","16819","7","228769"
"2022/11/22","16812","105","228481"
"2022/11/21","16707","48","227045"
"2022/11/18","16659","52","226314"
"2022/11/17","16607","-149","225542"
"2022/11/16","16756","68","225840"
"2022/11/15","16688","-65","224817"
