"基準価額一覧"
""
"ファンド名","楽天－楽天・米国レバレッジバランス・ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20190307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","12404","1","15344"
"2023/04/05","12403","37","15323"
"2023/04/04","12366","112","15186"
"2023/04/03","12254","209","15041"
"2023/03/31","12045","159","14775"
"2023/03/30","11886","240","14573"
"2023/03/29","11646","-52","14267"
"2023/03/28","11698","-246","14322"
"2023/03/27","11944","84","14724"
"2023/03/24","11860","216","14606"
"2023/03/23","11644","-85","14349"
"2023/03/22","11729","-188","14426"
"2023/03/20","11917","186","14646"
"2023/03/17","11731","-39","14421"
"2023/03/16","11770","127","14442"
"2023/03/15","11643","97","14268"
"2023/03/14","11546","256","14141"
"2023/03/13","11290","94","13794"
"2023/03/10","11196","-126","13664"
"2023/03/09","11322","-30","13761"
"2023/03/08","11352","-90","13754"
"2023/03/07","11442","-23","13827"
"2023/03/06","11465","224","13728"
"2023/03/03","11241","-39","13438"
"2023/03/02","11280","-153","13401"
"2023/03/01","11433","-22","13534"
"2023/02/28","11455","96","13560"
"2023/02/27","11359","-94","13400"
"2023/02/24","11453","70","13500"
"2023/02/22","11383","-408","13380"
"2023/02/21","11791","-11","13860"
"2023/02/20","11802","-3","13872"
"2023/02/17","11805","-153","13868"
"2023/02/16","11958","99","14037"
"2023/02/15","11859","-79","13913"
"2023/02/14","11938","180","13997"
"2023/02/13","11758","-50","13777"
"2023/02/10","11808","-202","13828"
"2023/02/09","12010","-15","14052"
"2023/02/08","12025","-61","14048"
"2023/02/07","12086","-312","14095"
"2023/02/06","12398","-78","14430"
"2023/02/03","12476","206","14500"
"2023/02/02","12270","233","14171"
"2023/02/01","12037","185","13889"
"2023/01/31","11852","-202","13638"
"2023/01/30","12054","32","13853"
"2023/01/27","12022","72","13798"
"2023/01/26","11950","-64","13724"
"2023/01/25","12014","54","13766"
"2023/01/24","11960","140","13694"
"2023/01/23","11820","122","13503"
"2023/01/20","11698","-138","13341"
"2023/01/19","11836","-110","13480"
"2023/01/18","11946","208","13554"
"2023/01/17","11738","48","13318"
"2023/01/16","11690","-190","13217"
"2023/01/13","11880","-6","13405"
"2023/01/12","11886","196","13400"
"2023/01/11","11690","-3","13125"
"2023/01/10","11693","437","13116"
"2023/01/06","11256","-32","12586"
"2023/01/05","11288","295","12494"
"2023/01/04","10993","-180","12141"
"2022/12/30","11173","106","12305"
"2022/12/29","11067","-139","12179"
"2022/12/28","11206","-154","12307"
"2022/12/27","11360","74","12475"
"2022/12/26","11286","-91","12373"
"2022/12/23","11377","-124","12463"
"2022/12/22","11501","209","12630"
"2022/12/21","11292","-338","12358"
"2022/12/20","11630","-408","12712"
"2022/12/19","12038","-259","13157"
"2022/12/16","12297","-38","13422"
"2022/12/15","12335","-76","13459"
"2022/12/14","12411","123","13617"
"2022/12/13","12288","181","13451"
"2022/12/12","12107","-189","13230"
"2022/12/09","12296","-45","13416"
"2022/12/08","12341","120","13458"
"2022/12/07","12221","14","13324"
"2022/12/06","12207","-264","13291"
"2022/12/05","12471","-75","13541"
"2022/12/02","12546","134","13530"
"2022/12/01","12412","320","13384"
"2022/11/30","12092","-75","13028"
"2022/11/29","12167","-206","13089"
"2022/11/28","12373","16","13281"
"2022/11/25","12357","-13","13264"
"2022/11/24","12370","118","13273"
"2022/11/22","12252","86","13131"
"2022/11/21","12166","-28","13013"
"2022/11/18","12194","-125","13036"
"2022/11/17","12319","17","13164"
"2022/11/16","12302","147","13128"
"2022/11/15","12155","-73","12951"
"2022/11/14","12228","-128","13029"
"2022/11/11","12356","734","13146"
"2022/11/10","11622","-153","12352"
"2022/11/09","11775","141","12488"
"2022/11/08","11634","-44","12330"
"2022/11/07","11678","58","12356"
"2022/11/04","11620","-484","12282"
"2022/11/02","12104","-139","12709"
"2022/11/01","12243","-135","12847"
"2022/10/31","12378","213","12979"
"2022/10/28","12165","150","12741"
"2022/10/27","12015","-122","12574"
"2022/10/26","12137","304","12686"
"2022/10/25","11833","109","12344"
"2022/10/24","11724","281","12212"
"2022/10/21","11443","-224","11908"
"2022/10/20","11667","-246","12134"
"2022/10/19","11913","200","12378"
"2022/10/18","11713","332","12155"
"2022/10/17","11381","-257","11796"
"2022/10/14","11638","157","12052"
"2022/10/13","11481","113","11874"
"2022/10/12","11368","-4","11732"
"2022/10/11","11372","-539","11728"
"2022/10/07","11911","-236","12273"
"2022/10/06","12147","-176","12499"
"2022/10/05","12323","340","12596"
"2022/10/04","11983","498","12137"
"2022/10/03","11485","-225","11618"
"2022/09/30","11710","-277","11823"
"2022/09/29","11987","666","12094"
"2022/09/28","11321","-91","11412"
"2022/09/27","11412","-383","11512"
"2022/09/26","11795","-811","11899"
"2022/09/22","12606","-49","12711"
"2022/09/21","12655","-216","12752"
"2022/09/20","12871","-49","12962"
"2022/09/16","12920","-284","12996"
"2022/09/15","13204","-63","13275"
"2022/09/14","13267","-577","13337"
"2022/09/13","13844","88","13916"
"2022/09/12","13756","36","13827"
"2022/09/09","13720","-27","13773"
"2022/09/08","13747","506","13791"
"2022/09/07","13241","-60","13289"
"2022/09/06","13301","-8","13350"
"2022/09/05","13309","96","13352"
"2022/09/02","13213","-170","13168"
"2022/09/01","13383","-32","13334"
"2022/08/31","13415","-149","13366"
"2022/08/30","13564","-215","13526"
"2022/08/29","13779","-335","13726"
"2022/08/26","14114","285","14055"
"2022/08/25","13829","-48","13759"
"2022/08/24","13877","-71","13804"
"2022/08/23","13948","-393","13959"
