"基準価額一覧"
""
"ファンド名","楽天－楽天日本株トリプル・ベアＶ"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20220107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","6006","182","2073"
"2023/04/05","5824","259","2156"
"2023/04/04","5565","-6","1973"
"2023/04/03","5571","-128","1815"
"2023/03/31","5699","-149","1670"
"2023/03/30","5848","-136","1623"
"2023/03/29","5984","-204","1415"
"2023/03/28","6188","-14","1394"
"2023/03/27","6202","-63","1357"
"2023/03/24","6265","-42","1343"
"2023/03/23","6307","75","1387"
"2023/03/22","6232","-422","1335"
"2023/03/20","6654","253","1501"
"2023/03/17","6401","-218","1393"
"2023/03/16","6619","219","1731"
"2023/03/15","6400","-110","1776"
"2023/03/14","6510","491","2350"
"2023/03/13","6019","131","2752"
"2023/03/10","5888","301","2940"
"2023/03/09","5587","-127","2494"
"2023/03/08","5714","-56","2389"
"2023/03/07","5770","-46","2268"
"2023/03/06","5816","-228","1974"
"2023/03/03","6044","-261","1692"
"2023/03/02","6305","7","1740"
"2023/03/01","6298","-42","1710"
"2023/02/28","6340","-42","1692"
"2023/02/27","6382","-21","1680"
"2023/02/24","6403","-185","1527"
"2023/02/22","6588","222","1954"
"2023/02/21","6366","49","1879"
"2023/02/20","6317","-43","1849"
"2023/02/17","6360","141","1940"
"2023/02/16","6219","-160","1791"
"2023/02/15","6379","122","1876"
"2023/02/14","6257","-126","1702"
"2023/02/13","6383","141","1866"
"2023/02/10","6242","-82","1746"
"2023/02/09","6324","47","1827"
"2023/02/08","6277","0","1836"
"2023/02/07","6277","54","1770"
"2023/02/06","6223","-132","1574"
"2023/02/03","6355","-71","1494"
"2023/02/02","6426","-57","1439"
"2023/02/01","6483","-7","1566"
"2023/01/31","6490","49","1506"
"2023/01/30","6441","-8","1290"
"2023/01/27","6449","14","1223"
"2023/01/26","6435","-43","1149"
"2023/01/25","6478","-36","1031"
"2023/01/24","6514","-292","800"
"2023/01/23","6806","-280","649"
"2023/01/20","7086","-160","710"
"2023/01/19","7246","298","628"
"2023/01/18","6948","-506","634"
"2023/01/17","7454","-335","633"
"2023/01/16","7789","269","723"
"2023/01/13","7520","238","687"
"2023/01/12","7282","33","631"
"2023/01/11","7249","-216","691"
"2023/01/10","7465","-205","657"
"2023/01/06","7670","-138","705"
"2023/01/05","7808","-162","705"
"2023/01/04","7970","407","714"
"2022/12/30","7563","-75","798"
"2022/12/29","7638","213","823"
"2022/12/28","7425","109","833"
"2022/12/27","7316","8","701"
"2022/12/26","7308","-192","709"
"2022/12/23","7500","240","948"
"2022/12/22","7260","-101","1075"
"2022/12/21","7361","165","1209"
"2022/12/20","7196","518","1310"
"2022/12/19","6678","178","1393"
"2022/12/16","6500","324","1739"
"2022/12/15","6176","77","1614"
"2022/12/14","6099","-127","1442"
"2022/12/13","6226","-82","1453"
"2022/12/12","6308","53","1522"
"2022/12/09","6255","-257","1364"
"2022/12/08","6512","63","1504"
"2022/12/07","6449","148","1672"
"2022/12/06","6301","-21","1596"
"2022/12/05","6322","-55","1594"
"2022/12/02","6377","314","1881"
"2022/12/01","6063","-141","1602"
"2022/11/30","6204","13","1726"
"2022/11/29","6191","65","1896"
"2022/11/28","6126","108","1810"
"2022/11/25","6018","25","1906"
"2022/11/24","5993","-163","1617"
"2022/11/22","6156","-102","1587"
"2022/11/21","6258","-61","1622"
"2022/11/18","6319","67","1699"
"2022/11/17","6252","39","1656"
"2022/11/16","6213","-7","1502"
"2022/11/15","6220","-47","1495"
"2022/11/14","6267","195","1666"
"2022/11/11","6072","-617","1380"
"2022/11/10","6689","156","1684"
"2022/11/09","6533","163","1659"
"2022/11/08","6370","-245","1434"
"2022/11/07","6615","-276","1423"
"2022/11/04","6891","320","1782"
"2022/11/02","6571","35","1622"
"2022/11/01","6536","-100","1566"
"2022/10/31","6636","-426","1310"
"2022/10/28","7062","219","1598"
"2022/10/27","6843","102","1677"
"2022/10/26","6741","-135","1321"
"2022/10/25","6876","-237","1326"
"2022/10/24","7113","-49","1155"
"2022/10/21","7162","79","1071"
"2022/10/20","7083","174","1295"
"2022/10/19","6909","-31","1128"
"2022/10/18","6940","-377","994"
"2022/10/17","7317","244","978"
"2022/10/14","7073","-740","897"
"2022/10/13","7813","148","1029"
"2022/10/12","7665","35","1085"
"2022/10/11","7630","532","1198"
"2022/10/07","7098","144","1113"
"2022/10/06","6954","-165","976"
"2022/10/05","7119","-135","836"
"2022/10/04","7254","-609","733"
"2022/10/03","7863","-275","840"
"2022/09/30","8138","339","1061"
"2022/09/29","7799","-400","962"
"2022/09/28","8199","356","1194"
"2022/09/27","7843","-111","1203"
"2022/09/26","7954","672","1344"
"2022/09/22","7282","72","1437"
"2022/09/21","7210","250","1532"
"2022/09/20","6960","-79","1538"
"2022/09/16","7039","244","1790"
"2022/09/15","6795","-23","1729"
"2022/09/14","6818","498","2389"
"2022/09/13","6320","-95","2047"
"2022/09/12","6415","-184","1685"
"2022/09/09","6599","-136","1581"
"2022/09/08","6735","-463","1394"
"2022/09/07","7198","116","1582"
"2022/09/06","7082","23","1479"
"2022/09/05","7059","13","1568"
"2022/09/02","7046","-23","1752"
"2022/09/01","7069","351","1833"
"2022/08/31","6718","56","1705"
"2022/08/30","6662","-217","1791"
"2022/08/29","6879","466","2165"
"2022/08/26","6413","-69","1906"
"2022/08/25","6482","-133","1933"
"2022/08/24","6615","48","2074"
"2022/08/23","6567","212","2136"
"2022/08/22","6355","141","2440"
"2022/08/19","6214","6","2282"
"2022/08/18","6208","154","2593"
"2022/08/17","6054","-222","2137"
"2022/08/16","6276","6","2043"
"2022/08/15","6270","-214","1982"
"2022/08/12","6484","-571","1610"
"2022/08/10","7055","126","1795"
"2022/08/09","6929","200","1890"
"2022/08/08","6729","-51","1717"
"2022/08/05","6780","-164","1647"
"2022/08/04","6944","-186","1679"
"2022/08/03","7130","-31","1748"
"2022/08/02","7161","244","2397"
"2022/08/01","6917","-192","2144"
"2022/07/29","7109","45","2248"
"2022/07/28","7064","-39","1891"
"2022/07/27","7103","-86","2057"
"2022/07/26","7189","39","2110"
"2022/07/25","7150","142","1977"
"2022/07/22","7008","-84","1799"
"2022/07/21","7092","-75","1711"
"2022/07/20","7167","-641","1165"
"2022/07/19","7808","-153","946"
"2022/07/15","7961","-54","1025"
"2022/07/14","8015","-242","826"
"2022/07/13","8257","-154","955"
"2022/07/12","8411","337","1283"
"2022/07/11","8074","-38","973"
"2022/07/08","8112","-111","1028"
"2022/07/07","8223","-495","855"
"2022/07/06","8718","319","917"
"2022/07/05","8399","-156","765"
"2022/07/04","8555","-368","718"
"2022/07/01","8923","525","840"
"2022/06/30","8398","286","964"
"2022/06/29","8112","333","827"
"2022/06/28","7779","-267","595"
"2022/06/27","8046","-273","506"
"2022/06/24","8319","-361","548"
"2022/06/23","8680","-20","584"
"2022/06/22","8700","126","400"
"2022/06/21","8574","-470","493"
"2022/06/20","9044","-2","400"
"2022/06/17","9046","619","618"
"2022/06/16","8427","-150","527"
"2022/06/15","8577","350","698"
"2022/06/14","8227","165","1227"
"2022/06/13","8062","803","1640"
"2022/06/10","7259","280","1738"
"2022/06/09","6979","-67","1410"
"2022/06/08","7046","-138","1249"
"2022/06/07","7184","-84","1042"
"2022/06/06","7268","-97","862"
"2022/06/03","7365","-276","779"
"2022/06/02","7641","33","637"
"2022/06/01","7608","-207","548"
"2022/05/31","7815","115","553"
"2022/05/30","7700","-544","502"
"2022/05/27","8244","-190","391"
"2022/05/26","8434","65","410"
"2022/05/25","8369","57","436"
"2022/05/24","8312","272","282"
"2022/05/23","8040","-257","134"
"2022/05/20","8297","-403","97"
"2022/05/19","8700","442","175"
"2022/05/18","8258","-218","111"
"2022/05/17","8476","-145","94"
"2022/05/16","8621","-87","68"
"2022/05/13","8708","-678","41"
"2022/05/12","9386","486","53"
"2022/05/11","8900","21","45"
"2022/05/10","8879","121","59"
"2022/05/09","8758","650","107"
"2022/05/06","8108","-283","85"
"2022/05/02","8391","54","84"
"2022/04/28","8337","-498","48"
"2022/04/27","8835","249","74"
"2022/04/26","8586","-108","58"
"2022/04/25","8694","505","149"
"2022/04/22","8189","354","195"
"2022/04/21","7835","-304","144"
"2022/04/20","8139","-120","126"
"2022/04/19","8259","-288","126"
"2022/04/18","8547","300","143"
"2022/04/15","8247","97","142"
"2022/04/14","8150","-288","59"
"2022/04/13","8438","-579","72"
"2022/04/12","9017","480","85"
"2022/04/11","8537","204","82"
"2022/04/08","8333","-133","87"
"2022/04/07","8466","468","112"
"2022/04/06","7998","308","132"
"2022/04/05","7690","-8","127"
"2022/04/04","7698","-112","175"
"2022/04/01","7810","141","176"
"2022/03/31","7669","134","167"
"2022/03/30","7535","-65","117"
"2022/03/29","7600","-225","103"
"2022/03/28","7825","212","81"
"2022/03/25","7613","-59","75"
"2022/03/24","7672","16","80"
"2022/03/23","7656","-724","55"
"2022/03/22","8380","-331","34"
"2022/03/18","8711","-279","32"
"2022/03/17","8990","-1003","7"
"2022/03/16","9993","‐","7"
