"基準価額一覧"
""
"ファンド名","楽天－楽天・全米株式インデックス・ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20170307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","19428","-127","821204"
"2023/04/05","19555","-286","826843"
"2023/04/04","19841","-26","832371"
"2023/04/03","19867","239","833455"
"2023/03/31","19628","248","823396"
"2023/03/30","19380","457","812856"
"2023/03/29","18923","61","793304"
"2023/03/28","18862","50","789778"
"2023/03/27","18812","117","787137"
"2023/03/24","18695","-12","782057"
"2023/03/23","18707","-574","782143"
"2023/03/22","19281","416","805583"
"2023/03/20","18865","-370","787934"
"2023/03/17","19235","359","799691"
"2023/03/16","18876","-332","783871"
"2023/03/15","19208","532","797294"
"2023/03/14","18676","-235","775105"
"2023/03/13","18911","-560","784343"
"2023/03/10","19471","-550","807604"
"2023/03/09","20021","-11","825370"
"2023/03/08","20032","-124","825746"
"2023/03/07","20156","5","830764"
"2023/03/06","20151","209","830472"
"2023/03/03","19942","112","821690"
"2023/03/02","19830","9","810253"
"2023/03/01","19821","-56","809583"
"2023/02/28","19877","79","811048"
"2023/02/27","19798","80","807345"
"2023/02/24","19718","-15","804078"
"2023/02/22","19733","-332","804367"
"2023/02/21","20065","-20","817878"
"2023/02/20","20085","-51","819054"
"2023/02/17","20136","-235","821289"
"2023/02/16","20371","295","830576"
"2023/02/15","20076","77","815178"
"2023/02/14","19999","315","811789"
"2023/02/13","19684","46","798609"
"2023/02/10","19638","-183","796705"
"2023/02/09","19821","-106","799180"
"2023/02/08","19927","2","803620"
"2023/02/07","19925","-123","803641"
"2023/02/06","20048","344","808556"
"2023/02/03","19704","327","794421"
"2023/02/02","19377","26","774332"
"2023/02/01","19351","221","773235"
"2023/01/31","19130","-206","764189"
"2023/01/30","19336","153","772126"
"2023/01/27","19183","242","765815"
"2023/01/26","18941","-155","755818"
"2023/01/25","19096","-33","761792"
"2023/01/24","19129","399","762610"
"2023/01/23","18730","436","746190"
"2023/01/20","18294","-119","728837"
"2023/01/19","18413","-663","733476"
"2023/01/18","19076","348","755099"
"2023/01/17","18728","78","741315"
"2023/01/16","18650","-116","738022"
"2023/01/13","18766","-299","742375"
"2023/01/12","19065","191","753873"
"2023/01/11","18874","224","740028"
"2023/01/10","18650","150","730987"
"2023/01/06","18500","0","724297"
"2023/01/05","18500","322","716951"
"2023/01/04","18178","-357","704307"
"2022/12/30","18535","135","717868"
"2022/12/29","18400","-204","712098"
"2022/12/28","18604","19","718075"
"2022/12/27","18585","126","717312"
"2022/12/26","18459","41","711908"
"2022/12/23","18418","-208","709646"
"2022/12/22","18626","348","716828"
"2022/12/21","18278","-341","702571"
"2022/12/20","18619","-422","715142"
"2022/12/19","19041","-432","730949"
"2022/12/16","19473","-174","743536"
"2022/12/15","19647","-113","750032"
"2022/12/14","19760","-188","753916"
"2022/12/13","19948","433","759834"
"2022/12/12","19515","-191","742950"
"2022/12/09","19706","222","743592"
"2022/12/08","19484","-136","734562"
"2022/12/07","19620","-190","739445"
"2022/12/06","19810","-130","745977"
"2022/12/05","19940","-146","750713"
"2022/12/02","20086","-208","748154"
"2022/12/01","20294","354","755625"
"2022/11/30","19940","-37","742372"
"2022/11/29","19977","-358","742851"
"2022/11/28","20335","14","755393"
"2022/11/25","20321","-22","754886"
"2022/11/24","20343","-19","755409"
"2022/11/22","20362","162","755446"
"2022/11/21","20200","105","749196"
"2022/11/18","20095","25","744983"
"2022/11/17","20070","-213","743701"
"2022/11/16","20283","83","747591"
"2022/11/15","20200","-68","743641"
"2022/11/14","20268","-118","746165"
"2022/11/11","20386","479","749878"
"2022/11/10","19907","-356","731994"
"2022/11/09","20263","4","738604"
"2022/11/08","20259","117","737211"
"2022/11/07","20142","82","732499"
"2022/11/04","20060","-641","729206"
"2022/11/02","20701","-225","745328"
"2022/11/01","20926","-65","753352"
"2022/10/31","20991","696","755125"
"2022/10/28","20295","-17","729875"
"2022/10/27","20312","-422","730121"
"2022/10/26","20734","257","744785"
"2022/10/25","20477","220","734691"
"2022/10/24","20257","295","726545"
"2022/10/21","19962","-138","715510"
"2022/10/20","20100","-71","720301"
"2022/10/19","20171","289","722438"
"2022/10/18","19882","551","710968"
"2022/10/17","19331","-310","687606"
"2022/10/14","19641","538","698090"
"2022/10/13","19103","42","678414"
"2022/10/12","19061","-67","669878"
"2022/10/11","19128","-606","671367"
"2022/10/07","19734","-155","691941"
"2022/10/06","19889","59","696032"
"2022/10/05","19830","515","692133"
"2022/10/04","19315","455","664522"
"2022/10/03","18860","-249","647594"
"2022/09/30","19109","-343","655355"
"2022/09/29","19452","350","666386"
"2022/09/28","19102","0","653725"
"2022/09/27","19102","-146","652358"
"2022/09/26","19248","-635","656933"
"2022/09/22","19883","-237","678239"
"2022/09/21","20120","-174","685567"
"2022/09/20","20294","-18","691023"
"2022/09/16","20312","-253","690798"
"2022/09/15","20565","-83","696124"
"2022/09/14","20648","-639","699098"
"2022/09/13","21287","186","720200"
"2022/09/12","21101","201","714001"
"2022/09/09","20900","68","701436"
"2022/09/08","20832","568","698609"
"2022/09/07","20264","320","678895"
"2022/09/06","19944","-12","668187"
"2022/09/05","19956","-163","668285"
"2022/09/02","20119","92","666400"
"2022/09/01","20027","-19","663101"
"2022/08/31","20046","-216","663544"
"2022/08/30","20262","-116","670421"
"2022/08/29","20378","-459","673828"
"2022/08/26","20837","264","688278"
"2022/08/25","20573","93","679132"
"2022/08/24","20480","-94","675953"
"2022/08/23","20574","-430","678820"
"2022/08/22","21004","-171","692998"
"2022/08/19","21175","270","698828"
"2022/08/18","20905","-96","689875"
"2022/08/17","21001","219","693206"
"2022/08/16","20782","114","682226"
"2022/08/15","20668","303","678205"
"2022/08/12","20365","164","667659"
"2022/08/10","20201","-75","662473"
"2022/08/09","20276","-48","659207"
"2022/08/08","20324","338","660704"
"2022/08/05","19986","-115","649633"
"2022/08/04","20101","306","653158"
"2022/08/03","19795","315","643020"
"2022/08/02","19480","-347","625792"
"2022/08/01","19827","19","636956"
"2022/07/29","19808","11","635980"
"2022/07/28","19797","407","635343"
"2022/07/27","19390","-166","621995"
"2022/07/26","19556","4","626729"
"2022/07/25","19552","-316","626814"
"2022/07/22","19868","28","637137"
"2022/07/21","19840","207","635941"
"2022/07/20","19633","522","628861"
"2022/07/19","19111","139","611592"
"2022/07/15","18972","44","604018"
"2022/07/14","18928","51","602310"
"2022/07/13","18877","-195","600554"
"2022/07/12","19072","-136","606174"
"2022/07/11","19208","37","604988"
"2022/07/08","19171","335","603374"
"2022/07/07","18836","64","592597"
"2022/07/06","18772","5","589888"
"2022/07/05","18767","158","589734"
"2022/07/04","18609","57","577711"
"2022/07/01","18552","-256","575737"
"2022/06/30","18808","43","583555"
