"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","äyìVÅ|äyìVì˙ñ{äîÇRÅDÇWî{ÉxÉAÇhÇh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20220307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","4994","190","14864"
"2023/04/05","4804","267","14952"
"2023/04/04","4537","-7","13135"
"2023/04/03","4544","-132","11713"
"2023/03/31","4676","-154","10103"
"2023/03/30","4830","-143","10502"
"2023/03/29","4973","-218","8674"
"2023/03/28","5191","-15","8780"
"2023/03/27","5206","-67","8573"
"2023/03/24","5273","-44","9795"
"2023/03/23","5317","79","9908"
"2023/03/22","5238","-453","9097"
"2023/03/20","5691","274","10743"
"2023/03/17","5417","-236","10081"
"2023/03/16","5653","236","13873"
"2023/03/15","5417","-117","14466"
"2023/03/14","5534","516","18287"
"2023/03/13","5018","138","20535"
"2023/03/10","4880","312","20163"
"2023/03/09","4568","-132","17461"
"2023/03/08","4700","-59","16633"
"2023/03/07","4759","-48","15642"
"2023/03/06","4807","-240","13399"
"2023/03/03","5047","-279","11028"
"2023/03/02","5326","8","11439"
"2023/03/01","5318","-45","11145"
"2023/02/28","5363","-45","10632"
"2023/02/27","5408","-23","10680"
"2023/02/24","5431","-200","9570"
"2023/02/22","5631","239","12100"
"2023/02/21","5392","51","11411"
"2023/02/20","5341","-45","11139"
"2023/02/17","5386","150","12069"
"2023/02/16","5236","-172","10678"
"2023/02/15","5408","131","10820"
"2023/02/14","5277","-136","10185"
"2023/02/13","5413","151","10763"
"2023/02/10","5262","-88","9799"
"2023/02/09","5350","51","9914"
"2023/02/08","5299","0","10143"
"2023/02/07","5299","57","9714"
"2023/02/06","5242","-142","8707"
"2023/02/03","5384","-75","8416"
"2023/02/02","5459","-62","8186"
"2023/02/01","5521","-8","7874"
"2023/01/31","5529","53","7487"
"2023/01/30","5476","-8","6799"
"2023/01/27","5484","15","6611"
"2023/01/26","5469","-47","6333"
"2023/01/25","5516","-38","5524"
"2023/01/24","5554","-318","3898"
"2023/01/23","5872","-311","3150"
"2023/01/20","6183","-174","3360"
"2023/01/19","6357","328","3324"
"2023/01/18","6029","-565","2772"
"2023/01/17","6594","-381","2956"
"2023/01/16","6975","301","3539"
"2023/01/13","6674","266","3642"
"2023/01/12","6408","37","3291"
"2023/01/11","6371","-241","3067"
"2023/01/10","6612","-232","3001"
"2023/01/06","6844","-155","2914"
"2023/01/05","6999","-182","2791"
"2023/01/04","7181","459","3000"
"2022/12/30","6722","-102","2721"
"2022/12/29","6824","239","2906"
"2022/12/28","6585","121","3132"
"2022/12/27","6464","9","3141"
"2022/12/26","6455","-216","3008"
"2022/12/23","6671","267","3980"
"2022/12/22","6404","-113","3740"
"2022/12/21","6517","184","4695"
"2022/12/20","6333","565","6141"
"2022/12/19","5768","193","6664"
"2022/12/16","5575","347","8561"
"2022/12/15","5228","82","8041"
"2022/12/14","5146","-136","7022"
"2022/12/13","5282","-88","6603"
"2022/12/12","5370","57","7037"
"2022/12/09","5313","-280","6067"
"2022/12/08","5593","68","6880"
"2022/12/07","5525","160","7252"
"2022/12/06","5365","-22","6669"
"2022/12/05","5387","-59","6713"
