"基準価額一覧"
""
"ファンド名","マニュライフ－マニュライフ・米国銀行株式ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20150307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","7682","-56","11985"
"2023/04/05","7738","-235","12013"
"2023/04/04","7973","-83","12341"
"2023/04/03","8056","42","12444"
"2023/03/31","8014","-85","12270"
"2023/03/30","8099","133","12377"
"2023/03/29","7966","24","12123"
"2023/03/28","7942","84","12095"
"2023/03/27","7858","152","11944"
"2023/03/24","7706","-186","11682"
"2023/03/23","7892","-483","11925"
"2023/03/22","8375","382","12644"
"2023/03/20","7993","-440","12069"
"2023/03/17","8433","265","12739"
"2023/03/16","8168","-179","12312"
"2023/03/15","8347","229","12593"
"2023/03/14","8118","-925","12408"
"2023/03/13","9043","-377","13917"
"2023/03/10","9420","-639","14511"
"2023/03/09","10059","-72","15515"
"2023/03/08","10131","-203","15639"
"2023/03/07","10334","-37","15980"
"2023/03/06","10371","49","16041"
"2023/03/03","10322","-111","15993"
"2023/03/02","10433","-47","16192"
"2023/03/01","10480","1","16267"
"2023/02/28","10479","6","16294"
"2023/02/27","10473","149","16295"
"2023/02/24","10324","-63","16088"
"2023/02/22","10387","-159","16274"
"2023/02/21","10546","-10","16523"
"2023/02/20","10556","72","16552"
"2023/02/17","10484","-84","16453"
"2023/02/16","10568","150","16534"
"2023/02/15","10418","-36","16319"
"2023/02/14","10454","112","16375"
"2023/02/13","10342","19","16207"
"2023/02/10","10323","-111","16225"
"2023/02/09","10434","-46","16461"
"2023/02/08","10480","-35","16574"
"2023/02/07","10515","-67","16645"
"2023/02/06","10582","348","16807"
"2023/02/03","10234","182","16269"
"2023/02/02","10052","-31","15994"
"2023/02/01","10083","179","16048"
"2023/01/31","9904","-32","15777"
"2023/01/30","9936","88","15862"
"2023/01/27","9848","50","15796"
"2023/01/26","9798","-56","15724"
"2023/01/25","9854","-77","15823"
"2023/01/24","9931","197","15959"
"2023/01/23","9734","200","15674"
"2023/01/20","9534","24","15365"
"2023/01/19","9510","-491","15333"
"2023/01/18","10001","118","16157"
"2023/01/17","9883","40","15967"
"2023/01/16","9843","-99","15914"
"2023/01/13","9942","-95","16106"
"2023/01/12","10037","-6","16265"
"2023/01/11","10043","96","16278"
"2023/01/10","9947","12","16132"
"2023/01/06","9935","36","16114"
"2023/01/05","9899","161","16055"
"2023/01/04","9738","-197","15796"
"2022/12/30","9935","30","16120"
"2022/12/29","9905","-54","16093"
"2022/12/28","9959","68","16187"
"2022/12/27","9891","66","16077"
"2022/12/26","9825","22","15982"
"2022/12/23","9803","2","15950"
"2022/12/22","9801","192","15974"
"2022/12/21","9609","-176","15696"
"2022/12/20","9785","-113","16001"
"2022/12/19","9898","-144","16200"
"2022/12/16","10042","-23","16476"
"2022/12/15","10065","-186","16519"
"2022/12/14","10251","-311","16833"
"2022/12/13","10562","161","17391"
"2022/12/12","10401","-42","17195"
"2022/12/09","10443","44","17274"
"2022/12/08","10399","-72","17243"
"2022/12/07","10471","-18","17369"
"2022/12/06","10489","-280","17443"
"2022/12/05","10769","-85","17928"
"2022/12/02","10854","-177","18095"
"2022/12/01","11031","27","18425"
"2022/11/30","11004","54","18403"
"2022/11/29","10950","-228","18300"
"2022/11/28","11178","66","18715"
"2022/11/25","11112","-12","18603"
"2022/11/24","11124","-139","18647"
"2022/11/22","11263","182","18925"
"2022/11/21","11081","73","18712"
"2022/11/18","11008","-48","18635"
"2022/11/17","11056","-142","18806"
"2022/11/16","11198","7","19165"
"2022/11/15","11191","-52","19276"
"2022/11/14","11243","-271","19365"
"2022/11/11","11514","107","19935"
"2022/11/10","11407","-97","19788"
"2022/11/09","11504","-41","20051"
"2022/11/08","11545","6","20158"
"2022/11/07","11539","173","20174"
"2022/11/04","11366","-221","19929"
"2022/11/02","11587","-72","20518"
"2022/11/01","11659","42","20692"
"2022/10/31","11617","375","20668"
"2022/10/28","11242","85","20139"
"2022/10/27","11157","-157","20087"
"2022/10/26","11314","55","20430"
"2022/10/25","11259","179","20303"
"2022/10/24","11080","113","20248"
"2022/10/21","10967","-309","20207"
"2022/10/20","11276","-675","20898"
"2022/10/19","11951","60","22394"
"2022/10/18","11891","273","22464"
"2022/10/17","11618","2","22016"
"2022/10/14","11616","536","22032"
"2022/10/13","11080","30","21032"
"2022/10/12","11050","-25","21013"
"2022/10/11","11075","-170","21105"
"2022/10/07","11245","-89","21461"
"2022/10/06","11334","-45","21690"
"2022/10/05","11379","338","21789"
"2022/10/04","11041","220","21145"
"2022/10/03","10821","-61","20739"
"2022/09/30","10882","-118","20865"
"2022/09/29","11000","119","21111"
"2022/09/28","10881","-102","20889"
"2022/09/27","10983","-54","21135"
"2022/09/26","11037","-422","21293"
"2022/09/22","11459","-57","22232"
"2022/09/21","11516","-12","22372"
"2022/09/20","11528","89","22464"
"2022/09/16","11439","124","22342"
"2022/09/15","11315","-92","22130"
"2022/09/14","11407","-194","22392"
"2022/09/13","11601","71","22923"
"2022/09/12","11530","29","22974"
"2022/09/09","11501","166","22995"
"2022/09/08","11335","301","22715"
"2022/09/07","11034","78","22190"
"2022/09/06","10956","-7","22034"
"2022/09/05","10963","-47","22063"
"2022/09/02","11010","11","22170"
"2022/09/01","10999","-6","22164"
"2022/08/31","11005","-7","22202"
"2022/08/30","11012","-118","22233"
"2022/08/29","11130","-114","22560"
"2022/08/26","11244","136","22821"
"2022/08/25","11108","-23","22648"
"2022/08/24","11131","-83","23000"
"2022/08/23","11214","-238","23543"
"2022/08/22","11452","-99","24106"
"2022/08/19","11551","159","24534"
"2022/08/18","11392","-64","24326"
"2022/08/17","11456","201","24571"
"2022/08/16","11255","61","24547"
"2022/08/15","11194","123","24438"
"2022/08/12","11071","230","24202"
"2022/08/10","10841","72","23738"
"2022/08/09","10769","-34","23602"
"2022/08/08","10803","295","23686"
"2022/08/05","10508","-144","23071"
"2022/08/04","10652","97","23414"
"2022/08/03","10555","83","23248"
"2022/08/02","10472","-164","23084"
"2022/08/01","10636","-8","23475"
"2022/07/29","10644","-158","23504"
"2022/07/28","10802","126","23852"
"2022/07/27","10676","-43","23613"
"2022/07/26","10719","153","23723"
"2022/07/25","10566","-166","23479"
"2022/07/22","10732","-61","24019"
"2022/07/21","10793","113","24226"
"2022/07/20","10680","269","23998"
"2022/07/19","10411","331","23424"
"2022/07/15","10080","-94","22746"
"2022/07/14","10174","-91","23049"
"2022/07/13","10265","-29","23286"
"2022/07/12","10294","-22","23380"
"2022/07/11","10316","1","23482"
"2022/07/08","10315","111","23508"
"2022/07/07","10204","-61","23383"
"2022/07/06","10265","-41","23544"
"2022/07/05","10306","85","23638"
"2022/07/04","10221","64","23439"
"2022/07/01","10157","-134","23291"
"2022/06/30","10291","-47","23609"
"2022/06/29","10338","11","23735"
"2022/06/28","10327","50","23711"
"2022/06/27","10277","246","23617"
"2022/06/24","10031","-244","23069"
"2022/06/23","10275","-29","23642"
"2022/06/22","10304","239","23736"
"2022/06/21","10065","-3","23184"
"2022/06/20","10068","269","23180"
"2022/06/17","9799","-363","22583"
"2022/06/16","10162","47","23434"
"2022/06/15","10115","103","23354"
"2022/06/14","10012","-302","23161"
"2022/06/13","10314","-250","23893"
"2022/06/10","10564","-308","24597"
"2022/06/09","10872","-16","25439"
"2022/06/08","10888","93","25547"
"2022/06/07","10795","153","25359"
"2022/06/06","10642","-25","25003"
"2022/06/03","10667","152","25089"
"2022/06/02","10515","-37","24756"
"2022/06/01","10552","80","24865"
"2022/05/31","10472","95","24677"
"2022/05/30","10377","128","24459"
"2022/05/27","10249","149","24162"
"2022/05/26","10100","181","23811"
"2022/05/25","9919","-92","23413"
"2022/05/24","10011","260","23651"
"2022/05/23","9751","14","23104"
"2022/05/20","9737","-152","23078"
"2022/05/19","9889","-303","23442"
"2022/05/18","10192","329","24167"
"2022/05/17","9863","-118","23397"
"2022/05/16","9981","70","23678"
"2022/05/13","9911","-69","23526"
"2022/05/12","9980","-136","23691"
"2022/05/11","10116","-104","24002"
"2022/05/10","10220","-163","24255"
"2022/05/09","10383","-91","24675"
"2022/05/06","10474","232","24906"
"2022/05/02","10242","-68","24307"
"2022/04/28","10310","81","24421"
"2022/04/27","10229","-289","24233"
"2022/04/26","10518","-87","24919"
"2022/04/25","10605","-176","25089"
"2022/04/22","10781","-136","25589"
"2022/04/21","10917","-12","25903"
"2022/04/20","10929","458","25902"
"2022/04/19","10471","89","24778"
"2022/04/18","10382","23","24567"
"2022/04/15","10359","-18","24545"
"2022/04/14","10377","70","24584"
"2022/04/13","10307","-95","24407"
"2022/04/12","10402","99","24625"
"2022/04/11","10303","76","24384"
"2022/04/08","10227","-105","24284"
"2022/04/07","10332","-150","24546"
"2022/04/06","10482","16","24922"
"2022/04/05","10466","-34","24867"
"2022/04/04","10500","-86","24936"
"2022/04/01","10586","-204","25117"
"2022/03/31","10790","-285","25542"
"2022/03/30","11075","-37","26200"
"2022/03/29","11112","59","26215"
"2022/03/28","11053","186","26025"
"2022/03/25","10867","162","25550"
"2022/03/24","10705","-304","25190"
"2022/03/23","11009","264","25868"
"2022/03/22","10745","46","25252"
"2022/03/18","10699","-102","25202"
"2022/03/17","10801","318","25458"
"2022/03/16","10483","26","24712"
"2022/03/15","10457","148","24635"
"2022/03/14","10309","104","24292"
"2022/03/11","10205","0","24021"
"2022/03/10","10205","300","23999"
"2022/03/09","9905","74","23411"
"2022/03/08","9831","-336","23227"
"2022/03/07","10167","-338","23998"
"2022/03/04","10505","-49","24798"
"2022/03/03","10554","443","24926"
"2022/03/02","10111","-523","23809"
"2022/03/01","10634","-45","24842"
"2022/02/28","10679","389","24776"
"2022/02/25","10290","-130","23657"
"2022/02/24","10420","-186","23695"
"2022/02/22","10606","-24","24118"
"2022/02/21","10630","22","23909"
"2022/02/18","10608","-325","23722"
"2022/02/17","10933","-6","24365"
