"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇÅÇïÅ|ÇÅÇïÇ`ÇlÉåÉoÉåÉbÉWÅ@ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇO"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20220307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","9248","-201","3494"
"2023/04/05","9449","-73","3498"
"2023/04/04","9522","-45","3387"
"2023/04/03","9567","309","3356"
"2023/03/31","9258","164","3229"
"2023/03/30","9094","325","3154"
"2023/03/29","8769","-79","3016"
"2023/03/28","8848","-143","2951"
"2023/03/27","8991","50","2989"
"2023/03/24","8941","202","2943"
"2023/03/23","8739","-222","2816"
"2023/03/22","8961","305","2887"
"2023/03/20","8656","-98","2781"
"2023/03/17","8754","454","2791"
"2023/03/16","8300","53","2620"
"2023/03/15","8247","367","2559"
"2023/03/14","7880","119","2411"
"2023/03/13","7761","-219","2369"
"2023/03/10","7980","-297","2417"
"2023/03/09","8277","81","2493"
"2023/03/08","8196","-214","2448"
"2023/03/07","8410","16","2468"
"2023/03/06","8394","328","2434"
"2023/03/03","8066","132","2283"
"2023/03/02","7934","-147","2174"
"2023/03/01","8081","-15","2191"
"2023/02/28","8096","116","2167"
"2023/02/27","7980","-288","2089"
"2023/02/24","8268","149","2164"
"2023/02/22","8119","-406","2078"
"2023/02/21","8525","0","2182"
"2023/02/20","8525","-131","2162"
"2023/02/17","8656","-353","2173"
"2023/02/16","9009","140","2241"
"2023/02/15","8869","127","2192"
"2023/02/14","8742","267","2120"
"2023/02/13","8475","-111","2028"
"2023/02/10","8586","-166","2031"
"2023/02/09","8752","-328","2032"
"2023/02/08","9080","361","2077"
"2023/02/07","8719","-154","1986"
"2023/02/06","8873","-324","1989"
"2023/02/03","9197","587","1972"
"2023/02/02","8610","350","1797"
"2023/02/01","8260","247","1703"
"2023/01/31","8013","-347","1627"
"2023/01/30","8360","158","1669"
"2023/01/27","8202","309","1621"
"2023/01/26","7893","-49","1544"
"2023/01/25","7942","-32","1523"
"2023/01/24","7974","339","1517"
"2023/01/23","7635","411","1438"
"2023/01/20","7224","-152","1344"
"2023/01/19","7376","-195","1336"
"2023/01/18","7571","23","1295"
"2023/01/17","7548","0","1291"
"2023/01/16","7548","94","1264"
"2023/01/13","7454","72","1183"
"2023/01/12","7382","246","1151"
"2023/01/11","7136","123","1017"
"2023/01/10","7013","444","1000"
"2023/01/06","6569","-234","875"
"2023/01/05","6803","65","829"
"2023/01/04","6738","-104","821"
"2022/12/30","6842","317","814"
