code,company,fund
89311199,ＳＢＩ,ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド
0331418A,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）
8931122A,ＳＢＩ,ＳＢＩ　日本株３．８ベアＩＩ
03311187,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）
8931317C,ＳＢＩ,ＳＢＩ　日本株４．３ブル
89311216,ＳＢＩ,ＳＢＩ・Ｖ・全米株式インデックス・ファンド
9I312223,楽天,楽天日本株３．８倍ベアＩＩ
2931113C,ニッセイ,＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド
03319172,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国株式インデックス
03316183,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（除く日本）
89311185,ＳＢＩ,ＳＢＩ　日本株３．７ベアＩＩＩ
18312991,インベスコ,インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（毎月決算型）
8931217C,ＳＢＩ,ＳＢＩ・全世界株式インデックス・ファンド
0431218A,大和,ｉＦｒｅｅレバレッジ　ＮＡＳＤＡＱ１００
9I31115A,楽天,楽天日本株４．３倍ブル
3231203C,フィデリティ,フィデリティ・ＵＳリート・ファンドＢ（為替ヘッジなし）
0331A211,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　ＮＡＳＤＡＱ１００インデックス
03312175,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　バランス（８資産均等型）
4731915C,Ｏｎｅ,たわらノーロード　国内債券
89312216,ＳＢＩ,ＳＢＩ・Ｖ・米国高配当株式インデックス・ファンド
0431720A,大和,ＮＡＳＤＡＱ１００　３倍ブル
89311221,ＳＢＩ,ＳＢＩ・Ｖ・全世界株式インデックス・ファンド
9I312179,楽天,楽天・全米株式インデックス・ファンド
29311041,ニッセイ,ニッセイ日経２２５インデックスファンド
0331118B,三菱ＵＦＪ国際,日経平均高配当利回り株ファンド
0331A172,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス
25311203,農林中金,ＮＺＡＭ・レバレッジ　日本株式２倍ブル
04312047,大和,ダイワ・ＵＳ－ＲＥＩＴ・オープン（毎月決算型）Ｂコース（為替ヘッジなし）
AY311227,ａｕ,ａｕＡＭレバレッジ　ＮＡＳＤＡＱ１００
9C311125,レオス,ひふみプラス
04311045,大和,ダイワＪ－ＲＥＩＴオープン（毎月分配型）
0331C177,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　新興国株式インデックス
2931316B,ニッセイ,＜購入・換金手数料なし＞ニッセイ日経平均インデックスファンド
03317172,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）
6431917B,三井住友ＴＡＭ,ＳＭＴ　ゴールドインデックス・オープン（為替ヘッジなし）
9I311096,楽天,楽天日本株トリプル・ブル
0331219A,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国リートインデックス
83311227,イーストスプリング,イーストスプリング・インド・コア株式ファンド
4231104A,ピクテ,ピクテ・バイオ医薬品ファンド（毎月決算型）為替ヘッジなしコース
39312149,アライアンス,アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示
64315091,三井住友ＴＡＭ,世界経済インデックスファンド
0231122A,日興,Ｔｒａｃｅｒｓ　Ｓ＆Ｐ５００配当貴族インデックス（米国株式）
8931117C,ＳＢＩ,ＳＢＩ・新興国株式インデックス・ファンド
9I311179,楽天,楽天・全世界株式インデックス・ファンド
10311222,Ｔ＆Ｄ,Ｓ＆Ｐ５００・４倍ブル型ファンド
9331107A,キャピタル・インター,キャピタル世界株式ファンド
9I311223,楽天,楽天日本株トリプル・ベアＶ
10311134,Ｔ＆Ｄ,日本債券ベアファンド（５倍型）
03311112,三菱ＵＦＪ国際,三菱ＵＦＪ　純金ファンド
03311182,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（日経平均）
02313043,日興,ラサール・グローバルＲＥＩＴファンド（毎月分配型）
03313215,三菱ＵＦＪ国際,ｅＭＡＸＩＳ　Ｎｅｏ　電気自動車
42311052,ピクテ,ピクテ・グローバル・インカム株式ファンド（毎月分配型）
29312154,ニッセイ,＜購入・換金手数料なし＞ニッセイＴＯＰＩＸインデックスファンド
0431820A,大和,ＮＡＳＤＡＱ１００　３倍ベア
97311213,ＰａｙＰａｙ,ＰａｙＰａｙ投信　日経２２５インデックス
2931111B,ニッセイ,ニッセイグローバル好配当株式プラス（毎月決算型）
